question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,What does Grandmother look like?,implicit,old and wrinkled,she has white hair,her eyes look like stars,explicit,"very old, her face is wrinkled, and her hair is quite white; but her eyes are like two stars, and they have a mild, gentle expression in them when they look at you",,
2,local,1,action,,What does Grandmother keep in her hymn book that makes her smile?,explicit,a dried rose,,,,,,
3,local,2,causal relationship,,Why does Grandmother smile at the rose?,implicit,It reminds her of someone she once knew,The memory of a handsome young man comes back to her,"When her tears call on the rose, she goes back in time",explicit,"She is smiling at the memory of that day, and many thoughts and recollections of the past",,
4,local,2,character,,Who sits next to Grandmother in her memory?,explicit,a young man,,,explicit,Handsome young man,,
5,local,3,outcome resolution,,What happened after Grandmother finished telling the tale?,implicit,she took a nap and then passed away,"she went to sleep, her breathing slowed, and she died",she died in her arm-chair and then was buried,implicit,She stopped breathing while taking a nap.,,
6,local,3,feeling,,How did the children feel when they looked at Grandmother's corpse?,explicit,not afraid,,,,,,
7,local,3,action,,What did Gradmother ask to be done with the hymn book when she died?,implicit,she wanted it to be placed under her head,,bury it with her,,,,
8,local,4,action,,What did they plant near the churchyard wall?,explicit,a rose tree,,,,,,
9,local,5,causal relationship,,Why don't the dead return?,implicit,they don't want to scare us,they know what terror would come over us,,explicit,They know what a terror would come upon them,,
10,summary,"1, 2, 5",prediction,,What will the kids remember about their grandmother?,implicit,Her gentle eyes,How she read to them,,explicit,"The loving, gentle eyes that always looked young",,
11,local,2,character,,What did grandmother's cheeks look like when she was young?,explicit,round and rosy,,,,,,
