question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,setting,action,what stood in the middle of the garden?,explicit,a rose tree,,,,,,
2,local,1,character,,who sat under the rose tree?,explicit,a snail,,,,,,
3,local,2,action,,what did the snail stretch out?,explicit,his horns,,,,,,
4,local,2,causal relationship,,why did the snail draw his horns back in?,implicit,because he saw no progress,he didn't see anything new,,,,,
5,local,3,feeling,,how does the rose tree feel after the snail talks to it?,implicit,frightened,scared,worried,,,,
6,local,4,causal relationship,,why does the rose tree bloom?,explicit,because it can't do otherwise,,,,,,
7,local,4,action,,what 2 things does the rose tree drink?,explicit,clear dew and rain,,,,,,
8,local,5,action,,what kind of life does the snail think the rose tree has had?,explicit,easy,,,,,,
9,local,5,character,,who is the deep thinker?,explicit,the snail,,,,,,
10,local,6,action,,what did the snail do after he spoke?,explicit,withdrew into his house and blocked the entrance,,,,,,
11,local,7,feeling,,how does the rose tree feel after the snail withdraws?,explicit,sad,,,,,,
12,local,7,outcome resolution,,what happens to the rose leaves that drop?,explicit,they are blown away by the wind,,,,,,
13,local,7,causal relationship,,why does the rose tree feel blessed?,implicit,because its roses have touched so many lives,the roses bring people joy,,,,,
14,local,8,action,,what did the other snails do?,explicit,crept into their houses and spat at the world,,,,,,
15,local,8,prediction,,why would the new snails and rose trees have a similar story?,implicit,because they have the same attitudes,because the world doesn't concern the snails,,,,,
