question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,action,,What did the daughter do when it was time for her to marry?,explicit,had all her suitors assemble before her father's palace,,,explicit,She had all her suitors assemble before her father's palace,,
2,local,1,action,,How did the daughter choose her husband?,explicit,"threw down a ball of red silk among them, and whoever caught it was to be her husband.",,,explicit,"She was going to throw down a ball of red silk among them, and whoever caught it was to be her husband",,
3,local,1,character,,Who caught the ball of red silk?,explicit,the beggar,,,explicit,A beggar,,
4,local,1,feeling,,How did the father feel when his daughter threw the ball into the beggar's hands?,implicit,angry,upset,mad,explicit,Angry,,
5,local,2,causal relationship,,Why did the daughter throw the ball into the beggar's hands?,explicit,He was a favorite of Fortune.,,,explicit,He was a child of luck,,
6,local,2,setting,,Where did the daughter live after her father drove her from the castle?,explicit,in a little hut,,,explicit,In a little hute,,
7,local,2,action,,What did the father do when the daughter decided to marry the beggar?,explicit,drove her from the castle in his rage,,,explicit,He drove her from the castle in his rage,,
8,local,2,action,,What did the daughter do when she married the beggar?,explicit,"dwelt with him in a little hut, and had to hunt for herbs and roots, and cook them herself",,,explicit,Go off with the beggar,"Hunt for herbs and roots, and cook them herself",
9,local,3,causal relationship,,Why was the daughter's husband gone for 18 years?,explicit,The husband set out and seek his fortune.,,,explicit,"Her husband said t her"" ""I will set out and seek my fortune. And when I have found it, I will come back again and fetch you.""",,
10,local,3,action,,What did the daughter's mother do to help her?,explicit,secretly given her food and money,,,explicit,Secretly given her food and money,,
11,summary,"3, 4",prediction,outcome resolution,What will happen when the husband returns?,explicit,"The beggar will find his fortune, and at length become emperor.",,,implicit,The princess will be overjoyed,They will live happily,
12,summary,"3, 6",action,,What did the daughter do for all these long years?,explicit,had been waiting for him to return,,,explicit,Live in want and affliction,Waiting for him to return,
13,summary,"6, 7",prediction,action,What will the husband do when he sees that his wife is faithful?,explicit,"tell her who he is, have her clothed in magnificent garments, and take her with him to his imperial palace",,,explicit,Take her with him to his imperial palace,,
14,local,8,causal relationship,,Why was his wife a child of ill luck?,explicit,"When she had been empress no more than eighteen days, she fell sick and died.",,,explicit,"When she had been empress no more than eighteen days, she fell sick and died",,
