question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,setting,,Where did the scholar live?,explicit,Shansi,,,,,,
2,local,1,character,,Who found the company of others too noisy for him?,explicit,the scholar,,,,,,
3,local,1,setting,,Where did the scholar move to?,explicit,a Buddhist temple,,,,,,
4,local,1,causal relationship,,Why did the scholar suffer?,explicit,There were always so many gnats and fleas in his room that he could not sleep at night.,,,,,,
5,local,2,character,,"Who were two inches high and, rode horses about the size of grasshoppers?",explicit,two little knights,,,,,,
6,summary,"2, 3, 4",prediction,outcome resolution,What will happen when the knights enter the room?,explicit,The scholar will pretend to be asleep and watch them.,,,,,,
7,local,2,action,,What did the two little knights hold on their gauntleted hands?,explicit,hunting falcons,,,,,,
8,summary,"1, 2, 3",prediction,outcome resolution,What will happen to the fleas and gnats in the room?,explicit,They will be slain by the falcons.,,,,,,
9,summary,"1, 2, 3",prediction,action,How will the fleas be removed from the room?,explicit,"The hunting dogs will climb on the bed, and sniff along the walls trailing the fleas, and eat them up.",,,,,,
10,local,3,action,,How did the hunting dogs kill nearly all the vermin in a short space of time?,explicit,"followed the trace of whatever hid in the cracks, and nosed it out",,,,,,
11,local,4,action,,What did the horsemen give to the king?,explicit,all the birds and game,,,,,,
12,summary,"3, 4",prediction,outcome resolution,What will happen after nearly all of the vermin were killed?,implicit,The king will arrive.,Everyone will welcome the king.,,,,,
13,local,4,feeling,,How did the scholar feel when there were little knights and horsemen in the room?,implicit,surprised,terrified,astonished,,,,
14,summary,"4, 5",action,,What did the king and his bodyguards do after they conversed in a strange tongue?,implicit,They left the room.,They disappeared.,,,,,
15,summary,"5, 6",prediction,action,What will the scholar do when the king and his bodyguards leave?,implicit,look where they came from,look for where they went,,,,,
16,local,6,action,,What the king and his bodyguards leave behind?,explicit,a little hunting dog,,,,,,
17,local,6,action,,What did the scholar do after he found the little hunting dog?,explicit,quickly caught it and found it quite tame,,,,,,
18,local,7,action,,What did the little hunting dog do after it did not eat the bread crumbs?,explicit,"leaped into the bed and hunted up some nits and gnats in the folds of the linen, which it devoured",,,,,,
19,local,7,feeling,,How did the scholar feel when he felt the hunting dog might run away?,implicit,scared,afraid,worried,,,,
20,local,7,causal relationship,,Why did the scholar loved the hunting dog?,implicit,It ate all of the vermin.,There were no more vermin to bother him.,,,,,
21,local,8,causal relationship,,Why did the hunting dog die?,implicit,The scholar accidentally squished it.,The scholar accidentally pressed against the dog.,,,,,
