question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,causal relationship,,Why didn't the fir-tree like the children saying that it was a pretty little one?,implicit,It wanted to be a big tree.,It wanted to be like the other trees.,It was not tall like the other trees.,implicit,it was a big tree,,
2,local,6,causal relationship,,Why was the fir-tree the first to be cut down?,explicit,It was a beautiful tree.,,,explicit,it was beautiful,,
3,local,1,setting,,Where did the pretty little fir tree live?,explicit,the wood,,,explicit,a wood,,
4,local,3,character,,Who told the little fir-tree where the magnificent trees were going?,explicit,the stork,,,explicit,the swallows,,
5,local,4,causal relationship,,Why did the little trees keep their branches?,implicit,Their branches were used to hang decorations.,The branches were decorated with items.,Decorations were hung on the branches.,implicit,the branches were decorated,,
6,local,6,feeling,,How did the fir-tree feel when it was cut down?,explicit,bruised and faint,,,explicit,bruised and faint,sad,
7,local,7,setting,,Where did the two footmen carry the fir-tree?,explicit,to a large and beautiful room,,,explicit,a large and beautiful room,,
8,local,10,feeling,,How did the fir-tree feel when it heard the two stories?,explicit,astonished,thoughtful,,explicit,rejoiced,excited,
9,local,14,character,,Who came to listen to the fir-tree's stories?,explicit,the little mice,,,explicit,the little mice,,
10,local,5,causal relationship,,Why did the little fir-tree want to be taken away like the other trees?,explicit,The fir-tree wanted to be in a warm room with all the splendour and magnificence.,,,explicit,it wanted to have the same brilliant career,it wanted to be planted in a warm room,it wanted to be adorn with the most beautiful things
11,local,16,causal relationship,,Why did one of the children call the old fir-tree ugly?,explicit,The fir-tree's branches were all withered and yellow; and it was lying in a corner among weeds and nettles.,,,explicit,the branches were withered and yellow,the branches were lying in a corner among weeds and nettles,
12,summary,"13,14",action,,What did the little mice do after the fir-tree told them stories?,explicit,"The next evening they came with four others, who wanted to hear the tree's story.",,,implicit,return with more mice,told the tree how lucky he was,
13,local,17,causal relationship,,Why did the tree want to be brought out again?,implicit,It wanted to hear more stories.,It wanted to have more fun.,It did not want to be in a dark room.,implicit,to keep up its spirits,,
14,local,17,outcome resolution,,What happened after the servant came and cut the tree into small pieces?,explicit,The tree had burnt away.,,,explicit,the tree passed away,,
15,local,3,causal relationship,,Why did the stork believe that the fir-trees were going to Egypt?,explicit,The many new ships had the scent of fir-trees.,,,implicit,the new ships had splendid masts,,
16,local,9,character,,"Who came and peeped amongst the boughs, just to see if a fig or an apple had been forgotten?",explicit,the nurse,,,explicit,the children,,
17,summary,"10,15",causal relationship,,Why did the fir-tree only know one story?,implicit,The man told one story.,It only heard one story.,It could only listen to one story.,implicit,he only heard one story,,
18,local,12,feeling,,How did the fir-tree feel when it was put in a dark corner?,explicit,lonely,,,explicit,sad,lonely,
19,local,6,causal relationship,,Why didn't the fir-tree see its dear old companions again?,explicit,The fir-tree was leaving its home.,,,explicit,it was leaving its home,,
