question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who had to live in a large iron stove in a wood for many years?,explicit,the prince,the king's son,,,a king's son,,
2,local,1,setting,,Where was the king's daughter wandering round and round for nine days?,explicit,wood,,,,the wood,,
3,local,1,feeling,,"How did the king's daughter feel when she had lost her way, and could not find her father's kingdom again?",implicit,scared,frightened,afraid,,scared,confused,
4,local,2,action,,What did the king and princess determine after they consulted together?,explicit,determined that the miller's daughter should take her place,,,,His only daughter had to leave.,,
5,local,2,action,,What did the miller's daughter do when she arrived at the great wild wood?,explicit,scraped for twenty-four hours,,,,scraped for twenty-four hours,,
6,local,2,causal relationship,,Why did the iron stove tell the miller's daughter to go away at once and tell the King's daughter to come?,implicit,She revealed that she was the miller's daughter.,,,,She was the miller's daughter.,,
7,local,3,action,,"What did the king do when the Prince inside the iron stove would not have the miller's daughter, but wanted the Princess?",explicit,gave the swineherd's daughter a piece of gold to go to the iron stove instead of the Princess,,,,gave a swineherd's daughter a piece of gold to go to the iron stove instead of the Princess,,
8,local,3,action,,What did the iron stove do when he realized that the girl was the swineherd's daughter?,explicit,"told her to go away at once, and let the King's daughter come",,,,"told her to go away at once, and let the King's daughter come",,
9,local,4,causal relationship,,Why was the Princess crying?,explicit,If she did not come everything in the kingdom shall fall into ruin and not one stone shall be left upon another.,,,,she had to keep her word,she had to marry the iron stove,
10,local,4,action,,What did the Princess do when she had to keep her word?,explicit,"took leave of her father, put a knife in her belt, and went to the iron stove in the wood",,,,cried,,
11,local,4,causal relationship,,Why did the Princess scrape harder than ever?,explicit,The princess peeped in and saw such a beautiful youth all shining with gold and precious stones that she fell in love with him on the spot.,,,,so she could make the hole so large that he could get out,,
12,local,7,action,,What did the toads do when the Princess came in?,explicit,"bid her welcome, and made her sit down",,,,bid her welcome and made her sit down,asked her how she came there and what she wanted,
13,local,5,causal relationship,,Why did the iron stove vanish and go away over a mountain of glass and sharp swords?,explicit,The Princess said more than three words to her father.,,,,The princess said more than three words.,,
14,local,6,setting,,Where did the Princess find the big and little toads?,explicit,a little old house,,,,a little old house,,
15,local,8,action,,What did the little toad do when the Princess told everything that had happened to her?,explicit,went and brought out a great chest,,,,went and brought out a great chest,,
16,local,8,action,,What did the Princess need to do to find her lover?,explicit,"cross a high glass mountain, three cutting swords, and a great lake",,,,"cross a high glass mountain, three cutting swords, and a great lake",,
17,local,9,causal relationship,,Why was the Prince about to marry another princess?,explicit,The Prince thought the Princess was dead long ago.,,,,He thought she was dead long ago.,,
18,summary,"10,11",causal relationship,,Why did the bride give the Prince a sleeping-draught?,implicit,The bride did not want the Princess to talk to the Prince.,The bride did not want the Prince to hear the Princess.,,,She did not want the Prince to hear the serving-maid's cries.,,
19,local,9,setting,,Where did the Princess find the Prince?,explicit,the castle,,,,the castle,,
