question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,setting,,Where did the children use to go and play at when they were coming from school?,explicit,the Giant's garden,,,explicit,the Giant's garden,,
2,local,1,action,,What did the children do when the birds sat on the trees and sang so sweetly?,explicit,stop their games in order to listen to them,,,explicit,stop their games in order to listen to them,,
3,local,2,character,,Who returned to his own castle after visiting his friend the Cornish ogre and had stayed with him for seven years?,explicit,the Giant,,,explicit,the Giant,,
4,local,2,prediction,,What will the children do when the Giant returns to his own castle?,explicit,run away,,,explicit,run away,,
5,local,2,causal relationship,,Why did the children run away?,implicit,They were scared.,The Giant scared the kids.,The Giant made the kids leave.,implicit,The Giant scared them away.,The Giant made them go away.,
6,local,2,causal relationship,,Why did the Giant build a high wall around his garden and put up a notice-board?,implicit,He did not want anyone in his garden.,He did not want the kids in the garden.,He wanted to keep the children out.,implicit,to keep the children out,,
7,local,3,action,,What did the poor children do after they had nowhere to play?,explicit,"tried to play on the road, used to wander round the high wall when their lessons were over, and talk about the beautiful garden inside",,,explicit,tried to play on the road,,
8,local,6,feeling,,How did the trees feel to have the children back again?,explicit,so glad,,,explicit,glad,,
9,local,6,character,,Who was standing in the farthest corner of the garden?,explicit,a little boy,,,explicit,a little boy,,
10,local,6,causal relationship,,"Why was the little boy wandering all round the tree, crying bitterly?",explicit,He was so small that he could not reach up to the branches of the tree.,,,explicit,He could not reach up to the branches of the tree.,,
11,summary,"5,6",causal relationship,,Why didn't Spring come in the Giant's garden?,implicit,The children weren't there.,The Giant was selfish.,The Giant did not allow the children to come.,implicit,Spring thought the giant was selfish.,,
12,local,7,causal relationship,,Why did the garden become winter again?,explicit,The kids were so frightened that they all ran away.,,,explicit,The children were so frightened that they all ran away.,,
13,local,7,causal relationship,,Why didn't the little boy run away from the Giant?,explicit,His eyes were so full of tears that he did not see the Giant coming.,,,explicit,His eyes were so full of tears that he did not see the Giant coming.,,
14,local,8,outcome resolution,,What happened after the Giant put the small boy up into the tree?,explicit,The tree broke at once into blossom and the birds came and sang on it.,,,explicit,"The tree broke at once into a blosson, and the birds came and sang on it.","The little boy stretched out his two arms and flung them round the Giant's neck, and kissed him.",
15,local,9,causal relationship,,Why couldn't the Giant play about anymore?,explicit,The Giant grew very old and feeble.,,,explicit,He grew very old and feeble.,,
16,local,10,action,,What did the Giant do when he saw the little boy he had loved?,explicit,"The Giant ran downstairs in great joy, and out into the garden.",,,explicit,ran downstairs in great joy and out into the garden.,,
17,local,11,character,,Who had the prints of two nails on his palms?,explicit,the little child,,,explicit,the little boy,,
18,local,11,setting,,Where did the Giant go to with the little boy?,explicit,Paradise,,,explicit,Paradise,the boy's garden,
19,summary,"2,3",causal relationship,,Why was the Giant selfish?,explicit,He did not allow anybody to play in his garden but himself.,,,explicit,He did not allow nobody to play in his garden but himself.,"He built a high wall all round his garden, and put up a notice board.",
20,summary,"5,6,7",causal relationship,,Why was the Giant sorry for what he had done?,implicit,He realized that he was selfish.,The garden turned beautiful when the children came.,Spring came when the children played in the garden.,implicit,He saw how beautiful his garden was whe children played in it.,,
21,local,7,action,,What did the Giant do to his garden so that it could be the children's playground forever?,explicit,knocked down the wall,,,explicit,knocked down the wall,,
22,local,11,prediction,feeling,How will the children feel after finding the Giant lying dead under the tree?,implicit,sad,upset,unhappy,implicit,sad,,
