question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,causal relationship,,Why did the woman go to the old Witch?,explicit,"She wanted to have quite a tiny, little child, but she did not know where to get one from.",,,,"She wanted to have quite a tiny, little child, but she did not know where to get one from.",,
2,local,1,action,,What did the woman do after the old Witch gave her barley-corn?,explicit,went home and planted the barley-corn,,,,gave the Witch a shilling,planted the barley-corn.,
3,local,1,feeling,,How did the woman feel when a large and beautiful flower grew from the pot?,implicit,excited,happy,surprised,,happy,excited,
4,local,2,character,,Who was scarcely half a thumb in height?,explicit,Thumbelina,,,,Thumbelina,,
5,local,3,character,,"Who was was very ugly, clumsy, and clammy?",explicit,an old toad,,,,an old toad,,
6,local,3,causal relationship,,Why did the toad take Thumbelina?,explicit,She wanted have a beautiful wife for her son.,,,,She wanted her to be the wife for her son.,,
7,summary,"3,5",prediction,feeling,How will Thumbelina feel when she is taken by the old toad?,implicit,scared,frightened,afraid,,sad,scared,
8,summary,"3,4",prediction,action,What will the old toad do after she takes Thumbelina?,explicit,put her at once on a broad water-lily leaf in the stream,,,,put her on a broad water-lily leaf in the stream,,
9,local,4,causal relationship,,Why did the old toad place Thumbelina on a great green leaf surrounded with water?,explicit,She can't run away from them there.,,,,She wouldn't be to run away from them there while they prepared the guest-champer under the marsh where she would live.,,
10,local,3,setting,,Where did the old toad live with her son?,explicit,"a great wide stream, with slippery and marshy banks",,,,slipper and marshy banks,,
11,local,4,setting,,Where did the old toad want Thumbelina to live?,explicit,the guest-chamber under the marsh,,,,under the marsh,,
12,summary,"3,4",causal relationship,,Why didn't the old toad want Thumbelina to escape?,implicit,The old toad wanted Thumbelina to marry her son.,The old toad thought she would make a good wife for her son.,,,She wanted her to be the wife for her son.,,
13,summary,"5,6",prediction,action,How will Thumbelina escape from the old toad and her son?,implicit,The fish will help her escape from the toads.,The fish will nibble on the stem of the leaf she is sitting on.,,,The fish will help her escape.,,
14,local,6,causal relationship,,Why did the little fishes want to help Thumbelina?,explicit,They thought Thumbelina was so pretty that they were very sorry she should go down with the ugly toad to live.,,,,They were very sorry she should go down with the ugly toad to live.,,
15,summary,"10,11",prediction,action,What will Thumbelina need to do when winter comes?,implicit,need to find a place to stay,needed to stay in a warm place,,,find somewhere warm to live,,
16,local,10,causal relationship,,Why did poor little Thumbelina go up to the door and beg for a little piece of barley from the field mouse?,explicit,She had not had anything to eat for the last two days.,,,,She had not had anything to eat for the last two days.,,
17,local,16,action,,What did Thumbelina do to save the swallow?,explicit,"piled up the down more closely over the poor swallow, fetched her own coverlid and laid it over his head",,,,"piled up the down more closely over the poor swallow, fetched her own coverlid and laid it over his head",,
18,local,21,causal relationship,,Why was Thumbelina unwilling to marry the ugly mole?,explicit,"She had to live underground where the sun never shone, and she could not help bursting into tears.",,,,"She would have live underground where the sun never shone,",,
19,local,24,action,,What did the Little Prince do when he saw Thumbelina?,explicit,"took his golden crown from off his head and put it on hers, asking her her name, and if she would be his wife",,,,"took his golden crown from off his head and put it on hers, asking her name, and if she would be his wife",,
