question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who lived in great comfort?,explicit,a farmer,,,,,,
2,local,1,causal relationship,,Why was the farmer not completely happy?,explicit,He had no children.,,,,,,
3,local,1,action,,What did the others do when they saw the farmer at the nearest market town?,explicit,"teazed him, asked how it came about that he was childless",,,,,,
4,local,1,feeling,,How did the farmer feel when the others teazed him about being childless?,explicit,angry,,,,,,
5,local,1,character,,What did the child look like from the waist upwards?,explicit,a hedgehog,,,,,,
6,local,1,feeling,,How did the wife feel when she saw that her child was part-hedgehog?,explicit,frightened,,,,,,
7,local,1,character,action,What did the wife name her child?,explicit,Jack my Hedgehog,,,,,,
8,local,2,action,,What did the farmer and his wife do after their son was born?,explicit,took him to be christened,,,,,,
9,local,2,causal relationship,,Why did the parson tell the farmer he would never be able to put his son in a decent bed?,explicit,on account of his prickles,,,,,,
10,local,2,setting,,Where did Jack my Hedgehog lay for eight years?,explicit,behind the stove,,,,,,
11,local,2,setting,,Where did the farmer mean to go?,explicit,a big fair at the market town,,,,,,
12,local,2,action,,What did the wife ask her husband to bring from the market town?,explicit,some meat and a couple of big loaves,,,,,,
13,local,2,action,,What did Jack my Hedgehog ask his father to bring from the big fair?,explicit,a bagpipe,,,,,,
14,local,3,action,prediction,What will Jack my Hedgehog do after his father has the house cock shod?,explicit,ride off and trouble his father no more,,,,,,
15,local,3,setting,,Where did Jack my Hedgehog ride off to?,explicit,the forest,,,,,,
16,local,3,action,,What did Jack my Hedgehog promise to look after?,explicit,all the pigs and asses,,,,,,
17,local,3,outcome resolution,,What happened to Jack my Hedgehog and his animals after several years?,explicit,He had quite a big herd.,,,,,,
18,local,3,causal relationship,,Why was the farmer delighted when Jack my Hedgehog said he would ride off?,explicit,the prospect of getting rid of him,,,,,,
19,local,4,action,,What did Jack my Hedgehog do on the tree?,explicit,played away on his pipes and drew the loveliest music from them,,,,,,
20,local,4,character,,Who heard the music?,explicit,a King,,,,,,
21,local,4,feeling,,How did the King feel when he heard the music?,explicit,surprised,,,,,,
22,local,4,causal relationship,,Why did the King send out one of his servants after hearing the music?,explicit,to find out where it came from,,,,,,
23,local,4,action,,What did the King tell the servant to ask the strange creature?,explicit,"why it sat there, and if it knew the shortest way to his kingdom",,,,,,
24,local,4,action,,What did Jack my Hedgehog make the King promise him?,explicit,let him have whatever first met him on his return,,,,,,
25,local,5,character,,Who saw the King returning in the distance?,explicit,the King's daughter,,,,,,
26,local,5,feeling,,How did the King's daughter feel when she saw her father?,explicit,delighted,,,,,,
27,local,5,outcome resolution,,What happened after the King's daughter saw her father?,explicit,She ran to meet him and threw herself into his arms.,,,,,,
28,local,5,action,,What did the King write he would give to Jack my Hedgehog?,explicit,The King would not give Jack my Hedgehog anything at all.,,,,,,
29,local,7,character,,How did the King's only daughter look?,explicit,extremely beautiful,,,,,,
30,local,7,feeling,,How did the King feel when he thought about his daughter being the first thing to meet him?,explicit,sad,,,,,,
31,local,7,causal relationship,,Why was the princess willing to go with Jack my Hedgehog?,explicit,because of the great love she bore to her dear old father,,,,,,
32,local,8,outcome resolution,,What happened when Jack my Hedgehog continued to herd his pigs?,explicit,They increased in number till there were so many that the forest seemed full of them.,,,,,,
33,local,8,causal relationship,,Why did Jack my Hedgehog send a message to his father telling him to clear the stables and outhouses?,explicit,He was going to bring such an enormous herd that all who would might kill what they chose.,,,,,,
34,local,8,feeling,,How did the father feel when he learned that Jack my Hedgehog was still alive?,explicit,vexed,,,,,,
35,local,8,outcome resolution,,What happened after the father got the cock shod?,explicit,He rejoiced at the idea of getting rid of his son.,,,,,,
36,local,9,setting,,Where did Jack my Hedgehog go to first?,explicit,the first kingdom,,,,,,
37,local,9,action,,What did the King give orders to do if anyone is seen riding a cock and carrying a bagpipe?,explicit,"He was to be chased away and shot at, and on no account to be allowed to enter the palace.",,,,,,
38,local,9,outcome resolution,,What happened when Jack my Hedgehog rode up to the palace?,explicit,The guards charged him with their bayonets.,,,,,,
39,local,9,outcome resolution,prediction,What will happen if Jack my Hedgehog does not get what he is promised?,explicit,Both the King and his daughter should pay for it with their lives.,,,,,,
40,local,9,outcome resolution,,What happened after Jack my Hedgehog called out to the King?,explicit,The King coaxed and entreated his daughter to go with Jack and so save both their lives.,,,,,,
41,local,9,character,action,How did the Princess dress herself?,explicit,all in white,,,,,,
42,local,9,action,,What did the King give his daughter?,explicit,a coach with six horses and servants in gorgeous liveries and quantities of money,,,,,,
43,local,9,outcome resolution,,What happened after Jack tore the Princess' smart clothes?,explicit,He pricked her all over with his bristles.,,,,,,
44,local,9,feeling,,How did the Princess feel after Jack pricked her?,explicit,disgraced,shame,,,,,
45,local,10,action,,What did the second King order the people to do when Jack my Hedgehog came?,explicit,cheer,,,,,,
46,local,11,causal relationship,,Why did the Princess fear a kiss from Jack my Hedgehog?,explicit,his prickles,,,,,,
47,local,11,character,,Who were placed on watch outside the bedroom door?,explicit,four men,,,,,,
