question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who were the best creatures in the world?,explicit,a king and queen,,,,,,
2,local,1,outcome resolution,,"What happened to the King, Queen, and Prince after their fatigues and adventures?",explicit,"They found themselves in a charming green valley, through which flowed a stream clear as crystal and overshadowed by beautiful trees.",,,,,,
3,local,2,action,,What did the King discover about the fish?,explicit,He could teach them to talk and whistle better than any parrot.,,,,,,
4,local,4,outcome resolution,,What happened to the Prince despite of the Fairy's care towards him?,explicit,"He grew so vain and frivolous that he quitted his peaceful country life in disgust, and rushed eagerly after all the foolish gaieties of the neighbouring town, where his handsome face and charming manners speedily made him popular.",,,,,,
5,local,3,action,,What did the money earned allow the King to buy?,explicit,"the Queen her flock of sheep, as well as many of the other things which go to make life pleasant",,,,,,
6,local,4,setting,,Where did the Fairy of the Beech-Woods live?,explicit,in the lovely valley,,,,,,
7,local,5,character,,Who was the Fairy of the Beech-Woods' old friend?,explicit,Saradine,,,,,,
8,local,6,action,,What did Saradine do to teach Celandine a lesson?,explicit,"whisked her off into the desert, and there left her",,,,,,
9,local,6,setting,,Where did Saradine leave Celandine?,explicit,the desert,,,,,,
10,local,7,action,prediction,What will the old Fairy do when Celandine is under her care?,explicit,cure her vanity by making her love someone better than herself,,,,,,
11,local,7,feeling,,How did the King and Queen feel when they saw Celandine?,explicit,surprised,,,,,,
12,local,7,action,,What did Celandine do after she accepted the King and Queen's hospitality?,explicit,told them what had happened to her,,,,,,
13,local,8,setting,,Where did the old Fairy invite Celandine to?,explicit,her Leafy Palace,,,,,,
14,local,9,character,,Who did the old Fairy rely on to cure Celandine?,explicit,Prince Featherhead,,,,,,
15,local,9,causal relationship,,Why was the old Fairy unwilling to part the Prince from what he loved?,explicit,Her heart was so soft towards him.,,,,,,
16,local,10,feeling,,How did Celandine feel thinking that the Prince would fall in love with her?,explicit,pleased,,,,,,
17,local,11,causal relationship,,Why was the Prince puzzled when he met Celandine?,explicit,He had heard nothing from the King and Queen but the praises of this charming Princess.,,,,,,
18,local,11,outcome resolution,,What happened after the Prince talked about his acquaintances and the beauties?,explicit,"Celandine, who heard it all, was ready to cry with vexation.",,,,,,
19,local,13,causal relationship,,What made Celandine curious about the Prince?,explicit,She at once noticed the change in him.,,,,,,
20,local,13,setting,,Where did the Prince fall asleep?,explicit,in the shade of a tree,,,,,,
21,local,12,action,,What did the Prince do to drive away recollections of the portrait?,explicit,rushed back to the town,,,,,,
22,local,14,outcome resolution,,What happened after the Prince gazed at Celandine?,explicit,"turned and left her without another word, and in a few hours quitted the Leafy Palace altogether",,,,,,
23,local,14,feeling,prediction,How will the Prince feel if he cannot find the princess in the portrait?,explicit,sad,,,,,,
24,local,14,action,,What did the Princess ask to be allowed to see?,explicit,the portrait,,,,,,
25,local,15,setting,,Where did the Princess walk towards?,explicit,a tiny house,,,,,,
26,local,15,causal relationship,,Why did the Princess leave?,explicit,"The Princess was indeed unhappy, and could no longer bear to stay in a place where she had been so cruelly disdained.",,,,,,
27,local,16,action,,What did the old hag do to see if the Princess had more money than her?,explicit,search her,,,,,,
28,local,18,action,,What did Celandine wish from the old woman?,explicit,to live quietly in this lonely spot,,,,,,
29,summary,"15,17,18,19",feeling,,How did Celandine feel when she was at the old woman's house?,explicit,unhappy,,,,,,
30,local,18,action,,What did Celandine know nothing about?,explicit,money,,,,,,
31,local,19,action,,What did Celandine give the old woman?,explicit,clothes,,,,,,
32,local,19,causal relationship,,Why did the old woman agree to take in Celandine?,explicit,She was getting old and may want someone to take care of her some day.,,,,,,
33,local,19,action,,What did the old woman bring out during supper-time?,explicit,a very small dish,,,,,,
34,local,20,feeling,,How did the old woman feel when Celandine forgot to eat her half of the plum?,explicit,delighted,,,,,,
35,local,21,setting,prediction,Where will the old woman go?,explicit,to town,,,,,,
36,local,21,causal relationship,,Why did the old woman send Celandine to bed?,explicit,for fear the night air might give her an appetite,,,,,,
37,local,22,action,,What did the Fairy of the Beech-Woods do to make sure Celandine didn't starve?,explicit,She sent her an unlooked for relief in the shape of a beautiful white cow.,,,,,,
38,local,23,causal relationship,,Why did Prince Featherhead run after Celandine?,explicit,"He had recognized her, not as the Celandine whom he had slighted, but as the lovely Princess whom he had sought vainly for so long.",,,,,,
39,local,23,causal relationship,,Why did the Fairy transfer the enchantment from Celandine to the Prince?,explicit,Celandine had been punished enough.,,,,,,
40,local,25,action,,What did the Princess have?,explicit,"the unhappiness of a loving Prince who was fickle, frivolous, proud, incapable of caring for anyone but himself, who had been spoilt by flattery",,,,,,
41,local,25,outcome resolution,,What happened after the Fairy took the enchantment from the Prince?,explicit,The happy Princess recognized her lover.,,,,,,
42,local,25,action,,How did the enchantment change Celandine and the Prince?,explicit,They were capable of a real love for each other.,,,,,,
