question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,action,,What did Conan tell O Fionn to win?,explicit,victory and blessings,,,,,,
2,local,1,setting,,Where did Fionn go with the chief of the Fenians?,explicit,Teamhair Luachra,,,,,,
3,local,1,action,,What did Fionn and the chief of the Fenians take from the chase?,explicit,one fawn,,,,,,
4,local,1,character,,Who requested Fionn to give him the haunch?,explicit,Gobha Gaoithe,,,,,,
5,local,1,character,,Who overtook Gobha Gaoithe and brought the haunch back again to Fionn?,explicit,Caoilte,,,,,,
6,local,1,outcome resolution,,What happened after the giant saluted to Fionn and the sons of Ronan?,explicit,Fionn returned the salutation and asked the giant whence he came.,,,,,,
7,local,1,action,character,What did Fionn and the sons of Ronan see?,explicit,"a huge, obnoxious, massy-boned, black, detestable giant, having only one eye, one arm, and one leg",,,,,,
8,summary,"1,2",causal relationship,,Why did the giant come to Fionn?,explicit,He heard there was not one man in the world more liberal in bestowing gifts than Fionn.,He came to solicit wealth and valuable gifts from Fionn.,,,,,
9,local,2,action,,What did the giant ask from Fionn?,explicit,the haunch,,,,,,
10,local,2,outcome resolution,,What happened after Fionn gave the giant the haunch?,explicit,The giant hopped over the lofty stockades of the town. He then made use of the utmost swiftness of his one leg to outstrip all the rest of the Fenians.,,,,,,
11,local,2,action,,What did the Fenian chiefs do when they saw the giant outstrip the other Fenians?,explicit,They started in pursuit of the giant.,,,,,,
12,summary,"1,2",character,,Who escaped Fionn in consequence of his swiftness and outstripped the Fenians of Eire?,explicit,the giant,,,,,,
13,local,3,setting,,Where did the giant pass before Fionn could reach him?,explicit,"Eas Roe (now Ballyshannon), of the son of Modhurin",,,,,,
14,local,3,character,,Who came to Fionn and the giant?,explicit,"Liagan Luaimneach, from Luachar Deaghaidh",,,,,,
15,local,3,causal relationship,,Why did Liagan Luaimneach and Caoilte Mac Ronan couch their javelins?,explicit,They intended to drive it through the giant and kill him in Fionn's arms.,,,,,,
16,local,3,action,,What did Bran Beag O'Buadchan invite Fionn to?,explicit,a feast,,,,,,
17,local,3,action,,What did Fionn do when Liagan Luaimneach and Caoilte Mac Ronan wanted to strike the giant?,explicit,protected the giant from their attacks,,,,,,
18,local,4,character,,What was the giant's name?,explicit,Roc,,,,,,
19,local,4,feeling,,How did Roc feel when he heard his betrothed boast of the swiftness and bravery of her lover?,explicit,hurt,,,,,,
20,local,4,character,,Who did Roc's betrothed torrent a deep love for?,explicit,Sgiath Breac,,,,,,
21,local,4,action,,What did Roc say he would challenge Sgiath Breacc and all Fenians of Eire to?,explicit,run a race with him,,,,,,
22,local,4,action,,What did Roc's betrothed do when she head about Roc's plan to race?,explicit,sneered,,,,,,
23,local,4,outcome resolution,,What happened after Roc was sneered by his betrothed?,explicit,"Roc went to his beloved friend, Aengus of the Brugh, to bemoan his fate.",,,,,,
24,local,4,outcome resolution,,What happened after Fionn heard Roc's story?,explicit,"Fionn repented himself of the indignity put upon the giant, and released the giant from his bonds.",Fionn bade Liagan Luaimneach companion him to the presence of his betrothed one and testify to her on Fionn's behalf of his prowess in the race.,,,,,
25,local,5,action,,What did Conan ask Fionn to do with the byword?,explicit,tell him the meaning of the byword,,,,,,
26,local,5,setting,,"Where were Fionn, Oisin, Caolite, Mac Lughaidh, and Diarmuid O'Duibhne one day?",explicit,on the summit of Cairn Feargall,,,,,,
27,local,5,action,,What did the giant carry?,explicit,an iron fork,a grunting hog placed between the prongs of the fork,,,,,
28,local,5,character,,"Who did Fionn, Oisin, Caolite, Mac Lughaidh, and Diarmuid O'Dubhain perceive approaching them?",explicit,"a rough, tall, huge giant",,,,,,
29,local,5,causal relationship,,Why didn't the other three and Fionn come up with the giant or the girl?,explicit,"a dark, gloomy, druidical mist showered down between them",they could not discern what road the giant and the girl took,,,,,
30,local,5,action,,What did they discover after the mist cleared away?,explicit,"a light-roofed, comfortable-looking house at the edge of the ford near at hand",,,,,,
31,local,5,character,,Who did Fionn see standing by the door jamb to the right hand?,explicit,"an aged, hoary-headed man",,,,,,
32,local,6,action,,What did Caolite do after he perceived Fionn to be thirsty?,explicit,began to complain bitterly on that account,,,,,,
33,local,6,action,,How did the water taste to Fionn?,explicit,like honey while he was drinking but bitter as gall when he put the vessel from his lips,,,,,,
34,local,6,outcome resolution,,What happened to Fionn after he drank the first water Caoilte gave him?,explicit,darting pains and symptoms of death seized Fionn and agonising pangs from the poisonous draught,,,,,,
35,local,6,action,,What did the man at the door-post tell Caoilte to do after Fionn was poisoned?,explicit,go out and bring a drink from the other fountain,,,,,,
36,local,6,feeling,,How did Fionn's people feel when Fionn recovered his color and appearance?,explicit,happy,joy,,,,,
37,local,7,action,,What part of the hog did the giant plan to give Fionn and his hounds?,explicit,one hindquarter,,,,,,
38,local,7,character,,Who said the division was unfair?,explicit,the ram,,,,,,
39,local,7,causal relationship,,Why did the ram say the division was unfair?,explicit,He had been altogether forgotten.,,,,,,
40,local,7,outcome resolution,,What happened after the ram exclaimed the division was unfair?,explicit,"He immediately snatched the quarter that lay before Fionn's four men, and carried it away into a corner, where he began to devour it.",,,,,,
41,local,7,action,,What did the man with twelve eyes do to the ram?,explicit,"caught the ram by the feet and gave him a violent pitch out of the door, so that he fell on his back on the ground",,,,,,
42,local,7,feeling,,How did Fionn feel when he saw the hag metamorphosize his four men into old men?,explicit,fearful,alarmed,,,,,
43,local,7,action,,What did Fionn find when he woke up?,explicit,his men restored to their own shape,,,,,,
44,local,7,causal relationship,,Why did the hag desire Fionn to put his head on his bosom?,explicit,He saw that Fionn was seized with great fear and alarm.,,,,,,
45,local,8,character,,Who had bright eyes yonder?,explicit,WORLD,the old man,,,,,
46,local,8,causal relationship,,Why did Cuanna from Innistul come to the house?,explicit,"She conceived a wonderful love for Fionn, on account of his superiority in wisdom and general celebrity, she therefore put those things into the way before him in order that she might see him.",,,,,,
47,local,8,setting,,Where did Fionn and his men find themselves when they woke up?,explicit,the summit of Cairn Feargaill,,,,,,
48,summary,"5,8",outcome resolution,prediction,What will happen if someone drinks the draught while telling a lie?,explicit,One will find it sweet but it becomes bitter at the last.,,,,,,
49,summary,"7,8",action,,How did the old man prove that he was more powerful than anyone?,explicit,He rendered the ram powerless.,,,,,,
50,summary,"1,2",causal relationship,,Why did the giant want the haunch bone?,implicit,He heard Fionn was generous.,He wanted part of the hunt.,He was hungry.,,,,
51,local,2,causal relationship,,Why did the Fenian chiefs pursue the giant?,implicit,They wanted the haunch bone.,They did not like that the giant outstripped other Fenians.,They did not want the giant to take the haunch.,,,,
52,local,3,causal relationship,,Why did Fionn protect the giant?,implicit,He did not want the giant to be killed.,He gave the giant the haunch willingly.,He thought it was bad counsel to harm the giant.,,,,
53,local,4,feeling,prediction,How will Fionn feel when he hears Roc's story?,implicit,sorry,pitiful,sad,,,,
54,local,4,causal relationship,,Why did Fionn release Roc?,implicit,He wanted to help Roc.,He did not want Roc to get hurt.,Roc told him his story.,,,,
55,local,4,causal relationship,,Why did Roc want to race?,implicit,to prove his swiftness,to win his betrothed's heart,to show his prowess in the race,,,,
56,local,4,feeling,prediction,How will Roc feel when he makes his betrothed his wife?,implicit,happy,pleased,joyful,,,,
57,summary,"1,5",feeling,prediction,How will Conan feel hearing Fionn's stories?,implicit,excited,awed,inspired,,,,
58,local,6,outcome resolution,prediction,What will happen if Fionn does not drink water from the other fountain?,implicit,Fionn will die.,Fionn will be poisoned.,Fionn's people will be sad.,,,,
59,local,7,causal relationship,,Why was the man with twelve eyes angry with the ram?,implicit,The ram was rude to their guests.,The ram stole the meal of FInn's four men.,The ram did not wait for the giant to fix the issue.,,,,
