question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who lived down by the iron forge?,explicit,a poor widow woman,,,,,,
2,local,1,setting,,Where did the old woman live?,explicit,down by the iron forge near Enniscorthy,,,,,,
3,local,1,action,,What did the old woman do to warm her son?,explicit,"fixed him in the ash-hole, near the fire, and piled the warm ashes about him",,,,,,
4,local,1,action,,What did the old woman get by book or by crook?,explicit,a goat-skin,,,,,,
5,local,1,feeling,,How did the son feel when he fastened the goat-skin around his waist?,explicit,grand,,,,,,
6,local,1,causal relationship,,Why did the woman tell her son to take the rope and bring a bresna?,explicit,He never done any good yet.,,,,,,
7,local,1,character,,Who came up to Tom?,explicit,a big joiant,,,,,,
8,local,1,outcome resolution,action,What happened after Tom saw the joiant?,explicit,Tom jumped a-one side and picked up a ram-pike.,,,,,,
9,local,1,action,prediction,What will the giant do if Tom spares his life?,explicit,He'll give him that club.,,,,,,
10,local,1,action,prediction,What will the club do as long as Tom keeps from sin?,explicit,He'll win every battle he ever fights with it.,,,,,,
11,local,1,outcome resolution,,What happened after Tom got the club in his hands?,explicit,He sat down on the bresna and gave it a tap with the kippeen.,,,,,,
12,local,1,setting,,Where did the Bresna take Tom?,explicit,the widow's door,,,,,,
13,local,2,outcome resolution,,What happened after the sticks were all burned?,explicit,Tom was sent off again to pick more.,,,,,,
14,local,2,character,,Who did Tom have to fight with this time?,explicit,a giant with two heads on him,,,,,,
15,local,2,action,,What did the giant say he would give Tom?,explicit,a fife that nobody could help dancing when he was playing it,,,,,,
16,local,2,action,,What did Tom make the giant do?,explicit,"dance home, with himself sitting on it",,,,,,
17,local,2,character,,Who was the next giant?,explicit,a beautiful boy with three heads on him,,,,,,
18,local,2,causal relationship,,Why did the next giant give Tom a bottle of green ointment?,explicit,He had neither prayers nor catechism no more nor the others.,,,,,,
19,local,2,action,,What did the green ointment do?,explicit,"wouldn't let Tom be burned, nor scalded, nor wounded",,,,,,
20,local,2,causal relationship,,Why did Tom stop walking down street in the heel of the evening?,explicit,"Some of the little boys had no more manners nor if they were Dublin jackeens, and put out their tongues at Tom's club and Tom's goat-skin.",,,,,,
21,local,2,feeling,,How did Tom feel after defeating the giants?,explicit,proud,,,,,,
22,local,2,action,,What was proclaimed about the King of Dublin's daughter?,explicit,The King of Dublin's daughter was so melancholy that she didn't give a laugh for seven years.,,,,,,
23,local,2,feeling,,How did the King of Dublin's daughter feel?,explicit,melancholy,,,,,,
24,local,2,causal relationship,,Why didn't the King of Dublin's daughter laugh for seven years?,explicit,She was so melancholy.,,,,,,
25,local,2,action,,What did the King promise to whoever would make her laugh three times?,explicit,grant her in marriage,,,,,,
26,local,2,outcome resolution,,What happened after Tom kissed his mother?,explicit,"curled his club at the little boys, and he set off along the yalla highroad to the town of Dublin",,,,,,
27,local,3,action,,What did the guards do instead of letting Tom through?,explicit,laughed and cursed at him,,,,,,
28,local,3,causal relationship,,Why did the guards begin to beg for Tom to stay his hands?,explicit,A tap from Tom's club sent them headlong into the moat or down on the stones.,Tom did nothing but take the fellow by the scruff of his neck and the waistband of his corduroys and fling him into the canal.,,,,,
29,local,3,action,,What did one of the guards do?,explicit,drove his bagnet half an inch or so into his side,,,,,,
30,local,3,character,,Who was in the palace yard?,explicit,the King and Queen,,,,,,
31,local,3,setting,,Where was the princess?,explicit,in a gallery,,,,,,
32,local,3,causal relationship,,Why were there wrestling and rinka-fadhas?,explicit,to please the princess,,,,,,
33,local,3,causal relationship,,Why did the young giant have long black hair and a short curly beard?,explicit,His poor mother couldn't afford to buy razhurs.,,,,,,
