question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who were wanderers?,explicit,Manawyddan the prince and his friend Pryderi,,,,,,
2,local,1,causal relationship,,Why were Manawyddan the prince and his friend Pryderi wanderers?,explicit,"The brother of Manawyddan had been slain, and his throne taken from him.",,,,,,
3,local,1,feeling,,How did Manawyddan feel after his brother was slain?,explicit,very sorrowful,,,,,,
4,local,1,causal relationship,,Why wasn't Pryderi very sorrowful like Manawyddan?,explicit,He knew a way out of his trouble.,,,,,,
5,local,1,character,,Who did Pryderi want Manawyddan to be married to?,explicit,his mother Rhiannon,,,,,,
6,local,2,action,,"What did Rhiannon and Kieva, wife of Pryderi do after they heard the two men were coming?",explicit,made haste to prepare a feast for them,,,,,,
7,local,2,action,,What did Rhiannon do after Manawyddan proposed to her?,explicit,consented,,,,,,
8,local,2,outcome resolution,,"What happened after Rhiannon, Manawyddan, Kieva and Pryderi sat out in a green place?",explicit,"Suddenly the crash of thunder struck loudly on their ears, and a wall of mist fell between them.",,,,,,
9,local,2,feeling,,"How did Rhiannon, Manawyddan, Kieva and Pryderi feel when they were separated from each other?",implicit,scared,afraid,frightened,,,,
10,local,2,outcome resolution,,"What happened after light shone on Rhiannon, Manawyddan, Kieva and Pryderi again?",implicit,They were the only ones in the green place.,Everything disappeared from the green place.,,,,,
11,local,3,feeling,,"How did Rhiannon, Manawyddan, Kieva and Pryderi feel after everything disappeared?",implicit,concerned,confused,puzzled,,,,
12,local,3,action,,"What did Rhiannon, Manawyddan, Kieva and Pryderi do for a year?",explicit,"fed on the meat that Manawyddan and Pryderi killed out hunting, and the honey of the bees that sucked the mountain heather",,,,,,
13,local,3,causal relationship,,Why did Manawyddan want to go to England?,explicit,learn some trade by which they may live,,,,,,
14,local,3,action,,What did the four people make after they went to England?,explicit,saddles,,,,,,
15,local,3,causal relationship,,Why did saddlers band together to slay Manawyddan and his companions?,implicit,The townsfolk only bought from Manawyddan and his companions.,The saddlers did not make money after Manawyddan and his companions sold their saddles.,,,,,
16,local,4,causal relationship,,Why didn't Pryderi fight the saddlers?,explicit,"The counsels of Manawyddan prevailed, and they moved by night to another city.",,,,,,
17,local,4,action,,What craft did Manawyddan want to follow next?,explicit,make shields,,,,,,
18,summary,"4, 5",prediction,outcome resolution,What will happen after the four people decide to make shields?,explicit,"The shield-makers will band together as the saddlers had done, and resolve to slay them.",,,,,,
19,local,5,causal relationship,,"Why did Rhiannon, Manawyddan, Kieva and Pryderi leave to go to another town?",implicit,The shield-makers wanted to slay them.,They needed to leave before the shield-makers attacked them.,,,,,
20,local,5,action,,What craft did Manawyddan want to follow next after his group decided to not make shields anymore?,explicit,make shoes,,,,,,
21,local,5,causal relationship,,Why did Manawyddan want to make shoes?,explicit,There were not any among the shoemakers bold enough to fight them.,,,,,,
22,local,6,action,,What did Manawyddan seek the town for?,explicit,"the best leather, and for a goldsmith",,,,,,
23,local,6,character,,What was Manawyddan known as?,explicit,The Maker of Gold Shoes,,,,,,
24,local,6,setting,,Where did Manawyddan want to go to after craftsmen banded together to slay his group?,explicit,Dyved,,,,,,
25,local,6,action,,"What did Rhiannon, Manawyddan, Kieva and Pryderi do after they came to their lands at Narberth?",explicit,"gathered their dogs round them, and hunted for a year as before",,,,,,
26,local,7,causal relationship,,Why were the dogs scared when they came to a small bush?,implicit,They saw a boar.,They met a boar.,,,,,
27,local,8,setting,,Where did the boar run to?,explicit,the castle,,,,,,
28,local,8,action,,What did Pryderi want to do after the dogs and boars went into the castle?,explicit,go into the castle and get tidings of the dogs,,,,,,
29,local,8,feeling,,How did Pryderi feel after his dogs chased after the boar?,implicit,concerned,worried,,,,,
30,local,9,causal relationship,,Why did Pryderi forget about his dogs?,implicit,He saw a golden bowl.,He was pleased by the golden bowl.,,,,,
31,local,9,outcome resolution,,What happened after Pryderi took hold of the golden bowl?,explicit,"His hands stuck to the bowl, and his feet to the marble slab, and despair took possession of him.",,,,,,
32,local,9,feeling,,How did Pryderi feel after he was trapped?,implicit,scared,terrified,afraid,,,,
33,local,9,action,,What did Rhiannon do after she saw Pryderi?,explicit,hastened towards him,,,,,,
34,local,10,outcome resolution,,What happened after thunder was heard and a veil of darkness descended upon them?,explicit,The castle vanished and they with it.,,,,,,
35,local,10,feeling,,How did Kieva and Manawyddan feel after their partners disappeared?,implicit,sad,upset,unhappy,,,,
36,local,10,causal relationship,,Why did Kieva and Manawyddan move to England?,explicit,It was easier for us to live there.,,,,,,
37,local,11,action,,What craft did Manawyddan decide to follow after Rhiannon and Pryderi disappeared?,explicit,make shoes,,,,,,
38,local,11,action,,What did Manawyddan do after the shoemakers banded together in anger to kill him?,explicit,"left the town one night and proceeded to Narberth, taking with him a sheaf of wheat, which he sowed in three plots of ground",,,,,,
39,summary,"12, 13",causal relationship,,Why were Manawyddan's corn and wheat disappearing?,implicit,Mice took his crops.,Mice stole his crops.,,,,,
