question_id,local-or-sum,cor_section,ex-or-im1,attribute1,attribute2,question,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,explicit,setting,,Where did the boy and his sister live?,in an uninhabited country far out in the northwest,,,,,,
2,local,1,explicit,causal relationship,,Why was the boy called the Boy that carries the Ball on his Back?,He possessed supernatural powers.,,,,,,
3,local,1,explicit,action,,What happened after the man received the moccasins?,The man took up his war-club and set out in quest of the distant village.,,,,,,
4,local,2,explicit,character,,Who invited the man in?,a very old woman,,,,,,
5,local,2,explicit,action,,What did the old woman say the man could not succeed without?,the invisible bones they use in the medicine-dance,,,,,,
6,local,2,explicit,setting,,Where did the two false daughters dwell?,a great tree which is smooth and without bark,a small lodge,,,,,
7,local,2,implicit,outcome resolution,,What happened to the man's elder brothers?,have been destroyed,were killed by the false daughters,,,,,
8,local,3,explicit,action,,What did Onwee changed himself into?,a squirrel,,,,,,
9,local,3,explicit,causal relationship,,Why did Onwee thrust one of the bones into the trunk of the tree?,He remembered the instructions of the old woman.,,,,,,
10,local,3,explicit,outcome resolution,action,What did Onwee do after he turned into a squirrel?,mounted nimbly up again,,,,,,
11,local,4,explicit,character,,Who were the two wicked sisters?,Azhabee and Negahabee,,,,,,
12,local,4,explicit,action,,What did Ownee do when the bones were gone and the lodge was well-nigh out of sight?,began to despair,,,,,,
13,local,5,explicit,action,,What did Ownee notice whenever he addressed the sister on his left hand?,The tree would tremble as before and settle down to its former place,,,,,,
14,local,5,implicit,causal relationship,,Why did Ownee continue to address the sister on the his left hand?,He wanted to get closer to the ground.,He wanted the tree to descend.,He wanted to be settled down near the earth,,,,
15,local,5,explicit,action,,How did Ownee kill the wicked women?,"He raised the club, and with one blow laid the two wicked women dead at his feet.",,,,,,
16,local,5,explicit,causal relationship,,Why did Ownee set off at random?,learned that these sisters had a brother living with their father who would now pursue him for having put an end to their wicked profits,,,,,,
17,local,6,explicit,feeling,,How did the brother feel when the father told him his sisters were slain?,greatly inflamed,,,,,,
18,local,6,explicit,character,,Who did the brother blame for his sisters' deaths?,Ownee,,,,,,
19,local,6,explicit,prediction,outcome resolution,What would happen if the brother tasted food before he succeeded?,The brother's power would be destroyed.,,,,,,
20,local,7,explicit,causal relationship,,Why did the son take all of his father's advice but the portion which enjoined upon him to abstain from staying his stomach?,"The brother of the two wicked sisters had, among numerous noble gifts, a very noble appetite.",,,,,,
