question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who did Aspenclog go to for work?,explicit,the king,,,,,,
2,local,1,causal relationship,,Why did the king agree do Aspenclog's condition?,explicit,He thought he would always have enough for  him to do.,,,,,,
3,local,1,character,,Who was an aspen-tree?,explicit,Aspenclog's mother,,,,,,
4,local,1,outcome resolution,,What happened because Aspenclog piled up such a tremendous load?,explicit,Two horses could not pull the wagon.,"He took two polar bears, harnessed them to the wagon, and drove it home.",,,,,
5,local,1,action,,What did the king send Aspenclog to do?,explicit,gather wood,,,,,,
6,local,1,action,,What did the bears do in the stable?,explicit,ate up all the king's cattle,,,,,,
7,local,1,causal relationship,,How was Aspenclog able to gather so much wood?,implicit,He was very strong.,He was very powerful.,He was very skilled.,,,,
8,local,2,action,,What was Aspenclog's next task?,explicit,to keep a mill grinding,,,,,,
9,local,2,action,,What was wrong with the mill?,explicit,The evil one often brought it to a stop.,The evil one had wedged his leg between the mill-stones.,,,,,
10,local,2,action,,How did Aspenclog find out the issue with the mill?,explicit,took a candle and made a search,,,,,,
11,local,2,feeling,,How did the evil one feel when Aspenclog chopped his leg?,implicit,fearful,scared,afraid,,,,
12,local,2,action,,What did Aspenclog want in exchange for the leg?,explicit,a bushel of money,,,,,,
13,local,2,causal relationship,,Why did the evil one want to trick Aspenclog?,explicit,The evil one had to pay Aspenclog the money.,,,,,,
14,local,2,action,,What did Aspenclog do when the evil one tried to trick him?,implicit,tricked him back,outsmarted him,,,,,
15,local,2,action,,What were the black spots according to Aspenclog?,explicit,balls he had already thrown up to the moon.,,,,,,
16,local,2,causal relationship,,Why did the evil one not let Aspenclog throw?,explicit,The evil one was afraid of losing his ball.,,,,,,
17,local,3,character,,Who would blow first?,explicit,Aspenclog,,,,,,
18,local,3,action,,What did Aspenclog do with the fir-tree?,explicit,wound it around his horn like a reed,,,,,,
19,local,3,causal relationship,,Why did the evil one begin to get frightened?,implicit,Aspenclog was very strong.,Aspenclog was very skilled.,Aspenclog would take his money.,,,,
20,local,4,action,,What work did the king think would last Aspenclog a lifetime?,explicit,going out against the enemy,,,,,,
21,local,4,action,,What did Aspenclog want to take with him?,explicit,plenty of provisions,,,,,,
22,local,4,outcome resolution,,What happened when the enemy shot at Aspenclog?,explicit,The bullets did not touch him.,,,,,,
23,local,4,action,,How did Aspenclog take down the enemy?,explicit,"stood up, tore out an enormous oak by the roots, and lay about him with it",,,,,,
