question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,causal relationship,,Why did the man not want to keep his cat?,explicit,She ate so very much.,,,,,,
2,local,1,action,,What did the woman offer the cat?,explicit,a dish of mush and a little potful of fat,,,,,,
3,local,1,action,,What was the cat to do before the man threw her into the river?,explicit,something to eat just once more,,,,,,
4,local,1,action,,What did the cat do after she ate?,explicit,jumped out of the window,,,,,,
5,local,2,outcome resolution,action,What did the cat do because she did not have enough to eat?,explicit,seized the man and ate him up,seized the woman and ate her up,,,,,
6,local,2,setting,,Where did the cat go after she ate the man up?,explicit,the stable,,,,,,
7,local,2,prediction,action,What will the cat do when she sees the cow?,explicit,eat her up,,,,,,
8,local,3,character,,Who did the cat eat after the bell-cow?,explicit,a man who was sweeping up leaves,the leaf-sweeper,,,,,
9,local,4,action,,What was the weasel doing when the cat came to a stone-pile?,explicit,looking about him,,,,,,
10,local,4,action,,How many people had the cat eaten so far?,implicit,three,three people,,,,,
11,local,5,setting,,Where did the cat come to after she had gone a while?,explicit,a hazel bush,,,,,,
12,local,5,action,,What was the squirrel doing?,explicit,gathering nuts,,,,,,
13,local,5,action,,What did the cat do when she saw the squirrel?,explicit,seized the squirrel and ate him up,,,,,,
14,local,6,character,,What was the name of the fox?,explicit,Reynard,,,,,,
15,local,8,causal relationship,,Why did the cat eat up the wolf?,implicit,She was hungry.,She hadn't eaten enough yet.,,,,,
16,local,9,action,,What did the cat do before meeting the young bear?,explicit,"went into the wood and gone far and farther than far, over hill and dale",,,,,,
17,local,10,causal relationship,,Why was the mother bear angry?,explicit,She lost her little one.,,,,,,
18,local,10,action,outcome resolution,What did the mother bear do because she was angry?,explicit,clawing at the tree-stems so that the bark flew,,,,,,
19,local,12,character,,Who else did the cat eat with the whole bridal party?,explicit,"the cook, the musicians, the horses, and all",,,,,,
20,local,17,outcome resolution,,What happened because the goat butted the cat with his horns?,explicit,"She rolled off the bridge, and fell into the water, and there she burst.",,,,,,
21,local,17,causal relationship,,How was everyone who had been eaten by the cat able to live?,explicit,She burst.,,,,,,
22,local,17,action,,What did everyone do after crawling out?,explicit,went to his own place,,,,,,
