question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,setting,,Where did the poor couple live?,explicit,in a great forest,,,,,,
2,local,1,outcome resolution,,What happened because the couple was so poor?,explicit,They did not know how they were going to get her christened.,,,,,,
3,local,1,action,,What was the couple blessed with?,explicit,a charming little daughter,,,,,,
4,local,1,action,outcome resolution,What did the father do because he wanted his daughter to be christened?,explicit,find a god-father to pay for the child's christening,,,,,,
5,local,1,causal relationship,,Why did the mother at first say no to the lovely lady?,implicit,She did not want to give her daughter away.,She did not want the lady to keep her daughter.,,,,,
6,local,1,character,,Who did the father meet on his way home?,explicit,a very lovely lady,,,,,,
7,local,1,causal relationship,,Why did no one want to be the god-father?,implicit,They did not want to pay for the christening.,They did not want to give money for the christening.,,,,,
8,local,1,causal relationship,,Why did the couple let the lady have their child?,explicit,They could not find a got-father.,,,,,,
9,local,1,character,,Who came with the lady to the man's hut?,explicit,two other men,,,,,,
10,local,1,action,,How was the foster-mother to the girl?,explicit,good and kind,,,,,,
11,local,2,action,,What did the foster-mother wish to do?,explicit,take a journey,,,,,,
12,local,2,action,,How many rooms did the foster-mother tell the girl not to go in?,explicit,three,,,,,,
13,local,2,outcome resolution,,What happened because the girl could not resist opening the door?,explicit,out flew a star,Her foster-mother was much grieved.,Her foster-mother was so annoyed that she threatened to send her away.,,,,
14,local,2,causal relationship,,Why was the girl allowed to remain?,explicit,The girl pleaded and cried.,,,,,,
15,local,2,feeling,,How did the girl feel when her foster-mother threatened to send her away?,implicit,sad,upset,remorseful,,,,
16,local,3,setting,,Where was the girl forbidden from?,explicit,the two other rooms,,,,,,
17,local,3,causal relationship,,Why did the girl open the second door?,explicit,She had been alone for some time and had all sorts of thoughts as to what there might be in the second room.,,,,,,
18,local,3,action,,What came out of the second door?,explicit,the moon,,,,,,
19,local,3,feeling,,How did the foster-mother feel when the moon slipped out?,implicit,annoyed,upset,frustrated,,,,
20,local,3,causal relationship,,Why could the foster-mother keep the girl no longer?,implicit,The girl was bothersome.,The girl caused problems.,The girl did not listen.,,,,
21,local,3,outcome resolution,,What happened because the girl cried bitterly and pleaded with grace?,explicit,She was once more allowed to remain.,,,,,,
22,local,3,prediction,action,What will the girl do when the foster-mother makes another journey?,implicit,open the third door,open the third room,,,,,
23,local,4,causal relationship,,Why did the girl open the third door?,explicit,The girl was all alone and bored.,,,,,,
24,local,4,feeling,,How did the girl feel at the thought of opening the third door?,implicit,excited,curious,interested,,,,
25,local,4,causal relationship,,Why did the foster-mother not listen to the cries of the girl?,implicit,She needed to be punished.,She had broken too many rules.,She had disobeyed her too many times.,,,,
26,local,4,action,,What choice did the daughter pick?,explicit,"becoming the most beautiful of all maidens, without the power of speech",,,,,,
27,local,4,action,,What must the girl do?,explicit,leave this place,,,,,,
28,local,5,setting,,Where did the girl come to after wandering for a time?,explicit,"a large, large wood",,,,,,
29,local,5,outcome resolution,,What happened no matter how far the girl went?,explicit,She could not reach its end.,,,,,,
30,local,5,setting,,Where did the girl sleep?,explicit,a high tree,,,,,,
31,local,5,causal relationship,,Why did the serving-maid throw down the pail?,implicit,She thought the girl's reflection was her own.,She thought she was too beautiful to carry water.,,,,,
32,local,5,causal relationship,,Why did the prince go to the spring?,explicit,He wanted to see what it all meant.,,,,,,
33,local,5,action,,What did the prince do when he saw the lovely maiden?,explicit,"coaxed her down, took her back home with him",,,,,,
34,local,5,causal relationship,,Why did the prince want the maiden to be his bride?,explicit,She was so beautiful.,,,,,,
35,local,6,outcome resolution,,What happened because the girl could not speak?,implicit,The prince's mother objected to their marriage.,The prince's mother thought she belonged to the troll-folk.,,,,,
36,local,6,causal relationship,,Why did the foster-mother cut the child's little finger?,implicit,to exact revenge on the girl,to punish the girl,,,,,
37,local,6,action,,What did people think when they opened their eyes again?,explicit,The queen devoured her child.,,,,,,
38,local,6,action,,How was the prince able to save the queen from punishment?,explicit,after much pleading,with the greatest difficulty,,,,,
39,local,7,feeling,,How did the queen feel when the foster-mother took her child?,implicit,devastated,sad,upset,,,,
40,local,7,causal relationship,,Why was the queen unable to tell others what her foster-mother had done?,implicit,She could not speak.,She was unable to talk.,,,,,
41,local,7,character,,Who was the foster-mother?,explicit,the Virgin Mary,,,,,,
42,local,7,causal relationship,,Why did the foster-mother take the queen's children?,explicit,punished for that which she did,"The queen had let the star, the moon and the sun slip out.",,,,,
43,local,7,character,,Who came when the queen was being led to her stake?,explicit,the foster-mother with all three children,,,,,,
44,local,8,feeling,,How did the prince's mother feel about the young queen?,explicit,very fond,,,,,,
45,local,7,prediction,feeling,How will the queen feel to have her children returned?,implicit,happy,excited,joy,,,,
