question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who was the older son?,explicit,John Nicholas,,,explicit,John Nicholas,,
2,local,1,character,,What kind of customer was the older son?,explicit,unpleasant,,,explicit,A most unpleasant customer,,
3,local,1,character,,Who was Lucky Andrew?,implicit,the youngest son,the youngest brother,,implicit,The youngest son,,
4,local,1,character,,What kind of person was Lucky Andrew?,explicit,good natured,wild and high spirited,,explicit,wild and high spirited,always good natured,
5,local,1,action,,What did Andrew always insist?,explicit,He had been born under a lucky star.,,,explicit,that he bad been born under a lucky star,,
6,local,1,action,,What would occasionally happen to Andrew?,explicit,His boat would capsize.,,,explicit,his boat capsize,,
7,local,1,feeling,,How did Andrew feel when his boat was capsized and was overcome with water?,explicit,quite well,lucky,,explicit,quite well,,
8,local,1,feeling,character,How were Andrew's feelings about being capsized different from how other people would feel?,implicit,Other people would be scared or upset.,Andrew still felt well even in danger.,,implicit,he felt lucky and not scared,,
9,local,2,action,,What did the two brothers do not long after their father died?,explicit,go out to the sand-banks to fetch some fishing nets,,,explicit,go out to the sand-banks to fetch some fishing-nets,,
10,local,2,action,,How long had the fishing-nets been out?,explicit,since the summer fishing,,,explicit,since the summer fishing,,
11,local,2,action,,What did Andrew carry with him wherever he went?,explicit,his gun,,,explicit,his gun,,
12,local,2,setting,,When were the brothers ready to set out for home again?,explicit,near evening,,,explicit,until near evening,,
13,local,3,causal relationship,,Why did Andrew think there would be no storm?,explicit,The Seven Sisters have not put on their fog-caps.,,,explicit,The Seven Sisters have not put on their fog-caps,,
14,local,3,outcome resolution,,What happened because John Nicholas thought there would be a storm?,explicit,He thought it would be best if they stayed there until morning.,,,implicit,A storm took the brothers by surprise,,
15,local,4,causal relationship,,Why did the brothers decide to remain there for the night?,explicit,John Nicholas complained of being weary.,,,explicit,complained of being weary,,
16,local,4,feeling,,How did the brother feel because they had been traveling for a long time?,explicit,weary,,,explicit,weary,,
17,local,4,action,,What did Andrew see when he awoke?,explicit,neither brother nor boat,,,explicit,neither brother nor boat,,
18,local,4,setting,,Where did Andrew discover the boat and his brother?,explicit,far out,,,explicit,Far out darting for land,,
19,local,4,action,,What did Andrew do to see where his brother had gone?,explicit,He came to the highest point of the island.,,,explicit,He came to the highest point of the island,,
20,local,4,feeling,,How did Andrew feel when he saw his brother and boat far out?,implicit,confused,surprised,perplexed,implicit,He thought him to be a fool,,
21,local,4,action,,What was John Nicholas doing when Andrew saw him?,explicit,darting for land like a sea-gull,,,explicit,darting for land,,
22,local,4,causal relationship,,Why did John Nicholas maroon Andrew on the island?,explicit,in order to be able to keep their inheritance for himself and not have to divide it,,,explicit,in order to be able to keep their inheritance for himself,,
23,local,4,action,,What was Andrew left with?,explicit,"provisions, a dish of curd, his gun, and various other things",,,explicit,"provisions, as well as a dish of curd, his gun and various other things",,
