question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,causal relationship,,Why did the son not want to do a stroke of work?,explicit,He was so lazy and clumsy.,,,,,,
2,local,1,causal relationship,,Why did the man want to send his son far away?,implicit,He did not want to feed him for the rest of his life.,He was tired of taking care of his son.,,,,,
3,local,1,character,,Who was willing to take on the youth as a servant?,explicit,a rich man,,,,,,
4,local,1,action,,What conditions did the rich man have to take the youth as a servant?,explicit,He was to work three years without pay.,,,,,,
5,local,2,action,,How long did the youth serve?,explicit,three years,,,,,,
6,local,2,outcome resolution,,What happened to the youth's clothes over the three years?,implicit,They were worn in.,They were tattered.,They were in poor condition.,,,,
7,local,2,setting,,When did the master go to do his buying?,explicit,as early as possible in the morning,,,,,,
8,local,2,causal relationship,,Why did the master go so early in the morning?,implicit,He did not want to buy something expensive.,He thought that expensive items were not sold early in the morning.,,,,,
9,local,2,action,,What was the old woman carrying?,explicit,a covered basket,,,,,,
10,local,3,action,,How much did the old woman want for the basket?,explicit,four shillings,,,,,,
11,local,3,action,,What lay in the basket?,explicit,a pup,,,,,,
12,local,3,feeling,,How did the youth feel when he saw the pup?,implicit,satisfied,happy,content,,,,
13,local,3,action,,What was the youth doing when the man got home from his journey?,explicit,wondering what his wage for the first year might be,,,,,,
14,local,3,causal relationship,,Why was the youth satisfied with the gift?,explicit,He had always been fond of dogs.,,,,,,
15,local,4,character,,Who did the man meet before he reached town?,explicit,the old woman with the basket,,,,,,
16,local,4,causal relationship,,Why did the man decide to buy the basket?,explicit,He thought that this time he would make a better purchase.,,,,,,
17,local,4,action,,What lay in the second basket?,explicit,a kitten,,,,,,
18,local,4,feeling,,How did the man feel about the kitten?,implicit,letdown,disappointed,dislike,,,,
19,local,4,prediction,character,Who will the youth meet when he sets out for himself?,explicit,the old woman with the basket,,,,,,
20,local,5,action,,What did the old woman tell the youth to do if he were to take the basket?,explicit,not look into it before he got home,,,,,,
21,local,6,causal relationship,,Why did the youth open the basket before he got home?,explicit,He kept wondering as to what might be in the basket.,"He could not keep from raising the cover a little, and looking through the crack.",,,,,
22,local,6,action,,What did the lizard do when the youth opened the basket?,explicit,"popped out of the crack, and ran across the road so quickly",,,,,,
23,local,6,character,,Who did the lizard turn into?,explicit,a man,a prince,,,,,
24,local,7,action,,What did the old woman do to the prince's brother and sister?,explicit,turned them into a dog and cat,,,,,,
25,local,7,feeling,,How did the youth feel to hear the prince's story?,implicit,surprised,amazed,impressed,,,,
26,local,7,setting,,Where was the prince's house?,explicit,a high hill in the distance,,,,,,
27,local,7,causal relationship,,Why was the youth to be rewarded?,implicit,He saved the prince and his siblings.,He bought the basket from the witch and saved them.,He delivered the prince.,,,,
28,local,8,setting,,When did the prince and youth reach the prince's home?,explicit,late at night,,,,,,
29,local,8,character,,Who was the owner of the powerful voice?,explicit,the prince's father,the old man,,,,,
30,local,8,feeling,,How did the prince's father feel to see him?,implicit,excited,elated,overjoyed,,,,
31,local,8,action,,How was the youth treated by the prince's father?,implicit,well,politely,graciously,,,,
32,local,9,action,,What did the old man offer the youth?,explicit,a morning draft in a golden goblet,,,,,,
33,local,9,action,,What was the youth allowed to do as a reward?,explicit,pick out what he wanted,,,,,,
34,summary,"9,10",causal relationship,,Why did the youth speak to the prince before deciding?,implicit,The prince knew what was most valuable.,The youth did not know what to pick.,,,,,
35,local,10,outcome resolution,,What happened because the youth spoke to the prince?,explicit,The youth begged the king for the ring on his finger.,,,,,,
36,local,10,action,,What did the ring allow the youth to do?,explicit,get everything that he wanted to have,,,,,,
37,local,11,action,,What was the youth's first wish?,explicit,to be dressed in new clothes from head to toe,,,,,,
38,local,11,causal relationship,,Why did the youth want to play a trick on his father?,explicit,He was none too friendly to him while he was still home.,,,,,,
39,local,11,outcome resolution,,What happened because the youth came home more tattered and torn than he had left?,explicit,His father grew angry and began to scold.,,,,,,
40,local,12,action,,What did the youth want his father to do?,explicit,"go to the king as his proxy, and ask his daughter's hand for him",,,,,,
41,local,12,feeling,,How did the father feel about his son's request?,implicit,confused,alarmed,unsure,,,,
42,local,12,action,,What did the king tell the father to do after hearing his story?,explicit,send his son to the king,,,,,,
43,local,13,action,,What could be seen from the castle window?,explicit,a great ship from abroad,,,,,,
44,local,13,action,,How long did the king give the youth to build the ship?,explicit,an hour or two,,,,,,
45,summary,"10,13",prediction,action,How will the youth manage to build the ship?,implicit,wish for it,use the ring,,,,,
46,local,14,causal relationship,,Why did the king come down to shore?,explicit,He saw that there were two ships at anchor instead of one.,,,,,,
47,local,14,causal relationship,,Why did the youth sit on a sand-pile before working?,implicit,to pretend he was building the ship,to act like building the ship took a long time,,,,,
48,local,16,outcome resolution,,"What happened because the king, queen, and princess realized the youth was more than he had at first appeared to be?",explicit,"They decided that the princess was to treat him nicely, in order to find out how matters really stood.",,,,,,
49,local,17,causal relationship,,Why did the youth not want to tell the princess his secret?,implicit,They were not married yet.,He wanted to wait until they were married.,,,,,
50,local,17,causal relationship,,Why did the princess pretend to be unhappy?,implicit,to trick the youth,to make the youth tell her his secrets,,,,,
51,local,17,feeling,,How did the princess feel to find out the truth from the youth?,implicit,excited,happy,satisfied,,,,
52,local,18,setting,,Where did the princess wish the youth to be?,explicit,on the garbage-pile on the street,,,,,,
53,local,18,feeling,,How did the youth feel when he saw his ring was missing?,explicit,despair,,,,,,
54,local,19,setting,,Where did the rat go after crossing paths with the cat?,explicit,the castle,,,,,,
55,local,19,action,,How was the rat able to get into the rooms of the prince and princess?,explicit,found a little hole through which he crawled,,,,,,
56,local,19,character,,Who had the princess given the ring to?,explicit,the prince,,,,,,
57,local,20,outcome resolution,,What happened when the prince put the ring in his mouth and prepared to go to sleep?,explicit,"The ring slipped down his throat, and he had to cough, so that the ring flew out and rolled along the ground.",,,,,,
58,local,20,causal relationship,,Why did the king condemn the youth to death?,explicit,He had made a mock of his daughter.,,,,,,
59,local,20,setting,,Where was the youth being kept?,explicit,a great tower,,,,,,
60,local,20,outcome resolution,,What happened when the cat felt the water?,explicit,"She grew afraid, let the ring fall, and swam to land.",,,,,,
61,summary,"20,21",causal relationship,,Why did the dog have a stomach ache?,implicit,He ate a dead fish that had eaten the ring.,He swallowed the ring on accident.,,,,,
