question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,setting,,Where did a certain horse-dealer live?,explicit,"in South of Scotland, near the Border, not very far from Longtown",,,,,,
2,local,1,character,,Who was a certain horse-dealer?,explicit,Canonbie Dick,,,,,,
3,local,1,action,,What did Canonbie Dick have behind him as he went up and down the country?,explicit,a long string of horses,,,,,,
4,local,1,setting,,Where was Canonbie Dick riding over?,explicit,Bowden Moor,,,,,,
5,local,1,character,,"Who were resting under the three high peaks, waiting for the mystic call that shall awake them?",explicit,King Arthur and his Knights,,,,,,
6,local,2,character,,Who had white hair and an old-world dress and seemed almost to start out of the ground?,explicit,a venerable man,,,,,,
7,local,2,action,,What did Canonbie Dick do while he was riding over Bowden Moor?,explicit,"rode along at a snail's pace, thought over the bargains which he had made at the fair that day, and wondered when he was likely to dispose of his two remaining horses",,,,,,
8,local,2,feeling,,How did Canonbie Dick feel when the stranger stopped to buy his horses?,implicit,surprised,amazed,astonished,,,,
9,local,3,action,,What did the old man do when he could not bargain with the horse-dealer?,explicit,"agreed to buy the animals, and, pulling a bag of gold from the pocket of his queerly cut breeches, he began to count out the price",,,,,,
10,local,3,prediction,feeling,How will Canonbie Dick feel when the stranger does not give him gold?,explicit,surprised,,,,,,
11,local,3,action,,What did the stranger give to Canonbie Dick instead of gold?,explicit,"Unicorns, and Bonnet-pieces, and other ancient coins",,,,,,
12,local,3,causal relationship,,Why wouldn't the stranger's coins be of use to the horse-dealer in his everyday transactions?,implicit,The coins were not the gold that was used at the time.,,,,,,
13,local,3,causal relationship,,Why did Canobie Dick took the stranger's coins?,explicit,"It was good, pure gold.",,,,,,
14,local,4,action,,What did the stranger do before the two parted?,explicit,commissioned Dick to get him other good horses at the same price,,,,,,
15,local,4,action,,What was the stipulation that the stranger made?,explicit,"the only stipulation he made being that Dick should always bring them to the same spot, after dark, and that he should always come alone.",,,,,,
16,local,3,action,,What did the horse-dealer do whenever he came across a suitable horse?,explicit,"lead it over Bowden Moor after dark, and he was sure to meet the mysterious, white-headed stranger",,,,,,
17,local,5,character,,How was the stranger different from Canonbie Dick's ordinary customers?,implicit,The old man never provided him with something to drink.,The old man only paid and left with his horses.,,,,,
18,local,5,causal relationship,,Why did Canobie Dick want to go home with the stranger?,implicit,He wanted to have refreshments.,He was thirsty.,,,,,
19,local,6,action,,What did the stranger do when Canonbie Dick asked to go home with him and have a little refreshment?,implicit,The stranger gave him a warning.,The stranger told Canonbie Dick that he needed courage to follow him back home.,,,,,
20,local,7,causal relationship,,Why did Canobie Dick feel a bit startled when he saw the entrance to the cavern?,explicit,he never remembered having seen any opening in the hillside there before?,,,,,,
21,local,7,feeling,,How did Canonbie Dick feel when he was wondering where he was being taken?,implicit,scared,concerned,worried,,,,
22,local,9,setting,,Where did Canonbie Dick and the stranger find themselves after they were enveloped in thick darkness?,explicit,an enormous cavern lit by flaming torches,,,,,,
23,summary,"9, 10",prediction,action,"What will Canonbie Dick do after he sees the motionless horses, knights, and steeds?",explicit,follow the old man up the hall to the far end of it,,,,,,
24,local,11,character,,Who was the stranger?,explicit,Thomas the Rhymer,,,,,,
25,local,11,causal relationship,,Why did the stranger ask Canonbie Dick if he knew Thomas the Rhymer?,implicit,The stranger wanted to reveal his identity.,The stranger wanted to tell him who he was.,,,,,
26,summary,"11, 12",prediction,action,What will Canonbie Dick choose?,explicit,the Horn,,,,,,
27,local,12,feeling,,How did Canonbie Dick feel when he was choosing between the Horn and the Sword?,implicit,nervous,anxious,,,,,
28,local,12,causal relationship,,Why didn't Canonbie Dick choose the Sword?,implicit,The spirits might believe he was a threat.,The spirits might band together against him.,,,,,
29,local,12,outcome resolution,,What happened when Canonbie Dick choose the Horn?,explicit,Thunder rolled in crashing peals through the immense hall.,The charmed Knights and their horses woke in an instant from their enchanted sleep.,,,,,
30,local,12,action,,What did the Knights do when they woke up from their enchanted sleep?,explicit,"sprang to their feet and seized their swords, brandishing them round their heads",,,,,,
31,local,12,action,,What did the horses do when they woke up from their enchanted sleep?,explicit,"stamped, and snorted, and ground their bits, as if eager to escape from their stalls",,,,,,
32,local,13,causal relationship,,Why did Canonbie Dick lose his courage?,explicit,He was terrified at seeing so many threatening faces turned towards him.,,,,,,
33,local,13,action,,What did Canonbie Dick try to do after he dropped the Horn?,explicit,"made one weak, undecided effort to pick up the Sword",,,,,,
34,local,13,outcome resolution,,What happened after Canonbie Dick tried to pick up the Sword?,explicit,"A perfect whirlwind of cold, raw air tore through the cavern, carrying the luckless horse-dealer along with it; and, hurrying him along the narrow passage through which he had entered, dashed him down outside on a bank of loose stones and shale.",,,,,,
35,local,13,action,,What did Canonbie Dick do the next morning?,explicit,whispered the story of his weird and fearful adventure,,,,,,
