question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,"Who was a very good-natured little fellow, and did his duties so willingly and well that everybody liked him?",explicit,a little page-boy,,,explicit,A little page-boy,,
2,local,1,setting,,Where did the little page-boy work?,explicit,the Castle,,,explicit,A stately Castle,,
3,local,1,character,,Who did the little page-boy serve?,explicit,the great Earl,,,explicit,The Great Earl,,
4,local,1,causal relationship,,Why did the Castle have a little postern that that opened to a narrow flight of steps?,explicit,Anyone who liked could go down there in the pleasant summer mornings and bathe in the shimmering sea.,,,explicit,So that anyone who liked could go down to the sea shore,,
5,local,2,causal relationship,,Why was the little page-boy very fond of going out on this moor?,explicit,"He could run about as much as he liked, chasing bumble-bees, and catching butterflies, and looking for birds' nests when it was nesting time.",,,explicit,He could run about as much as he liked,,
6,local,2,causal relationship,,Why did the bulter allow the little page-boy to go out on this moor?,explicit,He knew that it was good for a healthy little lad to have plenty of fun in the open air.,,,explicit,He knew that it was good for a healthy little lad to have plenty of fun in the open air,,
7,local,2,action,,What was the warning the butler gave to the little page-boy?,explicit,keep far away from the Fairy Knowe,,,explicit,Keep far away from the Fairy Knowe,,
8,local,2,causal relationship,,Why did the butler want the little page-boy to stay away from the Fairy Knowe?,implicit,The little Folk should not be trusted.,,,explicit,The Little Folk are not to trust,,
9,local,3,character,,Who would punish any rash mortal who came too near them?,explicit,the Fairies,,,explicit,Fairies,,
10,local,3,action,,What did the country people do to avoid going too near the Fairy Knowe?,explicit,walk a good half-mile out of their way,,,explicit,Walk a good half-mile out of their way,,
11,local,3,causal relationship,,Why didn't the country people go to the moor at night?,explicit,"Everyone knows that Fairies come abroad in the darkness, and the door of their dwelling stands open, so that any luckless mortal who does not take care may find himself inside.",,,explicit,Fairies come abroad in the darkness,,
12,local,3,causal relationship,,Why was the little page-boy anxious to see the Fairies?,explicit,The little page-boy was an adventurous wight.,,,explicit,He was an adventurous wright,,
13,local,3,action,,What did the little page-boy want to do at the Fairy Knowe?,explicit,"see them, and to visit their abode, just to find out what it was like",,,explicit,"Visit their abode, just to find out what it was like",,
14,local,4,action,,What did the little page-boy do one night when everyone was asleep?,explicit,"crept out of the Castle by the little postern door, and stole down the stone steps, and along the sea shore, and up on to the moor, and went straight to the Fairy Knowe",,,explicit,He krept out of the Castle,,
15,summary,"3, 4",feeling,,How will the little page-boy feel when he reaches the Fairy Knowe?,explicit,delight,,,implicit,Adventurous,Brave,Full of wonder
16,local,4,feeling,,How did the little page-boy feel when he slipped inside the Knowe?,implicit,excited,thrilled,delighted,implicit,Delighted,Excited,
17,local,4,causal relationship,,Why was the little page-boy delighted?,explicit,He found that what everyone said was true.,,,explicit,"The top of the Knowe was tipped up and from the opening that was thus made, rays of light came streaming out",,
18,local,5,character,,Who did the little page-boy see after he slipped inside the Knowe?,explicit,"the Tiny Folk, Fairies, and Elves, and Gnomes",,,explicit,"Scores of Tiny Folk, Fairies, and Elves and Gnomes",,
19,local,5,action,,What did the little page-boy do after he came into a large room?,explicit,"stood in a dark corner watching the busy scene in wonder, thinking how strange it was that there should be such a number of these tiny beings living their own lives all unknown to men",,,explicit,He stood in a dark corner watching the busy scene in wonder,,
20,local,5,action,,What did the two Fairy Pages do after someone gave an order?,explicit,"darted from the table to a tiny cupboard in the rock, and returned staggering under the weight of a most beautiful silver cup, richly embossed and lined inside with gold",,,explicit,"They darted from the table to a tiny cupboard in the rock, and returned staggering under the weight of a most beautiful silver cup",,
21,local,6,action,,What did the Fairies do after the cup was placed on the table?,explicit,began to drink out of it in turn,,,explicit,All the fairies began to drink out of it in turn,,
22,local,6,action,,What did the little page-boy notice?,explicit,"no one poured wine into it, and yet it was always full, and that the wine that was in it was not always the same kind",,,explicit,No one poured wine into it and yet it was always full,,
23,local,6,action,,What did each Fairy do after they grasped its stem?,explicit,wished for the wine that he loved best,,,explicit,Wish for the win that he loved best,,
24,local,"6, 8",prediction,outcome resolution,What will happen after the little page-boy takes the cup?,explicit,The Fairies will chase him.,,,implicit,He will bring it back and show it to the Earl,,
25,local,"6, 8",action,,What did the little page boy want to do after watching the Fairies drink from the cup?,explicit,take the cup home with him,,,implicit,Take the cup back to the castle,,
26,summary,"6, 7",prediction,feeling,How will the Fairies feel when they see the little page-boy?,explicit,pleased,,,implicit,Surprised,Pleased,
27,summary,"6, 7",prediction,action,What will the Fairies do when they see the little page-boy ?,explicit,invite him to a seat at the table,,,implicit,They will trick him,They will hurt him,
28,local,"6, 7",prediction,outcome resolution,What will happen after the Fairies ask the little page-boy to sit down at the table?,explicit,They will grow rude and insolent.,,,implicit,They will make fun of him for serving mortals,,
29,local,7,action,,How were the Fairies rude to the little page-boy?,explicit,"jeered at him for being content to serve mere mortals, telling him that they saw everything that went on at the Castle, and making fun of the old butler",,,explicit,They jeered at him for being content to serve mere mortals,,
