question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who was to go to the woods and drive the cattle home?,explicit,a girl,,,,,,
2,local,1,outcome resolution,,What happened after the girl could not find the herd?,explicit,lost her way isntead,came to a great hill,,,,,
3,local,1,action,,What did the girl do when she came to the great hill?,explicit,went in,,,,,,
4,local,1,character,,Who laid in the bed?,explicit,a great snake,,,,,,
5,local,1,action,,What did the girl choose to do?,explicit,nothing at all,,,,,,
6,local,1,action,,What did the people want to do with the girl?,explicit,dance with the girl,,,,,,
7,local,2,setting,,Where did the girl go when the people began to eat and drink?,explicit,home,,,,,,
8,local,2,causal relationship,,How did the girl end up back at the same hill?,explicit,"She could not find her cattle, lost her way, and came to the same hill.",,,,,,
9,local,2,action,,What did the snake tell the girl to do when the people came?,explicit,do not go with them,,,,,,
10,local,3,action,,What did the girl do differently on the third day?,implicit,She ate and drank with a hearty appetite.,She laid next to the snake.,,,,,
11,local,3,character,,Who did the snake turn into?,explicit,a marvelously handsome youth,a prince,,,,,
12,local,3,causal relationship,,Why was the prince in the form of a snake?,explicit,magic spells,,,,,,
13,local,3,action,,How was the prince delivered?,explicit,by the girl's courage,,,,,,
