section,text
1,"Long, long ago there lived a widow who had three sons. The two eldest were grown up, and though they were known to be idle fellows, some of the neighbours had given them work to do on account of the respect in which their mother was held. But at the time this story begins they had both been so careless and idle that their masters declared they would keep them no longer. So home they went to their mother and youngest brother, of whom they thought little, because he made himself useful about the house, and looked after the hens, and milked the cow. 'Pinkel,' they called him in scorn, and by-and-by 'Pinkel' became his name throughout the village."
2,"The two young men thought it was much nicer to live at home and be idle than to be obliged to do a quantity of disagreeable things they did not like, and they would have stayed by the fire till the end of their lives had not the widow lost patience with them and said that since they would not look for work at home they must seek it elsewhere, for she would not have them under her roof any longer. But she repented bitterly of her words when Pinkel told her that he too was old enough to go out into the world, and that when he had made a fortune he would send for his mother to keep house for him. The widow wept many tears at parting from her youngest son, but as she saw that his heart was set upon going with his brothers, she did not try to keep him. So the young men started off one morning in high spirits, never doubting that work such as they might be willing to do would be had for the asking, as soon as their little store of money was spent."
3,"But a very few days of wandering opened their eyes. Nobody seemed to want them, or, if they did, the young men declared that they were not able to undertake all that the farmers or millers or woodcutters required of them. The youngest brother, who was wiser, would gladly have done some of the work that the others refused, but he was small and slight, and no one thought of offering him any. Therefore they went from one place to another, living only on the fruit and nuts they could find in the woods, and getting hungrier every day. One night, after they had been walking for many hours and were very tired, they came to a large lake with an island in the middle of it. From the island streamed a strong light, by which they could see everything almost as clearly as if the sun had been shining, and they perceived that, lying half hidden in the rushes, was a boat."
4,"'Let us take it and row over to the island, where there must be a house,' said the eldest brother; 'and perhaps they will give us food and shelter.' And they all got in and rowed across in the direction of the light. As they drew near the island they saw that it came from a golden lantern hanging over the door of a hut, while sweet tinkling music proceeded from some bells attached to the golden horns of a goat which was feeding near the cottage. The young men's hearts rejoiced as they thought that at last they would be able to rest their weary limbs, and they entered the hut, but were amazed to see an ugly old woman inside, wrapped in a cloak of gold which lighted up the whole house. They looked at each other uneasily as she came forward with her daughter, as they knew by the cloak that this was a famous witch."
5,"'What do you want?' asked she, at the same time signing to her daughter to stir the large pot on the fire.

'We are tired and hungry, and would fain have shelter for the night,' answered the eldest brother.

'You cannot get it here,' said the witch, 'but you will find both food and shelter in the palace on the other side of the lake. Take your boat and go; but leave this boy with me-I can find work for him, though something tells me he is quick and cunning, and will do me ill.'

'What harm can a poor boy like me do a great Troll like you?' answered Pinkel. 'Let me go, I pray you, with my brothers. I will promise never to hurt you.' And at last the witch let him go, and he followed his brothers to the boat."
6,"The way was further than they thought, and it was morning before they reached the palace.

Now, at last, their luck seemed to have turned, for while the two eldest were given places in the king's stables, Pinkel was taken as page to the little prince. He was a clever and amusing boy, who saw everything that passed under his eyes, and the king noticed this, and often employed him in his own service, which made his brothers very jealous."
7,"Things went on this way for some time, and Pinkel every day rose in the royal favour. At length the envy of his brothers became so great that they could bear it no longer, and consulted together how best they might ruin his credit with the king. They did not wish to kill him-though, perhaps, they would not have been sorry if they had heard he was dead-but merely wished to remind him that he was after all only a child, not half so old and wise as they."
8,"Their opportunity soon came. It happened to be the king's custom to visit his stables once a week, so that he might see that his horses were being properly cared for. The next time he entered the stables the two brothers managed to be in the way, and when the king praised the beautiful satin skins of the horses under their charge, and remarked how different was their condition when his grooms had first come across the lake, the young men at once began to speak of the wonderful light which sprang from the lantern over the hut. The king, who had a passion for collection all the rarest things he could find, fell into the trap directly, and inquired where he could get this marvellous lantern."
9,"'Send Pinkel for it, Sire,' said they. 'It belongs to an old witch, who no doubt came by it in some evil way. But Pinkel has a smooth tongue, and he can get the better of any woman, old or young.'

'Then bid him go this very night,' cried the king; 'and if he brings me the lantern I will make him one of the chief men about my person.'"
10,"Pinkel was much pleased at the thought of his adventure, and without more ado he borrowed a little boat which lay moored to the shore, and rowed over to the island at once. It was late by the time he arrived, and almost dark, but he knew by the savoury smell that reached him that the witch was cooking her supper. So he climbed softly on to the roof, and, peering, watched till the old woman's back was turned, when he quickly drew a handful of salt from his pocket and threw it into the pot. Scarcely had he done this when the witch called her daughter and bade her lift the pot off the fire and put the stew into a dish, as it had been cooking quite long enough and she was hungry. But no sooner had she tasted it than she put her spoon down, and declared that her daughter must have been meddling with it, for it was impossible to eat anything that was all made of salt."
