section,text
1,"Long, long ago, there lived an old man and his wife who had three sons; the eldest was called Martin, the second Michael, while the third was named Jack.

One evening they were all seated round the table, eating their supper of bread and milk."
2,"'Martin,' said the old man suddenly, 'I feel that I cannot live much longer. You, as the eldest, will inherit this hut; but, if you value my blessing, be good to your mother and brothers.'

'Certainly, father; how can you suppose I should do them wrong?' replied Martin indignantly, helping himself to all the best bits in the dish as he spoke. The old man saw nothing, but Michael looked on in surprise, and Jack was so astonished that he quite forgot to eat his own supper."
3,"A little while after, the father fell ill, and sent for his sons, who were out hunting, to bid him farewell. After giving good advice to the two eldest, he turned to Jack.

'My boy,' he said, 'you have not got quite as much sense as other people, but if Heaven has deprived you of some of your wits, it was given you a kind heart. Always listen to what it says, and take heed to the words of your mother and brothers, as well as you are able!' So saying the old man sank back on his pillows and died.

The cries of grief uttered by Martin and Michael sounded through the house, but Jack remained by the bedside of his father, still and silent, as if he were dead also. At length he got up, and going into the garden, hid himself in some trees, and wept like a child, while his two brothers made ready for the funeral."
4,"No sooner was the old man buried than Martin and Michael agreed that they would go into the world together to seek their fortunes, while Jack stayed at home with their mother. Jack would have liked nothing better than to sit and dream by the fire, but the mother, who was very old herself, declared that there was no work for him to do, and that he must seek it with his brothers.

So, one fine morning, all three set out; Martin and Michael carried two great bags full of food, but Jack carried nothing. This made his brothers very angry, for the day was hot and the bags were heavy, and about noon they sat down under a tree and began to eat. Jack was as hungry as they were, but he knew that it was no use asking for anything; and he threw himself under another tree, and wept bitterly."
5,"'Another time perhaps you won't be so lazy, and will bring food for yourself,' said Martin, but to his surprise Jack answered:

'You are a nice pair! You talk of seeking your fortunes so as not to be a burden on our mother, and you begin by carrying off all the food she has in the house!'

This reply was so unexpected that for some moments neither of the brothers made any answer. Then they offered their brother some of their food, and when he had finished eating they went their way once more."
6,"Towards evening they reached a small hut, and knocking at the door, asked if they might spend the night there. The man, who was a wood-cutter, invited them him, and begged them to sit down to supper. Martin thanked him, but being very proud, explained that it was only shelter they wanted, as they had plenty of food with them; and he and Michael at once opened their bags and began to eat, while Jack hid himself in a corner. The wife, on seeing this, took pity on him, and called him to come and share their supper, which he gladly did, and very good he found it. At this, Martin regretted deeply that he had been so foolish as to refuse, for his bits of bread and cheese seemed very hard when he smelt the savoury soup his brother was enjoying.

'He shan't have such a chance again,' thought he; and the next morning he insisted on plunging into a thick forest where they were likely to meet nobody."
7,"For a long time they wandered hither and thither, for they had no path to guide them; but at last they came upon a wide clearing, in the midst of which stood a castle. Jack shouted with delight, but Martin, who was in a bad temper, said sharply:

'We must have taken a wrong turning! Let us go back.'

'Idiot!' replied Michael, who was hungry too, and, like many people when they are hungry, very cross also. 'We set out to travel through the world, and what does it matter if we go to the right or to the left?' And, without another word, took the path to the castle, closely followed by Jack, and after a moment by Martin likewise."
8,"The door of the castle stood open, and they entered a great hall, and looked about them. Not a creature was to be seen, and suddenly Martin-he did not know why-felt a little frightened. He would have left the castle at once, but stopped when Jack boldly walked up to a door in the wall and opened it. He could not for very shame be outdone by his younger brother, and passed behind him into another splendid hall, which was filled from floor to ceiling with great pieces of copper money.

The sight quite dazzled Martin and Michael, who emptied all the provisions that remained out of their bags, and heaped them up instead with handfuls of copper."
9,"Scarcely had they done this when Jack threw open another door, and this time it led to a hall filled with silver. In an instant his brothers had turned their bags upside down, so that the copper money tumbled out on to the floor, and were shovelling in handfuls of the silver instead. They had hardly finished, when Jack opened yet a third door, and all three fell back in amazement, for this room as a mass of gold, so bright that their eyes grew sore as they looked at it. However, they soon recovered from their surprise, and quickly emptied their bags of silver, and filled them with gold instead. When they would hold no more, Martin said:

'We had better hurry off now lest somebody else should come, and we might not know what to do'; and, followed by Michael, he hastily left the castle. Jack lingered behind for a few minutes to put pieces of gold, silver, and copper into his pocket, and to eat the food that his brothers had thrown down in the first room. Then he went after them, and found them lying down to rest in the midst of a forest. It was near sunset, and Martin began to feel hungry, so, when Jack arrived, he bade him return to the castle and bring the bread and cheese that they had left there."
10,"'It is hardly worth doing that,' answered Jack; 'for I picked up the pieces and ate them myself.'

At this reply both brothers were beside themselves with anger, and fell upon the boy, beating him, and calling him names, till they were quite tired.

'Go where you like,' cried Martin with a final kick; 'but never come near us again.' And poor Jack ran weeping into the woods.

The next morning his brothers went home, and bought a beautiful house, where they lived with their mother like great lords."
11,"Jack remained for some hours in hiding, thankful to be safe from his tormentors; but when no one came to trouble him, and his back did not ache so much, he began to think what he had better do. At length he made up his mind to go to the caste and take away as much money with him as would enable him to live in comfort for the rest of his life. This being decided, he sprang up, and set out along the path which led to the castle. As before, the door stood open, and he went on till he had reached the hall of gold, and there he took off his jacket and tied the sleeves together so that it might make a kind of bag. He then began to pour in the gold by handfuls, when, all at once, a noise like thunder shook the castle. This was followed by a voice, hoarse as that of a bull, which cried:

'I smell the smell of a man.' And two giants entered."
