section,text
1,"'Phew!' cried Lisa.

'Ugh!' cried Aina.

'What now?' cried the big sister.

'A worm!' cried Lisa.

'On the raspberry!' cried Aina.

'Kill it!' cried Otto.

'What a fuss over a poor little worm!' said the big sister scornfully.

'Yes, when we had cleaned the raspberries so carefully,' said Lisa.

'It crept out from that very large one,' put in Aina.

'And supposing someone had eaten the raspberry,' said Lisa."
2,"'Then they would have eaten the worm, too,' said Aina.

'Well, what harm?' said Otto.

'Eat a worm!' cried Lisa.

'And kill him with one bite!' murmured Aina.

'Just think of it!' said Otto laughing.

'Now it is crawling on the table,' cried Aina again.

'Blow it away!' said the big sister.

'Tramp on it!' laughed Otto."
3,"But Lisa took a raspberry leaf, swept the worm carefully on to the
leaf and carried it out into the yard. Then Aina noticed that a sparrow
sitting on the fence was just ready to pounce on the poor little worm,
so she took up the leaf, carried it out into the wood and hid it under a
raspberry bush where the greedy sparrow could not find it. Yes, and
what more is there to tell about a raspberry worm? Who would give three
straws for such a miserable little thing? Yes, but who would not like
to live in such a pretty home as it lives in; in such a fresh fragrant
dark-red cottage, far away in the quiet wood among flowers and green
leaves!"
4,"Now it was just dinner time, so they all had a dinner of raspberries
and cream. 'Be careful with the sugar, Otto,' said the big sister; but
Otto's plate was like a snowdrift in winter, with just a little red
under the snow.

Soon after dinner the big sister said: 'Now we have eaten up the
raspberries and we have none left to make preserve for the winter; it
would be fine if we could get two baskets full of berries, then we could
clean them this evening, and to-morrow we could cook them in the big
preserving pan, and then we should have raspberry jam to eat on our
bread!'"
5,"'Come, let us go to the wood and pick,' said Lisa.

'Yes, let us,' said Aina. 'You take the yellow basket and I will take
the green one.'

'Don't get lost, and come back safely in the evening,' said the big
sister.

'Greetings to the raspberry worm,' said Otto, mockingly. 'Next time I
meet him I shall do him the honour of eating him up.'"
6,"So Aina and Lisa went off to the wood. Ah! how delightful it was there,
how beautiful! It was certainly tiresome sometimes climbing over the
fallen trees, and getting caught in the branches, and waging war with
the juniper bushes and the midges, but what did that matter? The girls
climbed well in their short dresses, and soon they were deep in the
wood.

There were plenty of bilberries and elder berries, but no raspberries.
They wandered on and on, and at last they came... No, it could not be
true!... they came to a large raspberry wood. The wood had been on fire
once, and now raspberry bushes had grown up, and there were raspberry
bushes and raspberry bushes as far as the eye could see. Every bush was
weighted to the ground with the largest, dark red, ripe raspberries,
such a wealth of berries as two little berry pickers had never found
before!"
7,"Lisa picked, Aina picked. Lisa ate, Aina ate, and in a little while
their baskets were full.

'Now we shall go home,' said Aina. 'No, let us gather a few more,' said
Lisa. So they put the baskets down on the ground and began to fill their
pinafores, and it was not long before their pinafores were full, too.

'Now we shall go home,' said Lina. 'Yes, now we shall go home,' said
Aina. Both girls took a basket in one hand and held up her apron in the
other and then turned to go home. But that was easier said than done.
They had never been so far in the great wood before, they could not find
any road nor path, and soon the girls noticed that they had lost their
way."
8,"The worst of it was that the shadows of the tress were becoming so long
in the evening sunlight, the birds were beginning to fly home, and the
day was closing in. At last the sun went down behind the pine tops, and
it was cool and dusky in the great wood.

The girls became anxious but went steadily on, expecting that the wood
would soon end, and that they would see the smoke from the chimneys of
their home.

After they had wandered on for a long time it began to grow dark. At
last they reached a great plain overgrown with bushes, and when they
looked around them, they saw, as much as they could in the darkness,
that they were among the same beautiful raspberry bushes from which they
had picked their baskets and their aprons full. Then they were so tired
that they sat down on a stone and began to cry."
9,"'I am so hungry,' said Lisa.

'Yes,' said Aina, 'if we had only two good meat sandwiches now.'

As she said that, she felt something in her hand, and when she looked
down, she saw a large sandwich of bread and chicken, and at the same
time Lisa said: 'How very queer! I have a sandwich in my hand.'

'And I, too,' said Aina. 'Will you dare to eat it?'

'Of course I will,' said Lisa. 'Ah, if we only had a good glass of milk
now!'"
10,"Just as she said that she felt a large glass of milk between her
fingers, and at the same time Aina cried out, 'Lisa! Lisa! I have a
glass of milk in my hand! Isn't it queer?'

The girls, however, were very hungry, so they ate and drank with a good
appetite. When they had finished Aina yawned, stretched out her arms and
said: 'Oh, if only we had a nice soft bed to sleep on now!'

Scarcely had she spoken before she felt a nice soft bed by her side, and
there beside Lisa was one too. This seemed to the girls more and more
wonderful, but tired and sleepy as they were, they thought no more about
it, but crept into the little beds, drew the coverlets over their heads
and were soon asleep."
11,"When they awoke the sun was high in the heavens, the wood was beautiful
in the summer morning, and the birds were flying about in the branches
and the tree tops.

At first the girls were filled with wonder when they saw that they had
slept in the wood among the raspberry bushes. They looked at each other,
they looked at their beds, which were of the finest flax covered over
with leaves and moss. At last Lisa said: 'Are you awake, Aina?'

'Yes,' said Aina.

'But I am still dreaming,' said Lisa.

'No,' said Aina, 'but there is certainly some good fairy living among
these raspberry bushes. Ah, if we had only a hot cup of coffee now, and
a nice piece of white bread to dip into it!'"
12,"Scarcely had she finished speaking when she saw beside her a little
silver tray with a gilt coffee-pot, two cups of rare porcelain, a sugar
basin of fine crystal, silver sugar tongs, and some good fresh white
bread. The girls poured out the beautiful coffee, put in the cream and
sugar, and tasted it; never in their lives had they drunk such beautiful
coffee.

'Now I should like to know very much who has given us all this,' said
Lisa gratefully.

'I have, my little girls,' said a voice just then from the bushes."
