section,text
1,"There was a man called Odshedoph, or the Child of Strong Desires, who
had a wife and one son. He had withdrawn his family from the village,
where they had spent the winter, to the neighborhood of a distant
forest, where game abounded. This wood was a day's travel from his
winter home, and under its ample shadow the wife fixed the lodge, while
the husband went out to hunt. Early in the evening he returned with a
deer, and, being weary and athirst, he asked his son, whom he called
Strong Desire, to go to the river for some water. The son replied that
it was dark, and he was afraid. His father still urged him, saying that
his mother, as well as himself, was tired, and the distance to the water
very short. But no persuasion could overcome the young man's reluctance.
He refused to go."
2,"""Ah, my son,"" said the father, at last, ""if you are afraid to go to the
river, you will never kill the Red Head.""

The stripling was deeply vexed by this observation; it seemed to touch
him to the very quick. He mused in silence. He refused to eat, and made
no reply when spoken to. He sat by the lodge door all the night through,
looking up at the stars, and sighing like one sorely distressed.

The next day he asked his mother to dress the skin of the deer, and to
make it into moccasins for him, while he busied himself in preparing a
bow and arrows.

As soon as these were in readiness, he left the lodge one morning, at
sunrise, without saying a word to his father or mother. As he passed
along, he fired one of his arrows into the air, which fell westward. He
took that course, and coming to the spot where the arrow had fallen, he
was rejoiced to find it piercing the heart of a deer."
3,"He refreshed
himself with a meal of the venison, and the next morning he fired
another arrow. Following its course, after traveling all day he found
that he had transfixed another deer. In this manner he fired four
arrows, and every evening he discovered that he had killed a deer.

By a strange oversight, he left the arrows sticking in the carcasses,
and passed on without withdrawing them. Having in this way no arrow for
the fifth day, he was in great distress at night for the want of food.

At last he threw himself upon the earth in despair, concluding that he
might as well perish there as go further. But he had not lain long
before he heard a hollow rumbling noise, in the ground beneath him, like
that of an earthquake moving slowly along."
4,"He sprang up, and discovered at a distance the figure of a human being,
walking with a stick. He looked attentively, and saw that the figure was
walking in a wide beaten path in a prairie, leading from a dusky lodge
to a lake, whose waters were black and turbid.

To his surprise, this lodge, which had not been in view when he cast himself upon the ground, was now near at hand. He approached a little nearer, and concealed himself; and in a moment he discovered that the figure was no other than that of the terrible witch, the little old woman who makes war. Her path to the lake was perfectly smooth and solid, and the noise Strong Desire had heard was caused by the striking of her walking staff upon the ground. The top of this staff was decorated with a string of the toes and bills of birds of every kind, who, at every stroke of the stick, fluttered and sung their various notes in concert."
5,"She entered her lodge and laid off her mantle, which was entirely composed of the scalps of women. Before folding it, she shook it several times, and at every shake the scalps uttered loud shouts of laughter, in which the old hag joined. The boy, who lingered at the door, was greatly alarmed, but he uttered no cry.

After laying by the cloak, she came directly to him. Looking at him steadily, she informed him that she had known him from the time he had left his father's lodge, and had watched his movements. She told him not to fear or despair, for she would be his protector and friend. She invited him into her lodge, and gave him a supper. During the repast, she questioned him as to his motives for visiting her. He related his history, stated the manner in which he had been disgraced, and the difficulties he labored under.

""Now tell me truly,"" said the little old woman who makes war, ""you were afraid to go to the water in the dark."""
6,"""I was,"" Strong Desire answered, promptly.

As he replied, the hag waved her staff. The birds set up a clamorous cry, and the mantle shook violently as all the scalps burst into a hideous shout of laughter.

""And are you afraid now,"" she asked again.

""I am,"" again answered Strong Desire, without hesitation.

""But you are not afraid to speak the truth,"" rejoined the little old woman. ""You will be a brave man yet.""

She cheered him with the assurance of her friendship, and began at once to exercise her power upon him. His hair being very short, she took a great leaden comb, and after drawing it through his locks several times, they became of a handsome length like those of a beautiful young woman. She then proceeded to dress him as a female, furnishing him with the necessary garments, and tinting his face with colors of the most charming dye."
7,"She gave him, too, a bowl of shining metal. She directed him to put in his girdle a blade of scented sword-grass, and to proceed the next morning to the banks of the lake, which was no other than that over which the Red Head reigned. Now Hah-Undo-Tah, or the Red Head, was a most powerful sorcerer, living upon an island in the centre of his realm of water, and he was the terror of all the country. She informed him that there would be many Indians upon the island, who, as soon as they saw him use the shining bowl to drink with, would come and solicit him to be their wife, and to take him over to the island. These offers he was to refuse, and to say that he had come a great distance to be the wife of the Red Head, and that if the chief could not seek her for himself, she would return to her village. She said, that as soon as the Red Head heard of this he would come for her in his own canoe, in which she must embark."
8,"""On reaching the shore,"" added the little old woman, ""you must consent to be his wife; and in the evening you are to induce him to take a walk out of the village, and when you have reached a lonesome spot, use the first opportunity to cut off his head with the blade of grass.""

She also gave Strong Desire general advice how he was to conduct himself to sustain his assumed character of a woman. His fear would scarcely permit him to consent to engage in an adventure attended with so much danger; but the recollection of his father's looks and reproaches of the want of courage, decided him.

Early in the morning he left the lodge of the little old woman who makes war, which was clouded in a heavy brackish fog, so thick and heavy to breathe, that he with difficulty made his way forth. When he turned to look back for it, it was gone.

He took the hard beaten path to the banks of the lake, and made for the water at a point directly opposite the Red Head's lodge."
9,"Where he now stood it was beautiful day. The heavens were clear, and the sun shone out as brightly to Strong Desire as on the first morning when he had put forth his little head from the door of his father's lodge. He had not been long there, sauntering along the beach, when he displayed the glittering bowl by dipping water from the lake. Very soon a number of canoes came off from the island. The men admired his dress, and were charmed with his beauty, and almost with one voice they all made proposals of marriage. These, Strong Desire promptly declined.

When this was reported to Red Head, he ordered his royal bark to be launched by his chosen men of the oar, and crossed over to see this wonderful girl. As they approached the shore, Strong Desire saw that the ribs of the sorcerer's canoe were formed of living rattlesnakes, whose heads pointed outward to guard him from his enemies. Being invited, he had no sooner stepped into the canoe, than they began to hiss and rattle furiously, which put him in a great fright; but the magician spoke to them, when they became pacified and quiet. Shortly after they were at the landing upon the island. The marriage took place immediately; and the bride made presents of various valuables which had been furnished her by the old witch who inhabited the cloudy lodge."
10,"As they were sitting in the lodge, surrounded by the friends and relatives, the mother of the Red Head regarded the face of her new daughter-in-law for a long time with fixed attention. From this scrutiny she was convinced that this singular and hasty marriage boded no good to her son. She drew him aside, and disclosed to him her suspicions. This can be no female, said she; she has the figure and manners, the countenance, and more especially the eyes, are beyond a doubt those of a man. Her husband rejected her suspicions, and rebuked her severely for entertaining such notions of her own daughter-in-law. She still urged her doubts, which so vexed the husband that he broke his pipe-stem in her face, and called her an owl.

This act astonished the company, who sought an explanation; and it was no sooner given, than the mock bride, rising with an air of offended dignity, informed the Red Head that after receiving so gross an affront from his relatives she could not think of remaining with him as his wife, but should forthwith return to her own friends."
