section,text
1,"Wassamo was living with his parents on the shore of a large bay, far out
in the north-east.

One day, when the season had commenced for fish to be plenty, the mother
of Wassamo said to him, ""My son, I wish you would go to yonder point and
see if you can not procure me some fish; and ask your cousin to
accompany you.""

He did so. They set out, and in the course of the afternoon they arrived
at the fishing-ground.

The cousin, being the elder, attended to the nets, and they encamped
near by, using the bark of the birch for a lodge to shelter them through
the night.

They lit a fire, and while they sat conversing with each other, the moon
arose. Not a breath of wind disturbed the smooth surface of the lake.
Not a cloud was seen. Wassamo looked out on the water toward their nets,
and he saw that the little black spots, which were no other than the
floats, dotting the lake, had disappeared.

""Cousin,"" he said, ""let us visit our nets; perhaps we are fortunate."""
2,"When they drew up the nets they were rejoiced to see the meshes shining
white, all over, with the glittering prey. They landed in fine spirits,
and put away their canoe in safety from the winds.

""Wassamo,"" said the cousin, ""you cook that we may eat.""

Wassamo set about the work at once, and soon had his great kettle swung
upon its branch, while the cousin lay at his ease upon the other side of
the fire.

""Cousin,"" said Wassamo, ""tell me stories or sing me some love-songs.""

The cousin obeyed, and sung his plaintive songs; or he would frequently
break off in the midst of a mournful chant, and begin to recite a
mirthful story, and then in the midst of Wassamo's laughter he would
return to the plaintive ditty--just as it suited his fancy; for the
cousin was gay of spirit, and shifted his humor faster than the fleecy
clouds that appeared and disappeared in the night-sky over their heads.
In this changeful pastime the cousin ran his length, and then he fell
away, murmuring parts of his song or story, into a silvery sleep; with
the moon gliding through the branches and gilding his face."
3,"Wassamo in the mean while had lost the sound of his cousin's voice in
the rich simmer of the kettle; and when its music pleased his ear the
most, as announcing that the fish were handsomely cooked, he lifted the
kettle from the fire. He spoke to his cousin, but he received no answer.

He went on with his housekeeping alone, and took the wooden ladle and
skimmed the kettle neatly, for the fish were very plump and fat. Wassamo
had a torch of twisted bark in one hand to give light, and when he came
to take out the fish, there was no one to have charge of the torch.

The cousin was so happy in his sleep, with the silver moon kissing his
cheeks, as though she were enamored of his fair looks, that Wassamo had
not the heart to call him up.

Binding his girdle upon his brow, in this he thrust the torch, and went
forward, with the light dancing through the green leaves at every turn
of his head, to prepare the evening meal.

He again spoke to his cousin, but gently, to learn whether he was in
truth asleep. The cousin murmured, but made no reply; and Wassamo
stepped softly about with the dancing fire-plume lighting up the gloom
of the forest at every turn he made."
4,"Suddenly he heard a laugh It was double, or the one must be the perfect
echo of the other. To Wassamo there appeared to be two persons at no
great distance.

""Cousin,"" said Wassamo, ""some person is near us. I hear a laugh; awake
and let us look out!""

The cousin made no answer.

Again Wassamo heard the laughter in mirthful repetition, like the ripple
of the water-brook upon the shining pebbles of the stream. Peering out
as far as the line of the torchlight pierced into the darkness, he
beheld two beautiful young females smiling on him. Their countenances
appeared to be perfectly white, like the fresh snow.

He crouched down and pushed his cousin, saying, in a low voice, ""Awake!
awake! here are two young women.""

But he received no answer. His cousin seemed lost to all earthly sense
and sound; for he lay unmoved, smiling, in the calm light of the moon.
Wassamo started up alone, and glided toward the strange females.

As he approached them he was more and more enraptured with their beauty;
but just as he was about to speak to them, he suddenly fell to the
earth, and they all three vanished together. The moon shone where they
had just stood, but she saw them not. A gentle sound of music and soft
voices accompanied their vanishing, and this wakened the cousin."
5,"As he opened his eyes, in a dreamy way, he saw the kettle near him. Some
of the fish he observed were in the bowl. The fire flickered, and made
light and shadow; but nowhere was Wassamo to be seen. He waited, and
waited again, in the expectation that Wassamo would appear.

""Perhaps,"" thought the cousin, ""he is gone out again to visit the nets.""

He looked off that way, but the canoe still lay close by the rock at the
shore. He searched and found his footsteps in the ashes, and out upon
the green ground a little distance, and then they were utterly lost.

He was now greatly troubled in spirit, and he called aloud, ""Netawis!
cousin! cousin!"" but there was no answer to his call. He called again in
his sorrow, louder and louder, ""Netawis! Netawis! cousin! cousin!
whither are you gone?"" But no answer came to his voice of wailing. He
started for the edge of the woods, crying as he ran, ""My cousin!"" and
""Oh, my cousin!""

Hither and thither through the forest he sped with all his fleetness of
foot and quickness of spirit; and when at last he found that no voice
would answer him, he burst into tears, and sobbed aloud."
6,"He returned to the fire, and sat down. He mused upon the absence of
Wassamo with a sorely-troubled heart. ""He may have been playing me a
trick,"" he thought; but it was full time that the trick should be at an
end, and Wassamo returned not. The cousin cherished other hopes, but
they all died away in the morning light, when he found himself alone by
the hunting-fire.

""How shall I answer to his friends for Wassamo?"" thought the cousin.
""Although,"" he said to himself, ""his parents are my kindred, and they
are well assured that their son is my bosom-friend, will they receive
that belief in the place of him who is lost. No, no; they will say that
I have slain him, and they will require blood for blood. Oh! my cousin,
whither are you gone?""

He would have rested to restore his mind to its peace, but he could not
sleep; and, without further regard to net or canoe, he set off for the
village, running all the way.

As they saw him approaching at such speed and alone, they said, ""Some
accident has happened."""
7,"When he had come into the village, he told them how Wassamo had
disappeared. He stated all the circumstances. He kept nothing to
himself. He declared all that he knew.

Some said, ""He has killed him in the dark."" Others said, ""It is
impossible; they were like brothers; they would have fallen for each
other. It can not be.""

At the cousin's request, many of the men visited the fish-fire. There
were no marks of blood. No hasty steps were there to show that any
conflict or struggle had occurred. Every leaf on every tree was in its
place; and they saw, as the cousin had before, that the foot-prints of
Wassamo stopped in the wood, as if he had gone no further upon the
earth, but had ascended into the air.

They returned to the village, and no man was the wiser as to the strange
and sudden vanishing of Wassamo. None ever looked to see him more; only
the parents, who still hoped and awaited his return."
8,"The spring, with all its blossoms and its delicate newness of life, came
among them; the Indians assembled to celebrate their vernal feast from
all the country round.

Among them came the sad cousin of Wassamo. He was pale and thin as the
shadow of the shaft that flies. The pain of his mind had changed his
features, and wherever he turned his eyes, they were dazzled with the
sight of the red blood of his friend.

The parents of Wassamo, far gone in despair, and weary with watching for
his return, now demanded the life of Netawis. The village was stirred to
its very heart by their loud lamentings; and, after a struggle of pity,
they decided to give the young man's life to the parents. They said that
they had waited long enough. A day was appointed on which the cousin was
to yield his life for his friend's.

He was a brave youth, and they bound him only by his word to be ready at
the appointed hour. He said that he was not afraid to die; for he was
innocent of the great wrong they laid to his charge."
9,"A day or two before the time set to take his life, he wandered sadly
along the shore of the lake. He looked at the glassy water, and more
than once the thought to end his griefs by casting himself in its
depths, came upon him with such sudden force that it was only by severe
self-control that he was able to turn his steps in another direction. He
reflected--""They will say that I was guilty if I take my own life. No. I
will give them my blood for that of my cousin.""

He walked on, with slow steps, but he found no comfort, turn where he
would; the sweet songs of the grove jarred upon his ear; the beauty of
the blue sky pained his sight; and the soft green earth, as he trode
upon it, seemed harsh to his foot, and sent a pang through every nerve.
""Oh, where is my cousin?"" he kept saying to himself.

Meanwhile, when Wassamo fell senseless before the two young women in the
wood, he lost all knowledge of himself until he wakened in a distant
scene. He heard persons conversing. One spoke in a tone of command,
saying, ""You foolish girls, is this the way that you rove about at
nights without our knowledge? Put that person you have brought on that
couch of yours, and do not let him lie upon the ground."""
10,"Wassamo felt himself moved, he knew not how, and placed upon a couch.
Some time after, the spell seemed to be a little lightened, and on
opening his eyes, he was surprised to find that he was lying in a
spacious and shining lodge, extending as far as the eye could reach.

One spoke to him and said: ""Stranger, awake, and take something
wherewith to refresh yourself.""

He obeyed the command and sat up. On either side of the lodge he beheld
rows of people seated in orderly array. At a distance he could see two
stately persons, who looked rather more in years than the others, and
who appeared to exact obedience from all around them. One of them, whom
he heard addressed as the Old Spirit-man, spoke to Wassamo. ""My son,""
said he, ""know it was those foolish girls who brought you hither. They
saw you at the fishing-ground. When you attempted to approach them you
fell senseless, and at the same moment they transported you to this
place. We are under the earth. But be at ease. We will make your stay
with us pleasant. I am the guardian Spirit of the Sand Mountains. They
are my charge. I pile them up, and blow them about, and do whatever I
will with them. It keeps me very busy, but I am hale for my age, and I
love to be employed. I have often wished to get one of your race to
marry among us. If you can make up your mind to remain, I will give you
one of my daughters--the one who smiled on you first, the night you
were brought away from your parents and friends."""
