section,text
1,"Once upon a time there was a king, who had a queen that he loved with
a great love. But after a time the queen died, and all he had left was
an only daughter. And now that the king was a widower, his whole heart
went out to the little princess. He cherished her as the apple of his
eye. And the king's young daughter grew up into the most lovely maiden
ever known."
2,"When the princess had seen the snows of fifteen winters, it happened
that a great war broke out. Her father had to march against
the foe."
3,"But there was no one to whom the king could entrust his daughter while
he was away at war. So he had a great tower built out in the forest,
provided it with a plentiful store of supplies. In it he shut up his
daughter and a maid. And he had it proclaimed that every man, no
matter who he might be, was forbidden to approach the tower in which
he had placed his daughter and the maid, under pain of death."
4,"Now the king thought he had taken every precaution to protect his
daughter, and went off to war. In the meantime the princess and her
maid sat in the tower. But in the city there were a number of brave
young sons of kings, as well as other young men, who would have liked
to have talked to the beautiful maiden. And when they found that this
was forbidden them, they conceived a great hatred for the king. At
length they took counsel with an old woman who was wiser than most
folk. They told her to arrange matters in such wise that the king's
daughter and her maid might come into disrepute, without their having
anything to do with it. The old hag promised to help them, enchanted
some apples, laid them in a basket, and went to the lonely tower in
which the maidens lived."
5,"When the king's daughter and her maid saw the old woman, who was
sitting beneath the window, they felt a great longing to try the
beautiful apples.

So they called out and asked how much she wanted for her precious
apples. The old woman said they were not for sale. Yet as the
girls kept on pleading with her, the old woman said she would make
each of them a present of an apple. They only need let down a little
basket from the tower. The princess and her maid, in all innocence,
did as the troll-woman told them, and each received an apple. But the
enchanted fruit had a strange effect, for in due course of time heaven
sent them each a child. The king's daughter called her son
Silverwhite, and the son of her maid received the name of Lillwacker."
6,"The two boys grew up larger and stronger than other children, and were
very handsome as well. They looked as much alike as one cherry-pit
does to another. One could easily see that they were related."
7,"Seven years had passed, and the king was expected home from the war.
Then both girls were terrified, and they took counsel together as to
how they might hide their children. When at length they could find no
other way out of the difficulty, they very sorrowfully bade their
children farewell. They let them down from the tower at night, to seek
their fortune in the wide, wide world. At parting the king's daughter
gave Silverwhite a costly knife. The maid had nothing to give her
son."
8,"The two foster-brethren now wandered out into the world. After they
had gone a while, they came to a dark forest. And in this forest they
met a man, strange-looking and very tall. He wore two swords at his
side, and was accompanied by six great dogs. He gave them a friendly
greeting:

""Good-day, little fellows, from where do you come and to where do you go?""
The boys told him they came from a high tower, and were going out into
the world to seek their fortune. The man replied:

""If such be the case, I know more about your origin than any one else.
And that you may have something by which to remember your father, I
will give each of you a sword and three dogs. But you must promise me
one thing, that you will never part from your dogs; but take them with
you wherever you go."" The boys thanked the man for his kind gifts, and
promised to do as he had told them. Then they bade him farewell and
went their way."
9,"When they had traveled for some time they reached a cross-road. Then
Silverwhite said:

""It seems to me that it would be the best for us to try our luck
singly, so let us part."" Lillwacker answered: ""Your advice is good,
but how am I to know whether or not you are doing well out in the
world?""

""I will give you a token by which you may tell,"" said Silverwhite, ""so
long as the water runs clear in this spring you will know that I am
alive. If it turns red and roiled, it will mean that I am dead.""
Silverwhite then drew runes in the water of the spring, said farewell
to his brother, and each of them went on alone. Lillwacker soon came
to a king's court, and took service there, but every morning he would
go to the spring to see how his brother fared."
10,"Silverwhite continued to wander over hill and dale, until he reached a
great city. But the whole city was in mourning, the houses were hung
in black, and all the inhabitants went about full of grief and care,
as though some great misfortune had occurred."
11,"Silverwhite went though the city and inquired as to the cause of all
the unhappiness he saw. They answered: ""You must have come from far
away, since you do not know that the king and queen were in danger of
being drowned at sea. He had to promise to give up their three
daughters in order to escape. To-morrow morning the sea-troll is
coming to carry off the oldest princess."" This news pleased
Silverwhite, for he saw a fine opportunity to wealth and fame, should
fortune favor him."
12,"The next morning Silverwhite hung his sword at his side, called his
dogs to him, and wandered down to the sea-shore alone. And as he sat
on the strand he saw the king's daughter led out of the city. With
her went a courtier, who had promised to rescue her. But the princess
was very sad and cried bitterly. Then Silverwhite stepped up to her
with a polite greeting. When the king's daughter and her escort saw
the fearless youth, they were much frightened, because they thought he
was the sea-troll. The courtier was so alarmed that he ran away and
took refuge in a tree. When Silverwhite saw how frightened the
princess was, he said: ""Lovely maiden, do not fear me, for I will do
you no harm."""
