document_id,text
the-toad,"The well was deep, and therefore the rope had to be a long one."
the-toad,It was heavy work turning the handle when any one had to raise a bucketful of water over the edge of the well.
the-toad,"Though the water was clear, the sun never looked down far enough into the well to mirror itself in the waters."
the-toad,"But as far as its beams could reach, green things grew forth between the stones in the sides of the well."
the-toad,Down below dwelt a family of the Toad race.
the-toad,"They had, in fact, come head-over-heels down the well, in the person of the old Mother-Toad, who was still alive."
the-toad,"The green Frogs, who had been established there a long time, and swam about in the water, called them ""well-guests."""
the-toad,"But the new-comers seemed determined to stay where they were, for they found it very agreeable living ""in a dry place,"" as they called the wet stones."
the-toad,The Mother-Frog had once been a traveller.
the-toad,"She happened to be in the water-bucket when it was drawn up, but the light became too strong for her, and she got a pain in her eyes."
the-toad,Fortunately she scrambled out of the bucket.
the-toad,"But she fell into the water with a terrible flop, and had to lie sick for three days with pains in her back."
the-toad,"She certainly had not much to tell of the things up above, but she knew this, and all the Frogs knew it, that the well was not all the world."
the-toad,"The Mother-Toad might have told this and that, if she had chosen, but she never answered when they asked her anything, and so they left off asking."
the-toad,"""She's thick, and fat and ugly,"" said the young green Frogs."
the-toad,"""and her children will be just as ugly as she is."""
the-toad,"""That may be,"" retorted the mother-Toad, ""but one of them has a jewel in his head, or else I have the jewel."""
the-toad,The young frogs listened and stared.
the-toad,"As these words did not please them, they made grimaces and dived down under the water."
the-toad,"But the little Toads kicked up their hind legs from mere pride, for each of them thought that he must have the jewel."
the-toad,Then they sat and held their heads quite still.
the-toad,"But at length they asked what it was that made them so proud, and what kind of a thing a jewel might be."
the-toad,"""Oh, it is such a splendid and precious thing, that I cannot describe it,"" said the Mother-Toad."
the-toad,"""It's something which one carries about for one's own pleasure, and that makes other people angry. But don't ask me any questions, for I shan't answer you."""
the-toad,"""Well, I haven't got the jewel,"" said the smallest of the Toads; she was as ugly as a toad can be."
the-toad,"""Why should I have such a precious thing? And if it makes others angry, it can't give me any pleasure. No, I only wish I could get to the edge of the well, and look out. It must be beautiful up there."""
the-toad,"""You'd better stay where you are,"" said the old Mother-Toad, ""for you know everything here, and you can tell what you have. Take care of the bucket, for it will crush you to death. Even if you get into it safely, you may fall out. And it's not every one who falls so cleverly as I did, and gets away with whole legs and whole bones."""
the-toad,"""Quack!"" said the little Toad."
the-toad,"That's just as if one of us were to say, ""Aha!"""
the-toad,"She had an immense desire to get to the edge of the well, and to look over."
the-toad,"She felt such a longing for the green, up there."
the-toad,"The next morning, when it chanced that the bucket was being drawn up, filled with water, and stopped for a moment just in front of the stone on which the Toad sat, the little creature's heart moved within it."
the-toad,"Our Toad jumped into the filled bucket, which presently was drawn to the top, and emptied out."
the-toad,"""Ugh, you beast!"""
the-toad,"said the farm laborer who emptied the bucket, when he saw the toad."
the-toad,"""You're the ugliest thing I've seen for one while."""
the-toad,"And he made a kick with his wooden shoe at the toad, which just escaped being crushed by managing to scramble into the nettles which grew high by the well's brink."
the-toad,"Here she saw stem by stem, but she looked up also."
the-toad,"The sun shone through the leaves, which were quite transparent."
the-toad,"She felt as a person would feel who steps suddenly into a great forest, where the sun looks in between the branches and leaves."
the-toad,"""It's much nicer here than down in the well! I should like to stay here my whole life long!"""
the-toad,said the little Toad.
the-toad,"So she lay there for an hour, yes, for two hours."
the-toad,"""I wonder what is to be found up here? As I have come so far, I must try to go still farther."""
the-toad,And so she crawled on as fast as she could crawl.
the-toad,"She got out upon the highway, where the sun shone upon her, and the dust powdered her all over as she marched across the way."
the-toad,"""I've got to a dry place now, and no mistake,"" said the Toad."
the-toad,"""It's almost too much of a good thing here; it tickles one so."""
the-toad,She came to the ditch.
the-toad,"Forget-me-nots were growing there, and meadow-sweet."
the-toad,"A very little way off was a hedge of whitethorn, and elder bushes grew there, too, and bindweed with white flowers."
the-toad,"Gay colors were to be seen here, and a butterfly, too, was flitting by."
the-toad,"The Toad thought it was a flower which had broken loose that it might look about better in the world, which was quite a natural thing to do."
the-toad,"""If one could only make such a journey as that!"" said the Toad."
the-toad,"""Croak! how capital that would be."""
the-toad,"Eight days and eight nights she stayed by the well, and experienced no want of provisions."
the-toad,"On the ninth day she thought, ""Forward! onward!"""
the-toad,But what could she find more charming and beautiful?
the-toad,Perhaps a little toad or a few green frogs.
the-toad,"During the last night there had been a sound borne on the breeze, as if there were cousins in the neighborhood."
the-toad,"""It's a glorious thing to live! glorious to get out of the well, and to lie among the stinging-nettles, and to crawl along the dusty road. But onward, onward! that we may find frogs or a little toad. We can't do without that. Nature alone is not enough for one."""
the-toad,And so she went forward on her journey.
the-toad,"She came out into the open field, to a great pond, round about which grew reeds."
the-toad,She walked into it.
the-toad,"""It will be too damp for you here,"" said the Frogs; ""but you are very welcome! Are you a he or a she? But it doesn't matter; you are equally welcome."""
the-toad,And she was invited to the concert in the evening--the family concert.
the-toad,Great enthusiasm and thin voices; we know the sort of thing.
the-toad,"No refreshments were given, only there was plenty to drink, for the whole pond was free."
the-toad,"""Now I shall resume my journey,"" said the little Toad."
the-toad,She always felt a longing for something better.
the-toad,"She saw the stars shining, so large and so bright, and she saw the moon gleaming."
the-toad,"Then she saw the sun rise, and mount higher and higher."
the-toad,"""Perhaps after all, I am still in a well, only in a larger well. I must get higher yet; I feel a great restlessness and longing."""
the-toad,"And when the moon became round and full, the poor creature thought, ""I wonder if that is the bucket which will be let down, and into which I must step to get higher up? Or is the sun the great bucket? How great it is! how bright it is! It can take up all. I must look out, that I may not miss the opportunity. Oh, how it seems to shine in my head! I don't think the jewel can shine brighter. But I haven't the jewel; not that I cry about that--no, I must go higher up, into splendor and joy! I feel so confident, and yet I am afraid. It's a difficult step to take, and yet it must be taken. Onward, therefore, straight onward!"""
the-toad,"She took a few steps, such as a crawling animal may take, and soon found herself on a road beside which people dwelt."
the-toad,There were flower gardens as well as kitchen gardens.
the-toad,And she sat down to rest by a kitchen garden.
the-toad,"""What a number of different creatures there are that I never knew! and how beautiful and great the world is! But one must look round in it, and not stay in one spot."""
the-toad,And then she hopped into the kitchen garden.
the-toad,"""How green it is here! how beautiful it is here!"""
the-toad,"""I know that,"" said the Caterpillar, on the leaf, ""my leaf is the largest here. It hides half the world from me, but I don't care for the world."""
the-toad,"""Cluck, cluck!"""
the-toad,And some fowls came.
the-toad,They tripped about in the cabbage garden.
the-toad,The Fowl who marched at the head of them had a long sight.
