document_id,text
how-molo-stole-the-lovely-rose-red,"At the time when the Tang dynasty reigned over the Middle Kingdom, there were master swordsmen of various kinds."
how-molo-stole-the-lovely-rose-red,Those who came first were the saints of the sword.
how-molo-stole-the-lovely-rose-red,"They were able to take different shapes at will, and their swords were like strokes of lightning."
how-molo-stole-the-lovely-rose-red,Before their opponents knew they had been struck their heads had already fallen.
how-molo-stole-the-lovely-rose-red,"Yet these master swordsmen were men of lofty mind, and did not lightly mingle in the quarrels of the world."
how-molo-stole-the-lovely-rose-red,The second kind of master swordsmen were the sword heroes.
how-molo-stole-the-lovely-rose-red,"It was their custom to slay the unjust, and to come to the aid of the oppressed."
how-molo-stole-the-lovely-rose-red,They wore a hidden dagger at their side and carried a leather bag at their belt.
how-molo-stole-the-lovely-rose-red,By magic means they were able to turn human heads into flowing water.
how-molo-stole-the-lovely-rose-red,"They could fly over roofs and walk up and down walls, and they came and went and left no trace."
how-molo-stole-the-lovely-rose-red,The swordsmen of the lowest sort were the mere bought slayers.
how-molo-stole-the-lovely-rose-red,They hired themselves out to those who wished to do away with their enemies.
how-molo-stole-the-lovely-rose-red,And death was an everyday matter to them.
how-molo-stole-the-lovely-rose-red,Old Dragonbeard must have been a master swordsman standing midway between those of the first and of the second order.
how-molo-stole-the-lovely-rose-red,"Molo, however, of whom this story tells, was a sword hero."
how-molo-stole-the-lovely-rose-red,"At that time there lived a young man named Tsui, whose father was a high official and the friend of the prince."
how-molo-stole-the-lovely-rose-red,"And the father once sent his son to visit his princely friend, who was ill."
how-molo-stole-the-lovely-rose-red,"The son was young, handsome and gifted."
how-molo-stole-the-lovely-rose-red,He went to carry out his father's instructions.
how-molo-stole-the-lovely-rose-red,"When he entered the prince's palace, there stood three beautiful slave girls, who piled rosy peaches into a golden bowl, poured sugar over them and presented them to him."
how-molo-stole-the-lovely-rose-red,"After he had eaten he took his leave, and his princely host ordered one of the slave girls, Rose-Red by name, to escort him to the gate."
how-molo-stole-the-lovely-rose-red,As they went along the young man kept looking back at her.
how-molo-stole-the-lovely-rose-red,And she smiled at him and made signs with her fingers.
how-molo-stole-the-lovely-rose-red,"First she would stretch out three fingers, then she would turn her hand around three times, and finally she would point to a little mirror which she wore on her breast."
how-molo-stole-the-lovely-rose-red,"When they parted she whispered to him: ""Do not forget me!"""
how-molo-stole-the-lovely-rose-red,When the young man reached home his thoughts were all in confusion.
how-molo-stole-the-lovely-rose-red,And he sat down absent-mindedly like a wooden rooster.
how-molo-stole-the-lovely-rose-red,"Now it happened that he had an old servant named Molo, who was an extraordinary being."
how-molo-stole-the-lovely-rose-red,"""What is the trouble, master,"" said he."
how-molo-stole-the-lovely-rose-red,"""Why are you so sad? Do you not want to tell your old slave about it?"""
how-molo-stole-the-lovely-rose-red,"So the boy told him what had occurred, and also mentioned the signs the girl had made to him in secret."
how-molo-stole-the-lovely-rose-red,"Said Molo: ""When she stretched out three fingers, it meant that she is quartered in the third court of the palace. When she turned round her hand three times, it meant the sum of three times five fingers, which is fifteen. When she pointed at the little mirror, she meant to say that on the fifteenth, when the moon is round as a mirror, at midnight, you are to go for her."""
how-molo-stole-the-lovely-rose-red,"Then the young man was roused from his confused thoughts, and was so happy he could hardly control himself."
how-molo-stole-the-lovely-rose-red,"But soon he grew sad again and said: ""The prince's palace is shut off as though by an ocean. How would it be possible to win into it?"""
how-molo-stole-the-lovely-rose-red,"""Nothing easier,"" said Molo."
how-molo-stole-the-lovely-rose-red,"""On the fifteenth we will take two pieces of dark silk and wrap ourselves up in them, and thus I will carry you there. Yet there is a wild dog on guard at the slave girl's court, who is strong as a tiger and watchful as a god. No one can pass by him, so he must be killed."""
how-molo-stole-the-lovely-rose-red,"When the appointed day had come, the servant said: ""There is no one else in the world who can kill this dog but myself!"""
how-molo-stole-the-lovely-rose-red,"Full of joy the youth gave him meat and wine, and the old man took a chain-hammer and disappeared with it."
how-molo-stole-the-lovely-rose-red,"And after no more time had elapsed than it takes to eat a meal he was back again and said: ""The dog is dead, and there is nothing further to hinder us!"""
how-molo-stole-the-lovely-rose-red,"At midnight they wrapped themselves in dark silk, and the old man carried the youth over the tenfold walls which surrounded the palace."
how-molo-stole-the-lovely-rose-red,They reached the third gateway and the gate stood ajar.
how-molo-stole-the-lovely-rose-red,"Then they saw the glow of a little lamp, and heard Rose-Red sigh deeply."
how-molo-stole-the-lovely-rose-red,The entire court was silent and deserted.
how-molo-stole-the-lovely-rose-red,The youth raised the curtain and stepped into the room.
how-molo-stole-the-lovely-rose-red,"Long and searchingly Rose-Red looked at him, then seized his hand."
how-molo-stole-the-lovely-rose-red,"""I knew that you were intelligent, and would understand my sign language. But what magic power have you at your disposal, that you were able to get here?"""
how-molo-stole-the-lovely-rose-red,The youth told her in detail how Molo had helped him.
how-molo-stole-the-lovely-rose-red,"""And where is Molo?"""
how-molo-stole-the-lovely-rose-red,she asked.
how-molo-stole-the-lovely-rose-red,"""Outside, before the curtain,"" was his answer."
how-molo-stole-the-lovely-rose-red,"Then she called him in and gave him wine to drink from a jade goblet and said: ""I am of good family and have come here from far away. Force alone has made me a slave in this palace. I long to leave it. For though I have jasper chop-sticks with which to eat, and drink my wine from golden flagons, though silk and satin rustle around me and jewels of every kind are at my disposal, all these are but so many chains and fetters to hold me here. Dear Molo, you are endowed with magic powers. I beg you to save me in my distress! If you do, I will be glad to serve your master as a slave, and will never forget the favor you do me."""
how-molo-stole-the-lovely-rose-red,The youth looked at Molo.
how-molo-stole-the-lovely-rose-red,Molo was quite willing.
how-molo-stole-the-lovely-rose-red,First he asked permission to carry away Rose-Red's gear and jewels in sacks and bags.
how-molo-stole-the-lovely-rose-red,Three times he went away and returned until he had finished.
how-molo-stole-the-lovely-rose-red,"Then he took his master and Rose-Red upon his back, and flew away with them over the steep walls."
how-molo-stole-the-lovely-rose-red,None of the watchmen of the prince's palace noticed anything out of the way.
how-molo-stole-the-lovely-rose-red,At home the youth hid Rose-Red in a distant room.
how-molo-stole-the-lovely-rose-red,"When the prince discovered that one of his slave-girls was missing, and that one of his wild dogs had been killed, he said: ""That must have been some powerful sword hero!"""
how-molo-stole-the-lovely-rose-red,"And he gave strict orders that the matter should not be mentioned, and that investigations should be made in secret."
how-molo-stole-the-lovely-rose-red,"Two years passed, and the youth no longer thought of any danger."
how-molo-stole-the-lovely-rose-red,"Hence, when the flowers began to bloom in the spring, Rose-Red went driving in a small wagon outside the city, near the river."
how-molo-stole-the-lovely-rose-red,"And there one of the prince's servants saw her, and informed his master."
how-molo-stole-the-lovely-rose-red,"The latter sent for the youth, who, since he could not conceal the matter, told him the whole story exactly as it had happened."
