document_id,text
the-iron-stove,"Once upon a time when wishes came true there was a king's son who was enchanted by an old witch, so that he was obliged to sit in a large iron stove in a wood."
the-iron-stove,"There he lived for many years, and no one could free him."
the-iron-stove,"At last a king's daughter came into the wood; she had lost her way, and could not find her father's kingdom again."
the-iron-stove,"She had been wandering round and round for nine days, and she came at last to the iron case."
the-iron-stove,"A voice came from within and asked her, 'Where do you come from, and where do you want to go?'"
the-iron-stove,"She answered, 'I have lost my way to my father's kingdom, and I shall never get home again.'"
the-iron-stove,"Then the voice from the iron stove said, 'I will help you to find your home again, and that in a very short time, if you will promise to do what I ask you. I am a greater prince than you are a princess, and I will marry you.'"
the-iron-stove,"Then she grew frightened, and thought, 'What can a young lassie do with an iron stove?'"
the-iron-stove,"But as she wanted very much to go home to her father, she promised to do what he wished."
the-iron-stove,"He said, 'You must come again, and bring a knife with you to scrape a hole in the iron.'"
the-iron-stove,"Then he gave her someone for a guide, who walked near her and said nothing, but he brought her in two hours to her house."
the-iron-stove,"There was great joy in the castle when the Princess came back, and the old King fell on her neck and kissed her."
the-iron-stove,"But she was very much troubled, and said, 'Dear father, listen to what has befallen me! I should never have come home again out of the great wild wood if I had not come to an iron stove, to whom I have had to promise that I will go back to free him and marry him!'"
the-iron-stove,"The old King was so frightened that he nearly fainted, for she was his only daughter."
the-iron-stove,"So they consulted together, and determined that the miller's daughter, who was very beautiful, should take her place."
the-iron-stove,"They took her there, gave her a knife, and said she must scrape at the iron stove."
the-iron-stove,"She scraped for twenty-four hours, but did not make the least impression."
the-iron-stove,"When the day broke, a voice called from the iron stove, 'It seems to me that it is day outside.'"
the-iron-stove,"Then she answered, 'It seems so to me; I think I hear my father's mill rattling.' ' So you are a miller's daughter! Then go away at once, and tell the King's daughter to come.'"
the-iron-stove,"Then she went away, and told the old King that the thing inside the iron stove would not have her, but wanted the Princess."
the-iron-stove,"The old King was frightened, and his daughter wept."
the-iron-stove,"But they had a swineherd's daughter who was even more beautiful than the miller's daughter, and they gave her a piece of gold to go to the iron stove instead of the Princess."
the-iron-stove,"Then she was taken out, and had to scrape for four-and-twenty hours, but she could make no impression."
the-iron-stove,"As soon as the day broke the voice from the stove called out, 'It seems to be daylight outside.'"
the-iron-stove,"Then she answered, 'It seems so to me too; I think I hear my father blowing his horn.' ' So you are a swineherd's daughter! Go away at once, and let the King's daughter come. And say to her that what I foretell shall come to pass, and if she does not come everything in the kingdom shall fall into ruin, and not one stone shall be left upon another.'"
the-iron-stove,"When the Princess heard this she began to cry, but it was no good; she had to keep her word."
the-iron-stove,"She took leave of her father, put a knife in her belt, and went to the iron stove in the wood."
the-iron-stove,"As soon as she reached it she began to scrape, and the iron gave way and before two hours had passed she had made a little hole."
the-iron-stove,Then she peeped in and saw such a beautiful youth all shining with gold and precious stones that she fell in love with him on the spot.
the-iron-stove,"So she scraped away harder than ever, and made the hole so large that he could get out."
the-iron-stove,"Then he said, 'You are mine, and I am thine; you are my bride and have set me free!'"
the-iron-stove,"He wanted to take her with him to his kingdom, but she begged him just to let her go once more to her father; and the Prince let her go, but told her not to say more than three words to her father, then to come back again."
the-iron-stove,"So she went home, but alas!"
the-iron-stove,she said MORE THAN THREE WORDS; and immediately the iron stove vanished and went away over a mountain of glass and sharp swords.
the-iron-stove,"But the Prince was free, and was no longer shut up in it."
the-iron-stove,Then she said good -
the-iron-stove,"bye to her father, and took a little money with her, and went again into the great wood to look for the iron stove; but she could not find it."
the-iron-stove,"She sought it for nine days, and then her hunger became so great that she did not know how she could live any longer."
the-iron-stove,"And when it was evening she climbed a little tree and wished that the night would not come, because she was afraid of the wild beasts."
the-iron-stove,"When midnight came she saw afar off a little light, and thought, 'Ah! if only I could reach that!'"
the-iron-stove,Then she got down from the tree and went towards the light.
the-iron-stove,"She came to a little old house with a great deal of grass growing round, and stood in front of a little heap of wood."
the-iron-stove,"She thought, 'Alas! what am I coming to?' and peeped through the window; but she saw nothing inside except big and little toads, and a table beautifully spread with roast meats and wine, and all the dishes and drinking-cups were of silver."
the-iron-stove,Then she took heart and knocked.
the-iron-stove,"Then a fat toad called out: 'Little green toad with leg like crook, Open wide the door, and look Who it was the latch that shook.'"
the-iron-stove,And a little toad came forward and let her in.
the-iron-stove,"When she entered they all bid her welcome, and made her sit down."
the-iron-stove,They asked her how she came there and what she wanted.
the-iron-stove,"Then she told everything that had happened to her, and how, because she had exceeded her permission only to speak three words, the stove had disappeared with the Prince; and how she had searched a very long time, and must wander over mountain and valley till she found him."
the-iron-stove,"Then the old toad said: 'Little green toad whose leg doth twist, Go to the corner of which you wist, And bring to me the large old kist.'"
the-iron-stove,And the little toad went and brought out a great chest.
the-iron-stove,"Then they gave her food and drink, and led her to a beautifully made bed of silk and samite, on which she lay down and slept soundly."
the-iron-stove,"When the day dawned she arose, and the old toad gave her three things out of the huge chest to take with her."
the-iron-stove,"She would have need of them, for she had to cross a high glass mountain, three cutting swords, and a great lake."
the-iron-stove,When she had passed these she would find her lover again.
the-iron-stove,"So she was given three large needles, a plough-wheel, and three nuts, which she was to take great care of."
the-iron-stove,"She set out with these things, and when she came to the glass mountain which was so slippery she stuck the three needles behind her feet and then in front, and so got over it, and when she was on the other side put them carefully away."
the-iron-stove,"Then she reached the three cutting swords, and got on her plough-wheel and rolled over them."
the-iron-stove,"At last she came to a great lake, and, when she had crossed that, arrived at a beautiful castle."
the-iron-stove,"She went in and gave herself out as a servant, a poor maid who would gladly be engaged."
the-iron-stove,But she knew that the Prince whom she had freed from the iron stove in the great wood was in the castle.
the-iron-stove,So she was taken on as a kitchen-maid for very small wages.
the-iron-stove,"Now the Prince was about to marry another princess, for he thought she was dead long ago."
the-iron-stove,"In the evening, when she had washed up and was ready, she felt in her pocket and found the three nuts which the old toad had given her."
the-iron-stove,"She cracked one and was going to eat the kernel, when behold!"
the-iron-stove,there was a beautiful royal dress inside it!
the-iron-stove,"When the bride heard of this, she came and begged for the dress, and wanted to buy it, saying that it was not a dress for a serving-maid."
the-iron-stove,"Then she said she would not sell it unless she was granted one favour-namely, to sleep by the Prince's door."
the-iron-stove,"The bride granted her this, because the dress was so beautiful and she had so few like it."
the-iron-stove,"When it was evening she said to her bridegroom, 'That stupid maid wants to sleep by your door.'"
the-iron-stove,"'If you are contented, I am,' he said."
the-iron-stove,But she gave him a glass of wine in which she had poured a sleeping-draught.
the-iron-stove,"Then they both went to his room, but he slept so soundly that she could not wake him."
