document_id,text
cuchulain-of-muirthemne,"In the long time ago, Conchubar, son of Ness, was King of Ulster, and he held his court in the palace of Emain Macha."
cuchulain-of-muirthemne,And this is the way he came to be King.
cuchulain-of-muirthemne,"He was but a young lad, and his father was not living."
cuchulain-of-muirthemne,"Fergus, son of Rogh, who was at that time King of Ulster, asked his mother Ness in marriage."
cuchulain-of-muirthemne,"Now Ness, that was at one time the quietest and kindest of the women of Ireland, had got to be unkind and treacherous because of an unkindness that had been done to her."
cuchulain-of-muirthemne,She planned to get the kingdom away from Fergus for her own son.
cuchulain-of-muirthemne,"So she said to Fergus, ""Let Conchubar hold the kingdom for a year, so that his children after him may be called the children of a king. That is the marriage portion I will ask of you."""
cuchulain-of-muirthemne,"""You may do that,"" the men of Ulster said to him."
cuchulain-of-muirthemne,"""For even though Conchubar gets the name of being king, it is yourself that will be our King all the time."""
cuchulain-of-muirthemne,"So Fergus agreed to it, and he took Ness as his wife, and her son Conchubar was made King in his place."
cuchulain-of-muirthemne,But all through the year Ness was working to keep the kingdom for him.
cuchulain-of-muirthemne,She gave great presents to the chief men of Ulster to get them on her side.
cuchulain-of-muirthemne,"And though Conchubar was but a young lad at the time, he was wise in his judgments and brave in battle, and good in shape and in form."
cuchulain-of-muirthemne,They liked him well.
cuchulain-of-muirthemne,"And at the end of the year, when Fergus asked to have the kingship back again, they consulted together."
cuchulain-of-muirthemne,"It is what they agreed, that Conchubar was to keep it."
cuchulain-of-muirthemne,"And they said, ""It is little Fergus thinks about us, when he was so ready to give up his rule over us for a year. Let Conchubar keep the kingship,"" they said, ""and let Fergus keep the wife he has got."""
cuchulain-of-muirthemne,"Now, it happened one day that Conchubar was making a feast at Emain Macha for the marriage of his sister Dechtire with Sualtim, son of Roig."
cuchulain-of-muirthemne,"And at the feast Dechtire was thirsty, and they gave her a cup of wine, and as she was drinking it a mayfly flew into the cup, and she drank it down with the wine."
cuchulain-of-muirthemne,"And presently she went into her sunny parlour, and her fifty maidens along with her, and she fell into a deep sleep."
cuchulain-of-muirthemne,"And in her sleep Lugh of the Long Hand appeared to her, and he said, ""It is I myself was the mayfly that came to you in the cup, and it is with me you must come away now, and your fifty maidens along with you."""
cuchulain-of-muirthemne,And he put on them the appearance of a flock of birds.
cuchulain-of-muirthemne,"They went with him southward till they came to Brugh na Boinne, the dwelling-place of the Sidhe."
cuchulain-of-muirthemne,"And no one at Emain Macha could get tale or tidings of them, or know where they had gone, or what had happened them."
cuchulain-of-muirthemne,"It was about a year after that time there was another feast in Emain, and Conchubar and his chief men were sitting at the feast."
cuchulain-of-muirthemne,"And suddenly they saw from the window a great flock of birds, that lit on the ground and began to eat up everything before them, so that not so much as a blade of grass was left."
cuchulain-of-muirthemne,"The men of Ulster were vexed when they saw the birds destroying all before them, and they yoked nine of their chariots to follow after them."
cuchulain-of-muirthemne,"Conchubar was in his own chariot, and there were following with him Fergus, son of Rogh, and Laegaire Buadach the Battle-Winner, and Celthair, son of Uithecar, and many others, and Bricriu of the bitter tongue was along with them."
cuchulain-of-muirthemne,"They followed after the birds across the whole country southward, across Slieve Fuad, by Ath Lethan, by Ath Garach and Magh Gossa, between Fir Rois and Fir Ardae."
cuchulain-of-muirthemne,The birds before them always.
cuchulain-of-muirthemne,They were the most beautiful that had ever been seen.
