document_id,text
mirror-of-matsuyama,"Long years ago in old Japan there lived in the Province of Echigo, a very remote part of Japan even in these days, a man and his wife."
mirror-of-matsuyama,When this story begins they had been married for some years and were blessed with one little daughter.
mirror-of-matsuyama,She was the joy and pride of both their lives.
mirror-of-matsuyama,In her they stored an endless source of happiness for their old age.
mirror-of-matsuyama,What golden letter days in their memory were these that had marked her growing up from babyhood.
mirror-of-matsuyama,"The visit to the temple when she was just thirty days old, her proud mother carrying her, robed in ceremonial kimono, to be put under the patronage of the family's household god."
mirror-of-matsuyama,"Then her first dolls festival, when her parents gave her a set of dolls and their miniature belongings, to be added to as year succeeded year."
mirror-of-matsuyama,"Then perhaps the most important occasion of all, on her third birthday, when her first OBI (broad brocade sash) of scarlet and gold was tied round her small waist."
mirror-of-matsuyama,It a sign that she had crossed the threshold of girlhood and left infancy behind.
mirror-of-matsuyama,"Now that she was seven years of age, and had learned to talk and to wait upon her parents in those several little ways so dear to the hearts of fond parents, their cup of happiness seemed full."
mirror-of-matsuyama,There could not be found in the whole of the Island Empire a happier little family.
mirror-of-matsuyama,"One day there was much excitement in the home, for the father had been suddenly summoned to the capital on business."
mirror-of-matsuyama,"In these days of railways and jinrickshas and other rapid modes of traveling, it is difficult to realize what such a journey as that from Matsuyama to Kyoto meant."
mirror-of-matsuyama,"The roads were rough and bad, and ordinary people had to walk every step of the way, whether the distance were one hundred or several hundred miles."
mirror-of-matsuyama,"Indeed, in those days it was as great an undertaking to go up to the capital as it is for a Japanese to make a voyage to Europe now."
mirror-of-matsuyama,"So the wife was very anxious while she helped her husband get ready for the long journey, knowing what an arduous task lay before him."
mirror-of-matsuyama,"Vainly she wished that she could accompany him, but the distance was too great for the mother and child to go, and besides that, it was the wife's duty to take care of the home."
mirror-of-matsuyama,"All was ready at last, and the husband stood in the porch with his little family round him."
mirror-of-matsuyama,"""Do not be anxious, I will come back soon,"" said the man."
mirror-of-matsuyama,"""While I am away take care of everything, and especially of our little daughter."""
mirror-of-matsuyama,"""Yes, we shall be all right-but you-you must take care of yourself and delay not a day in coming back to us,"" said the wife, while the tears fell like rain from her eyes."
mirror-of-matsuyama,"The little girl was the only one to smile, for she was ignorant of the sorrow of parting."
mirror-of-matsuyama,"She did not know that going to the capital was at all different from walking to the next village, which her father did very often."
mirror-of-matsuyama,"She ran to his side, and caught hold of his long sleeve to keep him a moment."
mirror-of-matsuyama,"""Father, I will be very good while I am waiting for you to come back, so please bring me a present."""
mirror-of-matsuyama,"As the father turned to take a last look at his weeping wife and smiling, eager child, he felt as if some one were pulling him back by the hair, so hard was it for him to leave them behind, for they had never been separated before."
mirror-of-matsuyama,"But he knew that he must go, for the call was imperative."
mirror-of-matsuyama,"With a great effort he ceased to think, and resolutely turning away he went quickly down the little garden and out through the gate."
mirror-of-matsuyama,"His wife, catching up the child in her arms, ran as far as the gate, and watched him as he went down the road between the pines till he was lost in the haze of the distance and all she could see was his quaint peaked hat, and at last that vanished too."
mirror-of-matsuyama,"""Now father has gone, you and I must take care of everything till he comes back,"" said the mother, as she made her way back to the house."
mirror-of-matsuyama,"""Yes, I will be very good,"" said the child, nodding her head, ""and when father comes home please tell him how good I have been. Then perhaps he will give me a present."""
mirror-of-matsuyama,"""Father is sure to bring you something that you want very much. I know, for I asked him to bring you a doll. You must think of father every day, and pray for a safe journey till he comes back."""
mirror-of-matsuyama,"""O, yes, when he comes home again how happy I shall be,"" said the child, clapping her hands, and her face growing bright with joy at the glad thought."
mirror-of-matsuyama,It seemed to the mother as she looked at the child's face that her love for her grew deeper and deeper.
mirror-of-matsuyama,Then she set to work to make the winter clothes for the three of them.
mirror-of-matsuyama,She set up her simple wooden spinning-wheel and spun the thread before she began to weave the stuffs.
mirror-of-matsuyama,In the intervals of her work she directed the little girl's games and taught her to read the old stories of her country.
mirror-of-matsuyama,Thus did the wife find consolation in work during the lonely days of her husband's absence.
mirror-of-matsuyama,"While the time was thus slipping quickly by in the quiet home, the husband finished his business and returned."
mirror-of-matsuyama,It would have been difficult for any one who did not know the man well to recognize him.
mirror-of-matsuyama,"He had traveled day after day, exposed to all weathers, for about a month altogether, and was sunburnt to bronze."
mirror-of-matsuyama,"But his fond wife and child knew him at a glance, and flew to meet him from either side, each catching hold of one of his sleeves in their eager greeting."
mirror-of-matsuyama,Both the man and his wife rejoiced to find each other well.
mirror-of-matsuyama,"It seemed a very long time to all till-the mother and child helping-his straw sandals were untied, his large umbrella hat taken off, and he was again in their midst in the old familiar sitting-room that had been so empty while he was away."
mirror-of-matsuyama,"As soon as they had sat down on the white mats, the father opened a bamboo basket that he had brought in with him, and took out a beautiful doll and a lacquer box full of cakes."
mirror-of-matsuyama,"""Here,"" he said to the little girl, ""is a present for you. It is a prize for taking care of mother and the house so well while I was away."""
mirror-of-matsuyama,"""Thank you,"" said the child, as she bowed her head to the ground."
mirror-of-matsuyama,"She then put out her hand just like a little maple leaf with its eager wide-spread fingers to take the doll and the box, both of which, coming from the capital, were prettier than anything she had ever seen."
mirror-of-matsuyama,"No words can tell how delighted the little girl was-her face seemed as if it would melt with joy, and she had no eyes and no thought for anything else."
mirror-of-matsuyama,"Again the husband dived into the basket, and brought out this time a square wooden box, carefully tied up with red and white string, and handing it to his wife, said: ""And this is for you."""
mirror-of-matsuyama,"The wife took the box, and opening it carefully took out a metal disk with a handle attached."
mirror-of-matsuyama,"One side was bright and shining like a crystal, and the other was covered with raised figures of pine-trees and storks, which had been carved out of its smooth surface in lifelike reality."
mirror-of-matsuyama,"Never had she seen such a thing in her life, for she had been born and bred in the rural province of Echigo."
mirror-of-matsuyama,"She gazed into the shining disk, and looking up with surprise and wonder pictured on her face, she said: ""I see somebody looking at me in this round thing! What is it that you have given me?"""
mirror-of-matsuyama,"The husband laughed and said: ""Why, it is your own face that you see. What I have brought you is called a mirror, and whoever looks into its clear surface can see their own form reflected there. Although there are none to be found in this out of the way place, yet they have been in use in the capital from the most ancient times. There the mirror is considered a very necessary requisite for a woman to possess. There is an old proverb that 'As the sword is the soul of a samurai, so is the mirror the soul of a woman,' and according to popular tradition, a woman's mirror is an index to her own heart-if she keeps it bright and clear, so is her heart pure and good. It is also one of the treasures that form the insignia of the Emperor. So you must lay great store by your mirror, and use it carefully."""
mirror-of-matsuyama,"The wife listened to all her husband told her, and was pleased at learning so much that was new to her."
mirror-of-matsuyama,She was still more pleased at the precious gift-his token of remembrance while he had been away.
mirror-of-matsuyama,"""If the mirror represents my soul, I shall certainly treasure it as a valuable possession, and never will I use it carelessly."""
mirror-of-matsuyama,"Saying so, she lifted it as high as her forehead, in grateful acknowledgment of the gift, and then shut it up in its box and put it away."
mirror-of-matsuyama,"The wife saw that her husband was very tired, and set about serving the evening meal and making everything as comfortable as she could for him."
mirror-of-matsuyama,"It seemed to the little family as if they had not known what true happiness was before, so glad were they to be together again, and this evening the father had much to tell of his journey and of all he had seen at the great capital."
mirror-of-matsuyama,"Time passed away in the peaceful home, and the parents saw their fondest hopes realized as their daughter grew from childhood into a beautiful girl of sixteen."
mirror-of-matsuyama,"As a gem of priceless value is held in its proud owner's hand, so had they reared her with unceasing love and care."
mirror-of-matsuyama,Now their pains were more than doubly rewarded.
mirror-of-matsuyama,"What a comfort she was to her mother as she went about the house taking her part in the housekeeping, and how proud her father was of her, for she daily reminded him of her mother when he had first married her."
mirror-of-matsuyama,"But, alas!"
mirror-of-matsuyama,in this world nothing lasts forever.
mirror-of-matsuyama,"Even the moon is not always perfect in shape, but loses its roundness with time, and flowers bloom and then fade."
mirror-of-matsuyama,So at last the happiness of this family was broken up by a great sorrow.
mirror-of-matsuyama,The good and gentle wife and mother was one day taken ill.
mirror-of-matsuyama,"In the first days of her illness the father and daughter thought that it was only a cold, and were not particularly anxious."
mirror-of-matsuyama,But the days went by and still the mother did not get better.
mirror-of-matsuyama,"She only grew worse, and the doctor was puzzled, for in spite of all he did the poor woman grew weaker day by day."
mirror-of-matsuyama,"The father and daughter were stricken with grief, and day or night the girl never left her mother's side."
mirror-of-matsuyama,But in spite of all their efforts the woman's life was not to be saved.
mirror-of-matsuyama,"One day as the girl sat near her mother's bed, trying to hide with a cheery smile the gnawing trouble at her heart, the mother roused herself and taking her daughter's hand, gazed earnestly and lovingly into her eyes."
mirror-of-matsuyama,Her breath was labored
mirror-of-matsuyama,"and she spoke with difficulty: ""My daughter. I am sure that nothing can save me now. When I am dead, promise me to take care of your dear father and to try to be a good and dutiful woman."""
mirror-of-matsuyama,"""Oh, mother,"" said the girl as the tears rushed to her eyes, ""you must not say such things. All you have to do is to make haste and get well-that will bring the greatest happiness to father and myself."""
mirror-of-matsuyama,"""Yes, I know, and it is a comfort to me in my last days to know how greatly you long for me to get better, but it is not to be. Do not look so sorrowful, for it was so ordained in my previous state of existence that I should die in this life just at this time. Knowing this, I am quite resigned to my fate. And now I have something to give you whereby to remember me when I am gone."""
mirror-of-matsuyama,"Putting her hand out, she took from the side of the pillow a square wooden box tied up with a silken cord and tassels."
mirror-of-matsuyama,"Undoing this very carefully, she took out of the box the mirror that her husband had given her years ago."
mirror-of-matsuyama,"""When you were still a little child your father went up to the capital and brought me back as a present this treasure; it is called a mirror. This I give you before I die. If, after I have ceased to be in this life, you are lonely and long to see me sometimes, then take out this mirror and in the clear and shining surface you will always see me-so will you be able to meet with me often and tell me all your heart. Though I shall not be able to speak, I shall understand and sympathize with you, whatever may happen to you in the future."""
mirror-of-matsuyama,With these words the dying woman handed the mirror to her daughter.
mirror-of-matsuyama,"The mind of the good mother seemed to be now at rest, and sinking back without another word her spirit passed quietly away that day."
mirror-of-matsuyama,"The bereaved father and daughter were wild with grief, and they abandoned themselves to their bitter sorrow."
mirror-of-matsuyama,They felt it to be impossible to take leave of the loved woman who till now had filled their whole lives and to commit her body to the earth.
mirror-of-matsuyama,"But this frantic burst of grief passed, and then they took possession of their own hearts again, crushed though they were in resignation."
mirror-of-matsuyama,In spite of this the daughter's life seemed to her desolate.
mirror-of-matsuyama,"Her love for her dead mother did not grow less with time, and so keen was her remembrance, that everything in daily life, even the falling of the rain and the blowing of the wind, reminded her of her mother's death and of all that they had loved and shared together."
mirror-of-matsuyama,"One day when her father was out, and she was fulfilling her household duties alone, her loneliness and sorrow seemed more than she could bear."
mirror-of-matsuyama,She threw herself down in her mother's room and wept as if her heart would break.
mirror-of-matsuyama,"Poor child, she longed just for one glimpse of the loved face, one sound of the voice calling her pet name, or for one moment's forgetfulness of the aching void in her heart."
mirror-of-matsuyama,Suddenly she sat up.
mirror-of-matsuyama,Her mother's last words had rung through her memory hitherto dulled by grief.
mirror-of-matsuyama,"""Oh! my mother told me when she gave me the mirror as a parting gift, that whenever I looked into it I should be able to meet her-to see her. I had nearly forgotten her last words-how stupid I am. I will get the mirror now and see if it can possibly be true!"""
mirror-of-matsuyama,"She dried her eyes quickly, and going to the cupboard took out the box that contained the mirror, her heart beating with expectation as she lifted the mirror out and gazed into its smooth face."
mirror-of-matsuyama,"Behold, her mother's words were true!"
mirror-of-matsuyama,"In the round mirror before her she saw her mother's face; but, oh, the joyful surprise!"
mirror-of-matsuyama,"It was not her mother thin and wasted by illness, but the young and beautiful woman as she remembered her far back in the days of her own earliest childhood."
mirror-of-matsuyama,"It seemed to the girl that the face in the mirror must soon speak, almost that she heard the voice of her mother telling her again to grow up a good woman and a dutiful daughter, so earnestly did the eyes in the mirror look back into her own."
mirror-of-matsuyama,"""It is certainly my mother's soul that I see. She knows how miserable I am without her and she has come to comfort me. Whenever I long to see her she will meet me here; how grateful I ought to be!"""
mirror-of-matsuyama,And from this time the weight of sorrow was greatly lightened for her young heart.
mirror-of-matsuyama,"Every morning, to gather strength for the day's duties before her, and every evening, for consolation before she lay down to rest, did the young girl take out the mirror and gaze at the reflection which in the simplicity of her innocent heart she believed to be her mother's soul."
mirror-of-matsuyama,"Daily she grew in the likeness of her dead mother's character, and was gentle and kind to all, and a dutiful daughter to her father."
mirror-of-matsuyama,"A year spent in mourning had thus passed away in the little household, when, by the advice of his relations, the man married again, and the daughter now found herself under the authority of a step-mother."
mirror-of-matsuyama,"It was a trying position; but her days spent in the recollection of her own beloved mother, and of trying to be what that mother would wish her to be, had made the young girl docile and patient, and she now determined to be filial and dutiful to her father's wife, in all respects."
mirror-of-matsuyama,"Everything went on apparently smoothly in the family for some time under the new regime; there were no winds or waves of discord to ruffle the surface of every-day life, and the father was content."
mirror-of-matsuyama,"But it is a woman's danger to be petty and mean, and step-mothers are proverbial all the world over, and this one's heart was not as her first smiles were."
mirror-of-matsuyama,"As the days and weeks grew into months, the step-mother began to treat the motherless girl unkindly and to try and come between the father and child."
mirror-of-matsuyama,"Sometimes she went to her husband and complained of her step-daughter's behavior, but the father knowing that this was to be expected, took no notice of her ill-natured complaints."
mirror-of-matsuyama,"Instead of lessening his affection for his daughter, as the woman desired, her grumblings only made him think of her the more."
mirror-of-matsuyama,The woman soon saw that he began to show more concern for his lonely child than before.
mirror-of-matsuyama,"This did not please her at all, and she began to turn over in her mind how she could, by some means or other, drive her step-child out of the house."
mirror-of-matsuyama,So crooked did the woman's heart become.
mirror-of-matsuyama,"She watched the girl carefully, and one day peeping into her room in the early morning, she thought she discovered a grave enough sin of which to accuse the child to her father."
mirror-of-matsuyama,The woman herself was a little frightened too at what she had seen.
mirror-of-matsuyama,"So she went at once to her husband, and wiping away some false tears she said in a sad voice: ""Please give me permission to leave you today."""
mirror-of-matsuyama,"The man was completely taken by surprise at the suddenness of her request, and wondered whatever was the matter."
mirror-of-matsuyama,"""Do you find it so disagreeable,"" he asked, ""in my house, that you can stay no longer?"""
mirror-of-matsuyama,"""No! no! it has nothing to do with you-even in my dreams I have never thought that I wished to leave your side; but if I go on living here I am in danger of losing my life, so I think it best for all concerned that you should allow me to go home!"""
mirror-of-matsuyama,And the woman began to weep afresh.
mirror-of-matsuyama,"Her husband, distressed to see her so unhappy, and thinking that he could not have heard aright, said: ""Tell me what you mean! How is your life in danger here?"""
mirror-of-matsuyama,"""I will tell you since you ask me. Your daughter dislikes me as her step-mother. For some time past she has shut herself up in her room morning and evening, and looking in as I pass by, I am convinced that she has made an image of me and is trying to kill me by magic art, cursing me daily. It is not safe for me to stay here, such being the case; indeed, indeed, I must go away, we cannot live under the same roof any more."""
mirror-of-matsuyama,"The husband listened to the dreadful tale, but he could not believe his gentle daughter guilty of such an evil act."
mirror-of-matsuyama,He knew that by popular superstition people believed that one person could cause the gradual death of another by making an image of the hated one and cursing it daily; but where had his young daughter learned such knowledge?-the thing was impossible.
mirror-of-matsuyama,"Yet he remembered having noticed that his daughter stayed much in her room of late and kept herself away from every one, even when visitors came to the house."
mirror-of-matsuyama,"Putting this fact together with his wife's alarm, he thought that there might be something to account for the strange story."
mirror-of-matsuyama,"His heart was torn between doubting his wife and trusting his child, and he knew not what to do."
mirror-of-matsuyama,He decided to go at once to his daughter and try to find out the truth.
mirror-of-matsuyama,"Comforting his wife and assuring her that her fears were groundless, he glided quietly to his daughter's room."
mirror-of-matsuyama,The girl had for a long time past been very unhappy.
mirror-of-matsuyama,"She had tried by amiability and obedience to show her goodwill and to mollify the new wife, and to break down that wall of prejudice and misunderstanding that she knew generally stood between step-parents and their step-children."
mirror-of-matsuyama,But she soon found that her efforts were in vain.
mirror-of-matsuyama,"The step-mother never trusted her, and seemed to misinterpret all her actions, and the poor child knew very well that she often carried unkind and untrue tales to her father."
mirror-of-matsuyama,She could not help comparing her present unhappy condition with the time when her own mother was alive only a little more than a year ago-so great a change in this short time!
mirror-of-matsuyama,Morning and evening she wept over the remembrance.
mirror-of-matsuyama,"Whenever she could she went to her room, and sliding the screens to, took out the mirror and gazed, as she thought, at her mother's face."
mirror-of-matsuyama,It was the only comfort that she had in these wretched days.
mirror-of-matsuyama,Her father found her occupied in this way.
mirror-of-matsuyama,"Pushing aside the fusama, he saw her bending over something or other very intently."
