document_id,text
momotaro-story-of-son-of-peach,"Long, long ago there lived, an old man and an old woman; they were peasants, and had to work hard to earn their daily rice."
momotaro-story-of-son-of-peach,"The old man used to go and cut grass for the farmers around, and while he was gone the old woman, his wife, did the work of the house and worked in their own little rice field."
momotaro-story-of-son-of-peach,One day the old man went to the hills as usual to cut grass and the old woman took some clothes to the river to wash.
momotaro-story-of-son-of-peach,"It was nearly summer, and the country was very beautiful to see in its fresh greenness as the two old people went on their way to work."
momotaro-story-of-son-of-peach,"The grass on the banks of the river looked like emerald velvet, and the pussy willows along the edge of the water were shaking out their soft tassels."
momotaro-story-of-son-of-peach,"The breezes blew and ruffled the smooth surface of the water into wavelets, and passing on touched the cheeks of the old couple who, for some reason they could not explain, felt very happy that morning."
momotaro-story-of-son-of-peach,The old woman at last found a nice spot by the river bank and put her basket down.
momotaro-story-of-son-of-peach,Then she set to work to wash the clothes; she took them one by one out of the basket and washed them in the river and rubbed them on the stones.
momotaro-story-of-son-of-peach,"The water was as clear as crystal, and she could see the tiny fish swimming to and fro, and the pebbles at the bottom."
momotaro-story-of-son-of-peach,As she was busy washing her clothes a great peach came bumping down the stream.
momotaro-story-of-son-of-peach,The old woman looked up from her work and saw this large peach.
momotaro-story-of-son-of-peach,"She was sixty years of age, yet in all her life she had never seen such a big peach as this."
momotaro-story-of-son-of-peach,"""How delicious that peach must be!"""
momotaro-story-of-son-of-peach,she said to herself.
momotaro-story-of-son-of-peach,"""I must certainly get it and take it home to my old man."""
momotaro-story-of-son-of-peach,"She stretched out her arm to try and get it, but it was quite out of her reach."
momotaro-story-of-son-of-peach,"She looked about for a stick, but there was not one to be seen, and if she went to look for one she would lose the peach."
momotaro-story-of-son-of-peach,"Stopping a moment to think what she would do, she remembered an old charm-verse."
momotaro-story-of-son-of-peach,"Now she began to clap her hands to keep time to the rolling of the peach down stream, and while she clapped she sang this song: ""Distant water is bitter, The near water is sweet; Pass by the distant water And come into the sweet."""
momotaro-story-of-son-of-peach,"Strange to say, as soon as she began to repeat this little song the peach began to come nearer and nearer the bank where the old woman was standing, till at last it stopped just in front of her so that she was able to take it up in her hands."
momotaro-story-of-son-of-peach,The old woman was delighted.
momotaro-story-of-son-of-peach,"She could not go on with her work, so happy and excited was she, so she put all the clothes back in her bamboo basket, and with the basket on her back and the peach in her hand she hurried homewards."
momotaro-story-of-son-of-peach,It seemed a very long time to her to wait till her husband returned.
momotaro-story-of-son-of-peach,"The old man at last came back as the sun was setting, with a big bundle of grass on his back--so big that he was almost hidden and she could hardly see him."
momotaro-story-of-son-of-peach,"He seemed very tired and used the scythe for a walking stick, leaning on it as he walked along."
momotaro-story-of-son-of-peach,"As soon as the old woman saw him she called out: ""O Fii San! (old man) I have been waiting for you to come home for such a long time to-day!"""
momotaro-story-of-son-of-peach,"""What is the matter? Why are you so impatient?"" asked the old man, wondering at her unusual eagerness."
momotaro-story-of-son-of-peach,"""Has anything happened while I have been away?"""
momotaro-story-of-son-of-peach,"""Oh, no!"" answered the old woman, ""nothing has happened, only I have found a nice present for you!"""
momotaro-story-of-son-of-peach,"""That is good,"" said the old man."
momotaro-story-of-son-of-peach,He then washed his feet in a basin of water and stepped up to the veranda.
momotaro-story-of-son-of-peach,The old woman now ran into the little room and brought out from the cupboard the big peach.
momotaro-story-of-son-of-peach,It felt even heavier than before.
momotaro-story-of-son-of-peach,"She held it up to him, saying: ""Just look at this! Did you ever see such a large peach in all your life?"""
momotaro-story-of-son-of-peach,"When the old man looked at the peach he was greatly astonished and said: ""This is indeed the largest peach I have ever seen! Wherever did you buy it?"""
momotaro-story-of-son-of-peach,"""I did not buy it,"" answered the old woman."
momotaro-story-of-son-of-peach,"""I found it in the river where I was washing."""
momotaro-story-of-son-of-peach,And she told him the whole story.
momotaro-story-of-son-of-peach,"""I am very glad that you have found it. Let us eat it now, for I am hungry,"" said the O Fii San."
momotaro-story-of-son-of-peach,"He brought out the kitchen knife, and, placing the peach on a board, was about to cut it when, wonderful to tell, the peach split in two of itself and a clear voice said: ""Wait a bit, old man!"" and out stepped a beautiful little child."
momotaro-story-of-son-of-peach,The old man and his wife were both so astonished at what they saw that they fell to the ground.
momotaro-story-of-son-of-peach,"The child spoke again: ""Don't be afraid. I am no demon or fairy. I will tell you the truth. Heaven has had compassion on you. Every day and every night you have lamented that you had no child. Your cry has been heard and I am sent to be the son of your old age!"""
momotaro-story-of-son-of-peach,On hearing this the old man and his wife were very happy.
momotaro-story-of-son-of-peach,"They had cried night and day for sorrow at having no child to help them in their lonely old age, and now that their prayer was answered they were so lost with joy that they did not know where to put their hands or their feet."
momotaro-story-of-son-of-peach,"First the old man took the child up in his arms, and then the old woman did the same; and they named him MOMOTARO, OR SON OF A PEACH, because he had come out of a peach."
momotaro-story-of-son-of-peach,The years passed quickly by and the child grew to be fifteen years of age.
momotaro-story-of-son-of-peach,"He was taller and far stronger than any other boys of his own age, he had a handsome face and a heart full of courage, and he was very wise for his years."
momotaro-story-of-son-of-peach,"The old couple's pleasure was very great when they looked at him, for he was just what they thought a hero ought to be like."
momotaro-story-of-son-of-peach,"One day Momotaro came to his foster-father and said solemnly: ""Father, by a strange chance we have become father and son. Your goodness to me has been higher than the mountain grasses which it was your daily work to cut, and deeper than the river where my mother washes the clothes. I do not know how to thank you enough."""
momotaro-story-of-son-of-peach,"""Why,"" answered the old man, ""it is a matter of course that a father should bring up his son. When you are older it will be your turn to take care of us, so after all there will be no profit or loss between us--all will be equal. Indeed, I am rather surprised that you should thank me in this way!"""
momotaro-story-of-son-of-peach,and the old man looked bothered.
momotaro-story-of-son-of-peach,"""I hope you will be patient with me,"" said Momotaro; ""but before I begin to pay back your goodness to me I have a request to make which I hope you will grant me above everything else."""
momotaro-story-of-son-of-peach,"""I will let you do whatever you wish, for you are quite different to all other boys!"""
momotaro-story-of-son-of-peach,"""Then let me go away at once!"""
momotaro-story-of-son-of-peach,"""What do you say? Do you wish to leave your old father and mother and go away from your old home?"""
momotaro-story-of-son-of-peach,"""I will surely come back again, if you let me go now!"""
momotaro-story-of-son-of-peach,"""Where are you going?"""
