document_id,text
the-red-swan,"Three brothers were left destitute, by the death of their parents, at an early age."
the-red-swan,"The eldest was not yet able to provide fully for their support, but he did all that he could in hunting."
the-red-swan,"With this aid, and the stock of provisions already laid by in the lodge, they managed to keep along."
the-red-swan,"They had no neighbors to lend them a helping hand, for the father had withdrawn many years before from the body of the tribe, and had lived ever since in a solitary place."
the-red-swan,The lads had no idea that there was a human being near them.
the-red-swan,They did not even know who their parents had been.
the-red-swan,"At the time of their death, the eldest was too young to remember it."
the-red-swan,"Forlorn as they were, they however kept a good heart, and making use of every chance, in course of time they all acquired a knowledge of hunting and the pursuit of game."
the-red-swan,"The eldest became expert in the craft of the forest, and he was very successful in procuring food."
the-red-swan,"He was noted for his skill in killing buffalo, elk, and moose."
the-red-swan,"He instructed his brothers, so that each should become a master over a particular animal which was assigned to him."
the-red-swan,"After they had become able to hunt and to take care of themselves, the elder proposed to leave them and to go in search of the world, promising to return as soon as he could procure them wives."
the-red-swan,"In this intention he was overruled by his brothers, who said that they could not part with him."
the-red-swan,"Jeekewis, the second, was loud in disapproval of the scheme, saying: ""What will you do with those you propose to get? We have lived so long by ourselves, we can still do without them."""
the-red-swan,"This counsel prevailed, and for a time the three brothers continued together."
the-red-swan,"One day they agreed to kill each a male of that kind of animal, which each was most expert in hunting, for the purpose of making quivers from their skins."
the-red-swan,"When these quivers were prepared, they were straightway filled, with arrows."
the-red-swan,They all had a presentiment that something was about to happen which called upon them to be ready.
the-red-swan,"Soon after they hunted on a wager to see who should come in first with game, and have the privilege of acting as entertainer to the others."
the-red-swan,They were to shoot no other beast or bird than such as each was in the habit of killing.
the-red-swan,They set out on different paths.
the-red-swan,"Maidwa, the youngest, had not gone far before he saw a bear, an animal he was not to kill, by the agreement."
the-red-swan,"He, however, followed him closely, and driving an arrow through and through him, he brought him to the ground."
the-red-swan,"Although contrary to the engagement with his brothers, Maidwa commenced skinning him, when suddenly something red tinged the air all around him."
the-red-swan,"He rubbed his eyes, thinking he was perhaps deceived."
the-red-swan,"But rub as hard as he would, the red hue still crimsoned the air, and tinged every object that he looked on--the tree-tops, the river that flowed, and the deer that glided away along the edge of the forest--with its delicate splendor."
the-red-swan,"As he stood musing on this fairy spectacle, a strange noise came to his ear from a distance."
the-red-swan,At first it seemed like a human voice.
the-red-swan,After following the sound he reached the shore of a lake.
the-red-swan,"Floating at a distance upon its waters sat a most beautiful Red Swan, whose plumage glittered in the sun, and when it lifted up its neck, it uttered the peculiar tone he had heard."
the-red-swan,"He was within long bow-shot, and, drawing the arrow to his ear, he took a careful aim and discharged the shaft."
the-red-swan,It took no effect.
the-red-swan,"The beautiful bird sat proudly on the water, still pouring forth its peculiar chant, and still spreading the radiance of its plumage far and wide, and lighting up the whole world, beneath the eye of Maidwa, with its ruby splendors."
