document_id,text
wunzh-the-father-of-indian-corn,"In time past--we can not tell exactly how many, many years ago--a poor Indian was living, with his wife and children, in a beautiful part of the country."
wunzh-the-father-of-indian-corn,"He was not only poor, but he had the misfortune to be inexpert in procuring food for his family."
wunzh-the-father-of-indian-corn,His children were all too young to give him assistance.
wunzh-the-father-of-indian-corn,"Although of a lowly condition and straitened in his circumstances, he was a man of kind and contented disposition."
wunzh-the-father-of-indian-corn,He was always thankful to the Great Spirit for every thing he received.
wunzh-the-father-of-indian-corn,He even stood in the door of his lodge to bless the birds that flew past in the summer evenings.
wunzh-the-father-of-indian-corn,"Although, if he had been of a complaining temper, he might have repined that they were not rather spread upon the table for his evening meal."
wunzh-the-father-of-indian-corn,"The same gracious and sweet disposition was inherited by his eldest son, who had now arrived at the proper age to undertake the ceremony of the fast."
wunzh-the-father-of-indian-corn,This was to learn what kind of a spirit would be his guide and guardian through life.
wunzh-the-father-of-indian-corn,"Wunzh, for this was his name, had been an obedient boy from his infancy--pensive, thoughtful, and gentle--so that he was beloved by the whole family."
wunzh-the-father-of-indian-corn,"As soon as the first buds of spring appeared, and the delicious fragrance of the young year began to sweeten the air, his father, with the help of his younger brothers, built for Wunzh the customary little lodge."
wunzh-the-father-of-indian-corn,"It was at a retired spot at some distance from their own, where he would not be disturbed during the solemn rite."
wunzh-the-father-of-indian-corn,"To prepare himself, Wunzh sought to clear his heart of every evil thought, and to think of nothing that was not good, and beautiful, and kindly."
wunzh-the-father-of-indian-corn,"That he might store his mind with pleasant ideas for his dreams, for the first few days he amused himself by walking in the woods and over the mountains, examining the early plants and flowers."
wunzh-the-father-of-indian-corn,"As he rambled far and wide, through the wild country, he felt a strong desire to know how the plants and herbs and berries grew, without any aid from man."
wunzh-the-father-of-indian-corn,"He wondered why it was that some kinds were good to eat, and that others were possessed of medicinal or poisonous power."
wunzh-the-father-of-indian-corn,"After he had become too weak to walk about, and confined himself strictly to the lodge, he recalled these thoughts, and turning them in his mind, he wished he could dream of something that would prove a benefit to his father and family, and to all others of his fellow-creatures."
wunzh-the-father-of-indian-corn,"""True,"" thought Wunzh, ""the Great Spirit made all things, and it is to him that we owe our lives. Could he not make it easier for us to get our food, than by hunting animals and taking fish? I must try to find this out in my visions."""
wunzh-the-father-of-indian-corn,"On the third day Wunzh became weak and faint, and kept his bed."
wunzh-the-father-of-indian-corn,"Suddenly he fancied, as he lay thus, that a bright light came in at the lodge door."
wunzh-the-father-of-indian-corn,"Before he was aware, he saw a handsome young man, with a complexion of the softest and purest white, coming down from the sky, and advancing toward him."
wunzh-the-father-of-indian-corn,"The beautiful stranger was richly and gayly dressed, having on a great many garments of green and yellow colors, but differing in their deeper or lighter shades."
wunzh-the-father-of-indian-corn,"He had a plume of waving feathers on his head, and all his motions were graceful."
wunzh-the-father-of-indian-corn,"He reminded Wunzh of the deep green of the summer grass, and the clear amber of the summer sky, and the gentle blowing of the summer wind."
wunzh-the-father-of-indian-corn,"Beautiful as the stranger was, he paused on a little mound of earth, just before the door of the lodge."
wunzh-the-father-of-indian-corn,"""I am sent to you, my friend,"" said this celestial visitor, in a voice most soft and musical to listen to."
wunzh-the-father-of-indian-corn,"""I am sent to you by that Great Spirit who made all things in the sky, and on the earth. He has seen and knows your motives in fasting. He sees that it is from a kind and benevolent wish to do good to your people, and to procure a benefit for them. He sees that you do not seek for strength in war, or the praise of the men of the bloody hand. I am sent to instruct you and to show you how you can do your kindred good."""
wunzh-the-father-of-indian-corn,"He then told the young man to arise, and to prepare to wrestle with him."
wunzh-the-father-of-indian-corn,It was only by this means that he could hope to succeed in his wishes.
wunzh-the-father-of-indian-corn,"Wunzh knew how weak he was from fasting, but the voice of the stranger was cheery, and put such a courage in his heart, that he promptly sprang up, determined to die rather than fail."
wunzh-the-father-of-indian-corn,Brave Wunzh!
wunzh-the-father-of-indian-corn,"if you ever accomplish any thing, it will be through the power of the resolve that spoke within you at that moment."
wunzh-the-father-of-indian-corn,"He began the trial, and after a long-sustained struggle he was almost overpowered, when the beautiful stranger said: ""My friend, it is enough for once, I will come again to try you;"" and smiling on him, he returned through the air in the same direction in which he had come."
wunzh-the-father-of-indian-corn,"The next day, although he saw how sweetly the wild-flowers bloomed upon the slopes, and the birds warbled from the woodland, he longed to see the celestial visitor, and to hear his voice."
wunzh-the-father-of-indian-corn,"To his great joy he reappeared at the same hour, toward the going down of the sun, and re-challenged Wunzh to a trial of strength."
