document_id,text
three-princesses-in-whiteland,"Once upon a time there was a fisherman, who lived near the king's castle, and caught fish for the king's table."
three-princesses-in-whiteland,"One day when he had gone fishing, he could not catch a thing."
three-princesses-in-whiteland,"Try as he might, no matter how he baited or flung, not the tiniest fish would bite; but when this had gone on for a while, a head rose from the water and said: ""If you will give me the first new thing that has come into your house, you shall catch fish a-plenty!"""
three-princesses-in-whiteland,"Then the man agreed quickly, for he could think of no new thing that might have come into the house."
three-princesses-in-whiteland,"So he caught fish all day long, and as many as he could wish for, as may well be imagined."
three-princesses-in-whiteland,"But when he got home, he found that heaven had sent him a little son, the first new thing to come into the house since he had made his promise."
three-princesses-in-whiteland,"And when he told his wife about it, she began to weep and wail, and pray to God because of the vow her husband had made."
three-princesses-in-whiteland,"And the woman's grief was reported at the castle, and when it came to the king's ears, and he learned the reason, he promised to take the boy and see if he could not save him."
three-princesses-in-whiteland,"And so the king took him and brought him up as though he were his own son, until he was grown."
three-princesses-in-whiteland,"Then one day the boy asked whether he might not go out fishing with his father, he wanted to so very much, said he."
three-princesses-in-whiteland,"The king would not hear of it; but at last he was given permission, so he went to his father, and everything went well all day long, until they came home in the evening."
three-princesses-in-whiteland,"Then the son found he had forgotten his handkerchief, and went down to the boat to get it."
three-princesses-in-whiteland,"But no sooner was he in the boat than it moved off with a rush, and no matter how hard the youth worked against it with the oars, it was all in vain."
three-princesses-in-whiteland,"The boat drove on and on, all night long, and at last he came to a white strand, far, far away."
three-princesses-in-whiteland,"He stepped ashore, and after he had gone a while he met an old man with a great, white beard."
three-princesses-in-whiteland,"""What is this country called?"" asked the youth."
three-princesses-in-whiteland,"""Whiteland,"" was the man's answer, and he asked the youth where he came from, and what he wanted, and the latter told him."
three-princesses-in-whiteland,"""If you keep right on along the shore,"" said the man, ""you will come to three princesses, buried in the earth so that only their heads show. Then the first will call you--and she is the oldest--and beg you very hard to come to her and help her; and the next will do the same; but you must go to neither of them; walk quickly past them, and act as though you neither saw nor heard them. But go up to the third, and do what she asks of you, for then you will make your fortune."""
three-princesses-in-whiteland,"When the youth came to the first princess, she called out to him, and begged him most earnestly to come to her; but he went on as though he had not seen her."
three-princesses-in-whiteland,And he passed the next one in the same manner; but went over to the third.
three-princesses-in-whiteland,"""If you will do what I tell you to, you shall have whichever one of us you want,"" said she."
three-princesses-in-whiteland,"Yes, he would do what she wanted."
three-princesses-in-whiteland,So she told him that three trolls had wished them into the earth where they were; but that formerly they had dwelt in the castle he saw on the edge of the forest.
three-princesses-in-whiteland,"""Now you must go to the castle, and let the trolls whip you one night through for each one of us,"" said she, ""and if you can hold out, you will have delivered us."""
three-princesses-in-whiteland,"""Yes,"" said the youth, he could manage that."
three-princesses-in-whiteland,"""When you go in,"" added the princess, ""you will find two lions standing by the door; but if you pass directly between them, they will do you no harm. Go on into a dark little room and lie down, and then the troll will come and beat you; but after that you must take the bottle that hangs on the wall, and anoint yourself where he has beaten you, and you will be whole again. And take the sword that hangs beside the bottle, and kill the troll with it."""
three-princesses-in-whiteland,"He did as the princess had told him, passed between the lions as though he did not see them, and right into the little room, where he lay down."
three-princesses-in-whiteland,"The first night a troll with three heads and three whips came, and beat the youth badly; but he held out, and when the troll had finished, he took the bottle and anointed himself, grasped the sword and killed the troll."
three-princesses-in-whiteland,When he came out in the morning the princesses were out of the ground up to their waists.
three-princesses-in-whiteland,"The next night it was the same; but the troll who came this time had six heads and six whips, and beat him worse than the first one."
three-princesses-in-whiteland,"But when he came out in the morning, the princesses were out of the ground up to their ankles."
three-princesses-in-whiteland,"The third night came a troll who had nine heads and nine whips, and he beat and whipped the youth so severely that at last he fainted."
three-princesses-in-whiteland,"Then the troll took him and flung him against the wall, and as he did so the bottle fell down, and its whole contents poured over the youth, and he was at once sound and whole again."
three-princesses-in-whiteland,"Then he did not delay, but grasped the sword, killed the troll, and when he came out in the morning, the princesses were entirely out of the ground."
three-princesses-in-whiteland,"So he chose the youngest of them to be his queen, and lived long with her in peace and happiness."
three-princesses-in-whiteland,"But at last he was minded to travel home, and see how his parents fared."
three-princesses-in-whiteland,"This did not suit his queen; but since he wanted to go so badly, and finally was on the point of departure, she said to him: ""One thing you must promise me, that you will only do what your father tells you to do, but not what your mother tells you to do."""
three-princesses-in-whiteland,And this he promised.
three-princesses-in-whiteland,Then she gave him a ring which had the power of granting two wishes to the one who wore it.
three-princesses-in-whiteland,"So he wished himself home, and his parents could not get over their surprise at seeing how fine and handsome he had become."
three-princesses-in-whiteland,"When he had been home a few days, his mother wanted him to go up to the castle and show the king what a man he had grown to be."
three-princesses-in-whiteland,"His father said: ""No, he had better not do that, for we will have to do without him in the meantime."""
three-princesses-in-whiteland,"But there was no help for it, the mother begged and pleaded until he went."
three-princesses-in-whiteland,When he got there he was more splendidly dressed and fitted out than the other king.
