document_id,text
youth-who-was-to-serve-three-years-without-pay,"Once upon a time there was a poor man, who had only one son; but one who was so lazy and clumsy that he did not want to do a stroke of work."
youth-who-was-to-serve-three-years-without-pay,"""If I am not to feed this bean-pole for the rest of my life, I'll have to send him far away, where not a soul knows him,"" thought the father."
youth-who-was-to-serve-three-years-without-pay,"""Once he is knocking about in the world, he will not be so likely to come home again."""
youth-who-was-to-serve-three-years-without-pay,"So he took his son and led him about in the world, far and wide, and tried to get him taken on as a serving man; but no one would have him."
youth-who-was-to-serve-three-years-without-pay,"Finally, after wandering a long time, they came to a rich man, of whom it was said that he turned every shilling around seven times before he could make up his mind to part with it."
youth-who-was-to-serve-three-years-without-pay,"He was willing to take the youth for a servant, and he was to work three years without pay."
youth-who-was-to-serve-three-years-without-pay,"But at the end of the three years, his master was to go into town, two days in succession, and buy the first thing he saw, and on the third morning the youth himself was to go to town and also buy the first thing he met."
youth-who-was-to-serve-three-years-without-pay,And all this he was to receive in lieu of his wage.
youth-who-was-to-serve-three-years-without-pay,"So the youth served out his three years, and did better than they had expected him to do."
youth-who-was-to-serve-three-years-without-pay,"He was by no means a model serving-man; but then his master was none of the best, either, for he let him go all that time in the same clothes he had worn when he entered his service, until, finally, one patch elbowed the other."
youth-who-was-to-serve-three-years-without-pay,"Now when his master was to go to do his buying, he set out as early as possible in the morning."
youth-who-was-to-serve-three-years-without-pay,"""Costly wares are only to be seen by day,"" said he, ""they are not drifting about the street so early. It will probably cost me enough as it is, for what I find is a matter of purest chance."""
youth-who-was-to-serve-three-years-without-pay,"The first thing he saw on the street was an old woman, who was carrying a covered basket."
youth-who-was-to-serve-three-years-without-pay,"""Good-day, granny,"" said the man."
youth-who-was-to-serve-three-years-without-pay,"""And good-day to you, daddy,"" said the old woman."
youth-who-was-to-serve-three-years-without-pay,"""What have you in your basket?"" asked the man."
youth-who-was-to-serve-three-years-without-pay,"""Would you like to know?"" said the woman."
youth-who-was-to-serve-three-years-without-pay,"""Yes,"" said the man, ""for I have to buy the first thing that comes my way."""
youth-who-was-to-serve-three-years-without-pay,"""Well, if you want to know, buy it!"""
youth-who-was-to-serve-three-years-without-pay,said the old woman.
youth-who-was-to-serve-three-years-without-pay,"""What does it cost?"" asked the man."
youth-who-was-to-serve-three-years-without-pay,"She must have four shillings for it, declared the woman."
youth-who-was-to-serve-three-years-without-pay,"This did not seem such a tremendous price to him, he would let it go at that, said he, and raised the cover."
youth-who-was-to-serve-three-years-without-pay,And there lay a pup in the basket.
youth-who-was-to-serve-three-years-without-pay,"When the man got home from his journey to town, there stood the youth full of impatience and curiosity, wondering what his wage for the first year might be."
youth-who-was-to-serve-three-years-without-pay,"""Are you back already, master?"" asked the youth."
youth-who-was-to-serve-three-years-without-pay,"""Yes, indeed,"" said his master."
youth-who-was-to-serve-three-years-without-pay,"""And what have you bought?"""
youth-who-was-to-serve-three-years-without-pay,asked the youth.
youth-who-was-to-serve-three-years-without-pay,"""What I have bought is nothing so very rare,"" said the man."
youth-who-was-to-serve-three-years-without-pay,"""I don't even know whether I ought to show it to you; but I bought the first thing to be had, and that was a pup,"" said he."
youth-who-was-to-serve-three-years-without-pay,"""And I thank you most kindly for it,"" said the youth."
youth-who-was-to-serve-three-years-without-pay,"""I have always been fond of dogs."""
youth-who-was-to-serve-three-years-without-pay,The following morning it was no better.
youth-who-was-to-serve-three-years-without-pay,"The man set out as early as possible, and had not as yet reached town before he met the old woman with the basket."
youth-who-was-to-serve-three-years-without-pay,"""Good-day, granny,"" said the man."
youth-who-was-to-serve-three-years-without-pay,"""And good-day to you, daddy,"" said the old woman."
youth-who-was-to-serve-three-years-without-pay,"""What have you in your basket to-day?"" asked the man."
youth-who-was-to-serve-three-years-without-pay,"""If you want to know, then buy it!"" was again the answer."
youth-who-was-to-serve-three-years-without-pay,"""What does it cost?"" asked the man."
youth-who-was-to-serve-three-years-without-pay,"She wanted four shillings for it, she had only the one price."
youth-who-was-to-serve-three-years-without-pay,"The man said he would buy it, for he thought that this time he would make a better purchase."
youth-who-was-to-serve-three-years-without-pay,"He raised the cover, and this time a kitten lay in the basket."
youth-who-was-to-serve-three-years-without-pay,"When he reached home, there stood the youth, waiting to see what he was to get in lieu of his second year's wages."
youth-who-was-to-serve-three-years-without-pay,"""Are you back again, master!"" said he."
youth-who-was-to-serve-three-years-without-pay,"""Yes, indeed,"" said the master."
youth-who-was-to-serve-three-years-without-pay,"""What did you buy to-day?"" asked the youth."
youth-who-was-to-serve-three-years-without-pay,"""Alas, nothing better than I did yesterday,"" said the man, ""but I did as we agreed, and bought the first thing I came across, and that was this kitten."""
youth-who-was-to-serve-three-years-without-pay,"""You could not have hit on anything better,"" said the youth, ""for all my life long I have been fond of cats as well as of dogs."""
youth-who-was-to-serve-three-years-without-pay,"""I do not fare so badly this way,"" thought the man, ""but when he sets out for himself, then the matter will probably turn out differently."""
youth-who-was-to-serve-three-years-without-pay,"So the third morning the youth set out for himself, and when he entered town, he came across the same old woman with her basket on her arm."
youth-who-was-to-serve-three-years-without-pay,"""Good morning, granny,"" said he."
youth-who-was-to-serve-three-years-without-pay,"""And good morning to you, my boy,"" said the old woman."
youth-who-was-to-serve-three-years-without-pay,"""What have you in your basket?"" asked the youth."
youth-who-was-to-serve-three-years-without-pay,"""If you want to know, then buy it!"""
youth-who-was-to-serve-three-years-without-pay,answered the old woman.
youth-who-was-to-serve-three-years-without-pay,"""Do you want to sell it?"" asked the youth."
youth-who-was-to-serve-three-years-without-pay,"Yes, indeed, and it would cost four shillings, said the old woman."
youth-who-was-to-serve-three-years-without-pay,"That is a bargain, thought the youth, and wanted to take it, for he had to buy the first thing that came his way."
youth-who-was-to-serve-three-years-without-pay,"""Well, you can take the whole blessed lot,"" said the old woman, ""the basket and all that's in it. But do not look into it before you get home, do you hear!"""
youth-who-was-to-serve-three-years-without-pay,"No, indeed, he would be sure not to look in the basket, said he."
youth-who-was-to-serve-three-years-without-pay,"But on the way, he kept wondering as to what might be in the basket, and willy-nilly--he could not keep from raising the cover a little, and looking through the crack."
youth-who-was-to-serve-three-years-without-pay,"But that very minute a little lizard popped out of the crack, and ran across the road so quickly that it fairly hummed--and aside from the lizard there was nothing in the basket."
youth-who-was-to-serve-three-years-without-pay,"""Stop, wait a minute, and don't run away! I just bought you,"" said the youth."
youth-who-was-to-serve-three-years-without-pay,"""Stab me in the neck! Stab me in the neck!"""
youth-who-was-to-serve-three-years-without-pay,cried the lizard.
youth-who-was-to-serve-three-years-without-pay,The youth did not have to be told twice.
youth-who-was-to-serve-three-years-without-pay,He ran after the lizard and stabbed it in the neck just as it was slipping into a hole in a wall.
youth-who-was-to-serve-three-years-without-pay,"And that very moment it turned into a man, as handsome and splendid as the handsomest prince, and a prince he was, if truth be told."
youth-who-was-to-serve-three-years-without-pay,"""Now you have delivered me,"" said he, ""for the old woman, with whom you and your master have been dealing, is a witch, and she turned me into a lizard, and my brother and sister into a dog and cat."""
youth-who-was-to-serve-three-years-without-pay,The youth thought this a remarkable tale.
youth-who-was-to-serve-three-years-without-pay,"""Yes, indeed,"" said the prince."
