question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,action,,What did Kintoki do because he fell in love with a beautiful lady?,explicit,married her,,,,,,
2,local,1,setting,,Where did Kintoki live?,explicit,Kyoto,,,,,,
3,local,1,action,,How did Kintoki fall into disgrace at Court?,explicit,the malice of some friends,,,,,,
4,local,1,outcome resolution,,What happened because of the misfortune that prayed upon Kintoki's mind?,explicit,He died.,,,,,,
5,local,1,character,,Who did Kintoki leave behind when he died?,explicit,his beautiful young wife,,,,,,
6,local,1,causal relationship,,Why did Kintoki go to the Ashigara mountains?,explicit,She feared her husband's enemy.,,,,,,
7,local,1,causal relationship,,Why did Kintoki choose to live in the Ashigara mountains to hide from her husband's enemies?,implicit,No one would look for her there.,Only woodcutters went there.,,,,,
8,local,1,character,,What was remarkable about Kintaro?,explicit,his great strength,,,,,,
9,local,1,action,,How was Kintaro able to cut down trees as quickly as the woodcutters?,explicit,He grew stronger and stronger.,,,,,,
10,local,1,action,,What did Kintaro use the large axe for?,explicit,help the woodcutters,cut down trees,,,,,
11,local,2,causal relationship,,Why was Kintaro unlike the other boys?,explicit,grew up all alone in the mountain wilds,no companions,made friends with all the animals,,,,
12,local,2,action,,How did Kintaro learn to understand and speak with animals?,explicit,He made friends with all the animals.,,,,,,
13,local,2,causal relationship,,Why did the animals act as servants and messengers?,explicit,they looked upon Kintaro as their master,,,,,,
14,local,3,action,,What did Kintaro do to show the deer that its long horns did not frighten him?,explicit,put his arms round the creature's neck,,,,,,
15,summary,"2,3,4",causal relationship,,Why did the animals follow Kintaro into the mountains?,implicit,They were friends.,They enjoyed each other's company.,,,,,
16,summary,"4,5",causal relationship,,Why was the plain a nice place to have a good romp together?,implicit,It was wide.,It was covered with pretty wild flowers.,,,,,
17,summary,"4,5",action,,How did Kintaro and the animals feel about the field?,implicit,satisfied,content,happy,,,,
18,local,6,action,,What game did Kintaro suggest?,explicit,a wrestling match,,,,,,
19,local,6,action,,How did the bear make the platform for the wrestlers?,explicit,dug up the earth and pat it into shape,,,,,,
20,local,6,character,,Who was the strongest animal?,explicit,the bear,,,,,,
21,local,7,character,,Who was the umpire?,explicit,the deer,Mr. Deer,,,,,
22,local,7,character,,Who were the first ones to fight?,explicit,the monkey and the hare,,,,,,
23,local,7,action,,What did the deer use as a signal?,explicit,a leaf,,,,,,
24,local,8,character,,Who won the match?,explicit,the hare,,,,,,
25,local,8,prediction,feeling,How will the monkey feel when he loses?,implicit,angry,sad,upset,,,,
26,local,9,action,,What prize did Kintaro give?,explicit,a rice-dumpling,,,,,,
27,local,10,causal relationship,,Why was the monkey cross?,explicit,He felt that he had not been fairly beaten.,,,,,,
28,local,10,causal relationship,,Why did the monkey think he was not fairly beaten?,explicit,His foot slipped and he tumbled.,,,,,,
29,local,10,character,,What type of animal was the monkey by nature?,explicit,cunning,,,,,,
30,local,10,action,,How did the monkey plan to beat the hare?,explicit,get hold of the hare's long ear,,,,,,
31,local,10,action,,How did the hare get thrown off guard?,explicit,the pain of having his long ear pulled so hard,,,,,,
32,local,10,feeling,,How did the monkey feel after winning?,explicit,satisfied,,,,,,
33,local,10,causal relationship,,Why did the monkey forget his sore back?,explicit,was now the victor,received a rice-dumpling,,,,,
34,local,11,causal relationship,,Why did the animals stop wrestling?,implicit,They were wrestling for a long time.,They were tired.,They needed to go home.,,,,
35,local,11,causal relationship,,Why did all the animals wonder how they could cross the stream?,implicit,They did not know how to swim.,They were afraid of the water.,,,,,
36,local,11,character,,Who will figure out how to get across the bridge?,explicit,Kintaro,,,,,,
37,local,12,action,,How was Kintaro able to make a bridge?,explicit,He took hold of the trunk and pulled it with all his might.,,,,,,
38,local,12,action,,How was Kintaro able to pull the tree by its trunk?,implicit,He was very strong.,He had strength.,,,,,
39,local,12,feeling,,How did the animals feel when they saw Kintaro pull out the tree?,implicit,amazed,surprised,awed,,,,
40,local,13,character,,Who was overlooking the stream?,explicit,a woodcutter,,,,,,
41,local,14,causal relationship,,Why did the woodcutter follow Kintaro?,implicit,He wanted to know who his father was.,He wanted to know more about Kintaro.,,,,,
42,summary,"14,15",causal relationship,,Why was Kintaro's mother waiting for him?,implicit,He was gone for a long time.,He was out late.,She was worried.,,,,
43,summary,"14,16",character,prediction,Who will the voice from outside be?,explicit,the woodcutter,,,,,,
44,local,16,feeling,,How did Kintaro and his mother feel when they heard the voice from outside?,explicit,startled,,,,,,
45,summary,"17,18",causal relationship,,Why did the woodcutter want to wrestle?,implicit,He wanted to know who was stronger.,He wanted to know how strong the boy was.,,,,,
46,local,18,causal relationship,,Why did the old man declare it a drawn game?,explicit,the strange pair were evenly matched,,,,,,
47,local,18,action,,What did the woodcutter say would happen when Kintaro is full-grown?,explicit,He will be the strongest man in Japan.,,,,,,
48,summary,"18,19",causal relationship,,Why did the woodcutter think Kintaro would make a good samurai?,implicit,Kintaro was very strong.,Kintaro will be the strongest man in Japan when he grows up.,,,,,
49,local,19,action,,What did Kintaro's mother do because of Kintaro's strength?,explicit,hid him away in this unknown part of the country,,,,,,
50,local,20,character,,Who was the woodcutter really?,explicit,Sadamitsu,vassal of the powerful Lord Minamoto-no-Raiko,,,,,
