question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who had three daughters?,explicit,a king,,,,,,
2,local,1,character,,Who were very proud and quarrelsome?,explicit,the two eldest,,,,,,
3,local,1,character,,Who came to court the daughters?,explicit,three princes,,,,,,
4,local,1,action,,"What did the king, princes, and daughters do one day?",explicit,walked down to a lake,,,,,,
5,local,1,character,,"Who did the king, princes, and daughters meet?",explicit,a poor beggar,,,,,,
6,local,1,action,,What did the youngest daughter and her true love do for the poor beggar?,explicit,"gave him something, and kind words along with it",,,,,,
7,local,2,causal relationship,,Why didn't the youngest daughter take a sail in the fine boat?,explicit,She was afraid it's an enchanted one.,,,,,,
8,local,2,action,,What did the other princes and daughters do after the youngest daughter didn't want to go in?,explicit,persuaded her to go in,,,,,,
9,local,2,character,,Who sprung on the deck?,explicit,a little man,,,,,,
10,local,2,action,,What did the little man order the king to do?,explicit,stand back,,,,,,
11,local,2,causal relationship,,Why weren't the princes able to draw their swords?,explicit,All strength that was left their arms.,,,,,,
12,local,2,outcome resolution,,What happened after the little man appeared?,implicit,The little man pushed the boat in the water.,The little man made the boat float away in the water.,,,,,
13,local,2,character,,Who were in the boat after the little man pushed it away?,implicit,the three daughters,the three princesses,the three brides,,,,
14,summary,"2, 3",prediction,outcome resolution,What will happen to the princesses after they floated away?,implicit,They will go into the well.,They will disappear.,,,,,
15,local,2,action,,What did the little man say to the youngest prince?,implicit,The youngest prince would see his wife again.,The youngest prince would get his princess in the future.,,,,,
16,local,2,feeling,,How did the princesses feel after they floated away?,implicit,scared,upset,helplessness,,,,
17,summary,"2, 3",causal relationship,,Why couldn't the men save the princesses?,implicit,They did not have the strength to put.,The little man put a spell on them.,,,,,
18,local,3,action,,What did the men see while they could not move?,explicit,"saw Seven Inches handing the three princesses out of the boat, and letting them down by a basket into a draw-well",,,,,,
19,local,3,action,outcome resolution,What did the men do after they had strength in their bodies again?,explicit,"ran, and never drew rein till they came to the well and windlass",,,,,,
20,local,3,action,,How did the men decide who would go down in the well?,implicit,They chose the eldest prince.,They chose the oldest prince.,They chose by age.,,,,
21,local,3,outcome resolution,,What happened after the princes let down the eldest prince into the well?,explicit,"They lost sight of him, and then, after winding off a hundred perches of the silk rope, it slackened, and they stopped turning.",,,,,,
22,local,3,action,,How long did the princes wait for the eldest prince?,explicit,two hours,,,,,,
23,local,3,causal relationship,,Why did the princes go to dinner?,explicit,There was no pull made at the rope.,,,,,,
24,local,4,character,,Who was sent down to the well on the second day?,explicit,the second prince,,,,,,
25,summary,"3, 4",causal relationship,,Why did the second prince go down to the well?,implicit,The eldest prince did not come back.,The eldest prince did not return.,,,,,
26,local,4,character,,Who was sent down to the well on the third day?,explicit,the youngest of all,,,,,,
27,local,4,causal relationship,,Why was the youngest prince sent down into the well?,implicit,The eldest prince and second prince did not come back.,His brothers did not return.,,,,,
28,local,4,setting,,Where did the youngest prince want to go to after he entered the well?,explicit,castle,,,,,,
29,local,4,action,,What did the youngest prince see after he entered the well?,explicit,"a wood, and green fields, and a castle in a lawn, and a bright sky over all",,,,,,
30,local,4,causal relationship,,Why didn't the prince eat the dinner in the castle?,explicit,He was too mannerly to eat without being invited.,,,,,,
31,local,4,outcome resolution,,What happened after the youngest prince waited in the castle?,explicit,In came Seven Inches with the youngest sister by the hand.,,,,,,
32,summary,"4, 5",feeling,,How did the youngest prince feel after he saw his bride again?,implicit,happy,glad,excited,,,,
33,local,5,action,,What did the other princes do when they went into the castle?,implicit,They ate the dinner in the castle.,They were rude to Seven Inches.,,,,,
