section,text
1,"Once upon a time there was a couple of humble cottagers who had no
children until, at last, the man's wife was blessed with a boy, which
made both of them very happy. They named him Faithful and when he was
christened a huldra came to the hut, seated herself beside the
child's cradle, and foretold that he would meet with good fortune.
""What is more,"" she said, ""when he is fifteen years of age, I will
make him a present of a horse with many rare qualities, a horse that
has the gift of speech!"" And with that the huldra turned and went
away."
2,"The boy grew up and became strong and powerful. And when he had passed
his fifteenth year, a strange old man came up to their hut one day,
knocked, and said that the horse he was leading had been sent by his
queen, and that henceforward it was to belong to Faithful, as she had
promised. Then the ancient man departed; but the beautiful horse was
admired by all, and Faithful learned to love it more with every
passing day."
3,"At length he grew weary of home. ""I must away and try my fortune in
the world,"" said he, and his parents did not like to object; for there
was not much to wish for at home. So he led his dear horse from the
stable, swung himself into the saddle, and rode hurriedly into the
wood. He rode on and on, and had already covered a good bit of ground,
when he saw two lions engaged in a struggle with a tiger, and they
were well-nigh overcome. ""Make haste to take your bow,"" said the
horse, ""shoot the tiger and deliver the two lions!"" ""Yes, that's what
I will do,"" said the youth, fitted an arrow to the bow-string, and in
a moment the tiger lay prone on the ground. The two lions drew nearer,
nuzzled their preserver in a friendly and grateful manner, and then
hastened back to their cave."
4,"Faithful now rode along for a long time among the great trees until he
suddenly spied two terrified white doves fleeing from a hawk who was
on the point of catching them. ""Make haste to take your bow,"" said the
horse, ""shoot the hawk and save the two doves!"" ""Yes, that's what I'll
do,"" said the youth. He fitted an arrow to the bow-string, and in a
moment the hawk lay prone on the ground. But the two doves flew
nearer, fluttered about their deliverer in a tame and grateful manner,
and then hurried back to their nest."
5,"The youth pressed on through the wood and by now was far, far from
home. But his horse did not tire easily, and ran on with him until
they came to a great lake. There he saw a gull rise up from the water,
holding a pike in its claws. ""Make haste to take your bow,"" said the
horse, ""shoot the gull and save the pike!"" ""Yes, that's what I'll do,""
answered the youth, fitted an arrow to his bow-string, and in a moment
the gull was threshing the ground with its wings, mortally wounded.
But the pike who had been saved swam nearer, gave his deliverer a
friendly, grateful glance, and then dove down to join his fellows
beneath the waves."
6,"Faithful rode on again, and before evening came to a great castle. He
at once had himself announced to the king, and begged that the latter
would take him into his service. ""What kind of a place do you want?""
asked the king, who was inclined to look with favor on the bold
horseman."
7,"""I should like to be a groom,"" was Faithful's answer, ""but first of
all I must have stable-room and fodder for my horse."" ""That you shall
have,"" said the king, and the youth was taken on as a groom, and
served so long and so well, that every one in the castle liked him,
and the king in particular praised him highly."
8,"But among the other servitors was one named Unfaithful who was jealous
of Faithful, and did what he could to harm him; for he thought to
himself:

""Then I would be rid of him, and need not see him continue to rise in
my lord's favor."" Now it happened that the king was very sad, for he
had lost his queen, whom a troll had stolen from the castle. It is
true that the queen had not taken pleasure in the king's society, and
that she did not love him. Still the king longed for her greatly, and
often spoke of it to Unfaithful his servant. So one day Unfaithful
said: ""My lord need distress himself no longer, for Faithful has been
boasting to me that he could rescue your beautiful queen from the
hands of the troll."" ""If he has done so,"" replied the king, ""then he
must keep his word."""
9,"He straightway ordered Faithful to be brought before him, and
threatened him with death if he did not at once hurry into the hill
and bring back the wife of whom he had been robbed. If he were
successful great honor should be his reward. In vain Faithful denied
what Unfaithful had said of him, the king stuck to his demand, and the
youth withdrew, convinced that he had not long to live. Then he went
to the stable to bid farewell to his beautiful horse, and stood beside
him and wept. ""What grieves you so?"" asked the horse. Then the youth
told him of all that had happened, and said that this was probably the
last time he would be able to visit him. ""If it be no more than that,""
said the horse, ""there is a way to help you. Up in the garret of the
castle there is an old fiddle, take it with you and play it when you
come to the place where the queen is kept. And fashion for yourself
armor of steel wire, and set knives into it everywhere, and then, when
you see the troll open his jaws, descend into his maw, and thus slay
him. But you must have no fear, and must trust me to show you the
way."" These words filled the youth with fresh courage, he went to the
king and received permission to leave, secretly fashioned his steel
armor, took the old fiddle from the garret of the castle, led his dear
horse out of the stable, and without delay set forth for the troll's
hill."
10,"Before long he saw it, and rode directly to the troll's abode. When he
came near, he saw the troll, who had crept out of his castle, lying
stretched out at the entrance to his cave, fast asleep, and snoring so
powerfully that the whole hill shook. But his mouth was wide open, and
his maw was so tremendous that it was easy for the youth to crawl into
it. He did so, for he was not afraid, and made his way into the
troll's inwards where he was so active that the troll was soon killed.
Then Faithful crept out again, laid aside his armor, and entered the
troll's castle. Within the great golden hall sat the captive queen,
fettered with seven strong chains of gold. Faithful could not break
the strong chains; but he took up his fiddle and played such tender
music on it, that the golden chains were moved, and one after
another, fell from the queen, until she was able to rise and was free
once more. She looked at the courageous youth with joy and gratitude,
and felt very kindly toward him, because he was so handsome and
courteous. And the queen was perfectly willing to return with him to
the king's castle."
