section,text
1,"DID you ever hear the story of the old street lamp? It is not remarkably interesting, but for once you may as well listen to it. It was a most respectable old lamp, which had seen many, many years of service and now was to retire with a pension. It was this very evening at its post for the last time, giving light to the street. Its feelings were something like those of an old dancer at the theater who is dancing for the last time and knows that on the morrow she will be in her garret, alone and forgotten."
2,"The lamp had very great anxiety about the next day, for it knew that it had to appear for the first time at the town hall to be inspected by the mayor and the council, who were to decide whether it was fit for further service; whether it was good enough to be used to light the inhabitants of one of the suburbs, or in the country, at some factory. If the lamp could not be used for one of these purposes, it would be sent at once to an iron foundry to be melted down. In this latter case it might be turned into anything, and it wondered very much whether it would then be able to remember that it had once been a street lamp. This troubled it exceedingly."
3,"Whatever might happen, it seemed certain that the lamp would be separated from the watchman and his wife, whose family it looked upon as its own. The lamp had first been hung up on the very evening that the watchman, then a robust young man, had entered upon the duties of his office. Ah, well! it was a very long time since one became a lamp and the other a watchman. His wife had some little pride in those days; she condescended to glance at the lamp only when she passed by in the evening--never in the daytime. But in later years, when all of them--the watchman, the wife, and the lamp--had grown old, she had attended to it, cleaning it and keeping it supplied with oil. The old people were thoroughly honest; they had never cheated the lamp of a single drop of the oil provided for it."
4,"This was the lamp's last night in the street, and to-morrow it must go to the town hall--two very dark things to think of. No wonder it did not burn brightly. How many persons it had lighted on their way, and how much it had seen! As much, very likely, as the mayor and corporation themselves! None of these thoughts were uttered aloud, however, for the lamp was good and honorable and would not willingly do harm to any one, especially to those in authority. As one thing after another was recalled to its mind, the light would flash up with sudden brightness. At such moments the lamp had a conviction that it would be remembered."
5,"""There was a handsome young man, once,"" thought the lamp; ""it is certainly a long while ago, but I remember that he had a little note, written on pink paper with a gold edge. The writing was elegant, evidently a lady's. Twice he read it through, and kissed it, and then looked up at me with eyes that said quite plainly, 'I am the happiest of men!' Only he and I know what was written on this, his first letter from his lady-love. Ah, yes, and there was another pair of eyes that I remember; it is really wonderful how the thoughts jump from one thing to another! A funeral passed through the street. A young and beautiful woman lay on a bier decked with garlands of flowers, and attended by torches which quite overpowered my light. All along the street stood the people from the houses, in crowds, ready to join the procession. But when the torches had passed from before me and I could look around, I saw one person standing alone, leaning against my post and weeping. Never shall I forget the sorrowful eyes that looked up at me."""
6,"These and similar reflections occupied the old street lamp on this the last time that its light would shine. The sentry, when he is relieved from his post, knows, at least, who will be his successor, and may whisper a few words to him. But the lamp did not know its successor, or it might have given him a few hints respecting rain or mist and might have informed him how far the moon's rays would reach, and from which side the wind generally blew, and so on."
7,"On the bridge over the canal stood three persons who wished to recommend themselves to the lamp, for they thought it could give the office to whomsoever it chose. The first was a herring's head, which could emit light in the darkness. He remarked that it would be a great saving of oil if they placed him on the lamp-post. Number two was a piece of rotten wood, which also shines in the dark. He considered himself descended from an old stem, once the pride of the forest. The third was a glowworm, and how he found his way there the lamp could not imagine; yet there he was, and could really give light as well as the others. But the rotten wood and the herring's head declared most solemnly, by all they held sacred, that the glowworm only gave light at certain times and must not be allowed to compete with them. The old lamp assured them that not one of them could give sufficient light to fill the position of a street lamp, but they would believe nothing that it said. When they discovered that it had not the power of naming its successor, they said they were very glad to hear it, for the lamp was too old and worn out to make a proper choice."
8,"At this moment the wind came rushing round the corner of the street and through the air-holes of the old lamp. ""What is this I hear?"" it asked. ""Are you going away to-morrow? Is this evening the last time we shall meet? Then I must present you with a farewell gift. I will blow into your brain, so that in future not only shall you be able to remember all that you have seen or heard in the past, but your light within shall be so bright that you will be able to understand all that is said or done in your presence."" ""Oh, that is really a very, very great gift,"" said the old lamp. ""I thank you most heartily. I only hope I shall not be melted down."" ""That is not likely to happen yet,"" said the wind. ""I will also blow a memory into you, so that, should you receive other similar presents, your old age will pass very pleasantly."" ""That is, if I am not melted down,"" said the lamp. ""But should I, in that case, still retain my memory?"" ""Do be reasonable, old lamp,"" said the wind, puffing away."
9,"At this moment the moon burst forth from the clouds. ""What will you give the old lamp?"" asked the wind. ""I can give nothing,"" she replied. ""I am on the wane, and no lamps have ever given me light, while I have frequently shone upon them."" With these words the moon hid herself again behind the clouds, that she might be saved from further importunities. Just then a drop fell upon the lamp from the roof of the house, but the drop explained that it was a gift from those gray clouds and perhaps the best of all gifts. ""I shall penetrate you so thoroughly,"" it said, ""that you will have the power of becoming rusty, and, if you wish it, can crumble into dust in one night."" But this seemed to the lamp a very shabby present, and the wind thought so, too. ""Does no one give any more? Will no one give any more?"" shouted the breath of the wind, as loud as it could. Then a bright, falling star came down, leaving a broad, luminous streak behind it."
10,"""What was that?"" cried the herring's head. ""Did not a star fall? I really believe it went into the lamp. Certainly, when such high-born personages try for the office we may as well go home."" And so they did, all three, while the old lamp threw a wonderfully strong light all around."
11,"""This is a glorious gift,"" it said. ""The bright stars have always been a joy to me and have always shone more brilliantly than I ever could shine, though I have tried with my whole might. Now they have noticed me, a poor old lamp, and have sent me a gift that will enable me to see clearly everything that I remember, as if it still stood before me, and to let it be seen by all those who love me. And herein lies the truest happiness, for pleasures which we cannot share with others are only half enjoyed."""
12,"""That sentiment does you honor,"" said the wind; ""but for this purpose wax lights will be necessary. If these are not lighted in you, your peculiar faculties will not benefit others in the least. The stars have not thought of this. They suppose that you and every other light must be a wax taper. But I must go down now."" So it laid itself to rest.

""Wax tapers, indeed!"" said the lamp; ""I have never yet had these, nor is it likely I ever shall. If I could only be sure of not being melted down!"""
13,"The next day--well, perhaps we had better pass over the next day. The evening had come, and the lamp was resting in a grandfather's chair; and guess where! Why, at the old watchman's house. He had begged as a favor that the mayor and corporation would allow him to keep the street lamp in consideration of his long and faithful service, as he had himself hung it up and lighted it on the day he first commenced his duties, four and twenty years ago. He looked upon it almost as his own child. He had no children, so the lamp was given to him."
