section,text
1,"In bygone days, long centuries ago, there lived a widowed Queen who had
three daughters. And this widowed Queen was so poor, and had fallen upon
such evil days, that she and her daughters had often much ado to get
enough to eat.

So the eldest Princess determined that she would set out into the world
to seek her fortune. And her mother was quite willing that she should do
so. ""For,"" said she, ""It is better to work abroad than to starve at
home.""

But as there was an old hen-wife living near the Castle who was said to
be a witch, and to be able to foretell the future, the Queen sent the
Princess to her cottage, before she set out on her travels, to ask her
in which of the Four Airts she ought to go, in order to find the best
fortune.

""Thou needst gang nae farther than my back door, hinnie,"" answered the
old Dame, who had always felt very sorry for the Queen and her pretty
daughters, and was glad to do them a good turn."
2,"So the Princess ran through the passage to the hen-wife's back door and
peeped out, and what should she see but a magnificent coach, drawn by
six beautiful cream-coloured horses, coming along the road.

Greatly excited at this unusual sight, she hurried back to the kitchen,
and told the hen-wife what she had seen.

""Aweel, aweel, ye've seen your fortune,"" said the old woman, in a tone
of satisfaction, ""for that coach-and-six is coming for thee.""

Sure enough, the coach-and-six stopped at the gate of the Castle, and
the second Princess came running down to the cottage to tell her sister
to make haste, because it was waiting for her. Delighted beyond measure
at the wonderful luck that had come to her, she hurried home, and,
saying farewell to her mother and sisters, took her seat within, and the
horses galloped off immediately."
3,"And I've heard tell that they drew her to the Palace of a great and
wealthy Prince, who married her; but that is outside my story.

A few weeks afterwards, the second Princess thought that she would do as
her sister had done, and go down to the hen-wife's cottage, and tell her
that she, too, was going out into the world to seek her fortune. And, of
course, in her heart of hearts she hoped that what had happened to her
sister would happen to her also.

And, curious to say, it did. For the old hen-wife sent her to look out
at her back door, and she went, and, lo and behold! another
coach-and-six was coming along the road. And when she went and told the
old woman, she smiled upon her kindly, and told her to hurry home, for
the coach-and-six was her fortune also, and that it had come for her.

So she, too, ran home, and got into her grand carriage, and was driven
away. And, of course, after all these lucky happenings, the youngest
Princess was anxious to try what her fortune might be; so the very
night, in high good humour, she tripped away down to the old witch's
cottage."
4,"She, too, was told to look out at the back door, and she was only too
glad to do so; for she fully expected to see a third coach-and-six
coming rolling along the high road, straight for the Castle door.

But, alas and alack! no such sight greeted her eager eyes, for the high
road was quite deserted, and in great disappointment she ran back to the
hen-wife to tell her so.

""Then it is clear that thy fortune is not coming to meet thee this day,""
said the old Dame, ""so thou must e'en come back to-morrow.""

So the little Princess went home again, and next day she turned up
once more at the old wife's cottage."
5,"But once more she was disappointed, for although she looked out long and
eagerly, no glad sight of a coach-and-six, or of any other coach,
greeted her eyes. On the third day, however, what should she see but a
great Black Bull coming rushing along the road, bellowing as it came,
and tossing its head fiercely in the air.

In great alarm, the little Princess shut the door, and ran to the
hen-wife to tell her about the furious animal that was approaching.

""Hech, hinnie,"" cried the old woman, holding up her hands in dismay,
""and who would have thocht that the Black Bull of Norroway wad be your
fate!""

At the words, the poor little maiden grew pale. She had come out to seek
her fortune, but it had never dawned upon her that her fortune could be
anything so terrible as this."
6,"""But the Bull cannot be my fortune,"" she cried in terror. ""I cannot go
away with a bull.""

""But ye'll need tae,"" replied the hen-wife calmly. ""For you lookit out
of my door with the intent of meeting your fortune; and when your
fortune has come tae ye, you must just thole it.""

And when the poor Princess ran weeping to her mother, to beg to be
allowed to stay at home, she found her mother of the same mind as the
Wise Woman; and so she had to allow herself to be lifted up on to the
back of the enormous Black Bull that had come up to the door of the
Castle, and was now standing there quietly enough. And when she was
settled, he set off again on his wild career, while she sobbed and
trembled with terror, and clung to his horns with all her might.

On and on they went, until at last the poor maiden was so faint with
fear and hunger that she could scarce keep her seat."
7,"Just as she was losing her hold of the great beast's horns, however, and
feeling that she must fall to the ground, he turned his massive head
round a little, and, speaking in a wonderfully soft and gentle voice,
said: ""Eat out of my right ear, and drink out of my left ear, so wilt
thou be refreshed for thy journey.""

So the Princess put a trembling hand into the Bull's right ear, and drew
out some bread and meat, which, in spite of her terror, she was glad to
swallow; then she put her hand into his left ear, and found there a tiny
flagon of wine, and when she had drunk that, her strength returned to
her in a wonderful way.

Long they went, and sore they rode, till, just as it seemed to the
Princess that they must be getting near the World's End, they came in
sight of a magnificent Castle.

""That's where we maun bide this night,"" said the Black Bull of Norroway,
""for that is the house of one of my brothers."""
8,"The Princess was greatly surprised at these words; but by this time she
was too tired to wonder very much at anything, so she did not answer,
but sat still where she was, until the Bull ran into the courtyard of
the Castle and knocked his great head against the door.


The door was opened at once by a very splendid footman, who treated the
Black Bull with great respect, and helped the Princess to alight from
his back. Then he ushered her into a magnificent hall, where the Lord of
the Castle, and his Lady, and a great and noble company were assembled;
while the Black Bull trotted off quite contentedly to the grassy park
which stretched all round the building, to spend the night there.

The Lord and his Lady were very kind to the Princess, and gave her her
supper, and led her to a richly furnished bedroom, all hung round with
golden mirrors, and left her to rest there; and in the morning, just as
the Black Bull came trotting up to the front door, they handed her a
beautiful apple, telling her not to break it, but to put it in her
pocket, and keep it till she was in the greatest strait that mortal
could be in. Then she was to break it, and it would bring her out of it."
9,"So she put the apple in her pocket, and they lifted her once more on to
the Black Bull's back, and she and her strange companion continued on
their journey.

All that day they travelled, far further than I can tell you, and at
night they came in sight of another Castle, which was even bigger and
grander than the first.

""That's where we maun bide this night,"" said the Black Bull, ""for that
is the home of another of my brothers.""

And here the Princess rested for the night in a very fine bedroom
indeed, all hung with silken curtains; and the Lord and Lady of the
Castle did everything to please her and make her comfortable."
10,"And in the morning, before she left, they presented her with the largest
pear that she had ever seen, and warned her that she must not break it
until she was in the direst strait that she had ever been in, and then,
if she broke it, it would bring her out of it.

The third day was the same as the other two had been. The Princess and
the Black Bull of Norroway rode many a weary mile, and at sundown they
came to another Castle, more splendid by far than the other two.

This Castle belonged to the Black Bull's youngest brother, and here the
Princess abode all night; while the Bull, as usual, lay outside in the
park. And this time, when they departed, the Princess received a most
lovely plum, with the warning not to break it till she was in the
greatest strait that mortal could be in. Then she was to break it, and
it would set her free.

On the fourth day, however, things were changed. For there was no fine
Castle waiting for them at the end of their journey; on the contrary, as
the shadows began to lengthen, they came to a dark, deep glen, which was
so gloomy and so awesome-looking that the poor Princess felt her courage
sinking as they approached it."
11,"At the entrance the Black Bull stopped. ""Light down here, Lady,"" he
said, ""for in this glen a deadly conflict awaits me, which I must face
unaided and alone. For the dark and gloomy region that lies before us is
the abode of a great Spirit of Darkness, who worketh much ill in the
world. I would fain fight with him and overcome him; and, by my troth,
I have good hope that I shall do so. As for thee, thou must seat thyself
on this stone, and stir neither hand, nor foot, nor tongue till I
return. For, if thou but so much as move, then the Evil Spirit of the
Glen will have thee in his power.""

""But how shall I know what is happening to thee?"" asked the Princess
anxiously, for she was beginning to grow quite fond of the huge black
creature that had carried her so gallantly these last four days, ""if I
have neither to move hand nor foot, nor yet to speak.""

""Thou wilt know by the signs around thee,"" answered the Bull. ""For if
everything about thee turn blue, then thou wilt know that I have
vanquished the Evil Spirit; but if everything about thee turn red, then
the Evil Spirit hath vanquished me.""

With these words he departed, and was soon lost to sight in the dark
recesses of the glen, leaving the little Princess sitting motionless on
her stone, afraid to move so much as her little finger, in case some
unknown evil fell upon her."
