section,text
1,"The King of the Polar Bears lived among the icebergs in the far north country. He was old and monstrous big; he was wise and friendly to all who knew him. His body was thickly covered with long, white hair that glistened like silver under the rays of the midnight sun. His claws were strong and sharp, that he might walk safely over the smooth ice or grasp and tear the fishes and seals upon which he fed.

The seals were afraid when he drew near, and tried to avoid him; but the gulls, both white and gray, loved him because he left the remnants of his feasts for them to devour.

Often his subjects, the polar bears, came to him for advice when ill or in trouble; but they wisely kept away from his hunting grounds, lest they might interfere with his sport and arouse his anger."
2,"The wolves, who sometimes came as far north as the icebergs, whispered among themselves that the King of the Polar Bears was either a magician or under the protection of a powerful fairy. For no earthly thing seemed able to harm him; he never failed to secure plenty of food, and he grew bigger and stronger day by day and year by year.

Yet the time came when this monarch of the north met man, and his wisdom failed him.

He came out of his cave among the icebergs one day and saw a boat moving through the strip of water which had been uncovered by the shifting of the summer ice. In the boat were men."
3,"The great bear had never seen such creatures before, and therefore advanced toward the boat, sniffing the strange scent with aroused curiosity and wondering whether he might take them for friends or foes, food or carrion.

When the king came near the water's edge a man stood up in the boat and with a queer instrument made a loud ""bang!"" The polar bear felt a shock; his brain became numb; his thoughts deserted him; his great limbs shook and gave way beneath him and his body fell heavily upon the hard ice.

That was all he remembered for a time."
4,"When he awoke he was smarting with pain on every inch of his huge bulk, for the men had cut away his hide with its glorious white hair and carried it with them to a distant ship.

Above him circled thousands of his friends the gulls, wondering if their benefactor were really dead and it was proper to eat him. But when they saw him raise his head and groan and tremble they knew he still lived, and one of them said to his comrades:

""The wolves were right. The king is a great magician, for even men cannot kill him. But he suffers for lack of covering. Let us repay his kindness to us by each giving him as many feathers as we can spare."""
5,"This idea pleased the gulls. One after another they plucked with their beaks the softest feathers from under their wings, and, flying down, dropped then gently upon the body of the King of the Polar Bears.

Then they called to him in a chorus:

""Courage, friend! Our feathers are as soft and beautiful as your own shaggy hair. They will guard you from the cold winds and warm you while you sleep. Have courage, then, and live!"""
6,"And the King of the Polar Bears had courage to bear his pain and lived and was strong again.

The feathers grew as they had grown upon the bodies of the birds and covered him as his own hair had done. Mostly they were pure white in color, but some from the gray gulls gave his majesty a slight mottled appearance.

The rest of that summer and all through the six months of night the king left his icy cavern only to fish or catch seals for food. He felt no shame at his feathery covering, but it was still strange to him, and he avoided meeting any of his brother bears."
7,"During this period of retirement he thought much of the men who had harmed him, and remembered the way they had made the great ""bang!"" And he decided it was best to keep away from such fierce creatures. Thus he added to his store of wisdom.

When the moon fell away from the sky and the sun came to make the icebergs glitter with the gorgeous tintings of the rainbow, two of the polar bears arrived at the king's cavern to ask his advice about the hunting season. But when they saw his great body covered with feathers instead of hair they began to laugh, and one said:

""Our mighty king has become a bird! Who ever before heard of a feathered polar bear?"""
8,"Then the king gave way to wrath. He advanced upon them with deep growls and stately tread and with one blow of his monstrous paw stretched the mocker lifeless at his feet.

The other ran away to his fellows and carried the news of the king's strange appearance. The result was a meeting of all the polar bears upon a broad field of ice, where they talked gravely of the remarkable change that had come upon their monarch."
9,"""He is, in reality, no longer a bear,"" said one; ""nor can he justly be called a bird. But he is half bird and half bear, and so unfitted to remain our king.""

""Then who shall take his place?"" asked another.

""He who can fight the bird-bear and overcome him,"" answered an aged member of the group. ""Only the strongest is fit to rule our race.""

There was silence for a time, but at length a great bear moved to the front and said:

""I will fight him; I-Woof-the strongest of our race! And I will be King of the Polar Bears."""
10,"The others nodded assent, and dispatched a messenger to the king to say he must fight the great Woof and master him or resign his sovereignty.

""For a bear with feathers,"" added the messenger, ""is no bear at all, and the king we obey must resemble the rest of us.""

""I wear feathers because it pleases me,"" growled the king. ""Am I not a great magician? But I will fight, nevertheless, and if Woof masters me he shall be king in my stead.""

Then he visited his friends, the gulls, who were even then feasting upon the dead bear, and told them of the coming battle.

""I shall conquer,"" he said, proudly. ""Yet my people are in the right, for only a hairy one like themselves can hope to command their obedience."""
