section,text
1,"There was a King in his own time in Erin, and he went hunting one day.
The King met a man whose head was out through his cap, whose elbows and
knees were out through his clothing, and whose toes were out through his
shoes.

The man went up to the King, gave him a blow on the face, and drove
three teeth from his mouth. The same blow put the King's head in the
dirt. When he rose from the earth, the King went back to his castle, and
lay down sick and sorrowful.

The King had three sons, and their names were Ur, Arthur, and Lawn
Dyarrig. The three were at school that day, and came home in the
evening. The father sighed when the sons were coming in.

""What is wrong with our father?"" asked the eldest.

""Your father is sick on his bed,"" said the mother.

The three sons went to their father and asked what was on him.

""A strong man that I met to-day gave me a blow in the face, put my head
in the dirt, and knocked three teeth from my mouth. What would you do to
him if you met him?"" asked the father of the eldest son.

""If I met that man,"" replied Ur, ""I would make four parts of him between
four horses.""

""You are my son,"" said the King. ""What would you do if you met him?""
asked he then as he turned to the second son.

""If I had a grip on that man I would burn him between four fires.""

""You, too, are my son. What would you do?"" asked the King of Lawn
Dyarrig."
2,"""If I met that man, I would do my best against him, and he might not
stand long before me.""

""You are not my son. I would not lose lands or property on you,"" said
the father. ""You must go from me, and leave this to-morrow.""

On the following morning the three brothers rose with the dawn; the
order was given Lawn Dyarrig to leave the castle and make his own way
for himself. The other two brothers were going to travel the world to
know could they find the man who had injured their father. Lawn Dyarrig
lingered outside till he saw the two, and they going off by themselves.

""It is a strange thing,"" said he, ""for two men of high degree to go
travelling without a servant.""

""We need no one,"" said Ur.

""Company wouldn't harm us,"" said Arthur.

The two let Lawn Dyarrig go with them as a serving-boy, and set out to
find the man who had struck down their father. They spent all that day
walking, and came late to a house where one woman was living. She shook
hands with Ur and Arthur, and greeted them. Lawn Dyarrig she kissed and
welcomed; called him son of the King of Erin.

""It is a strange thing to shake hands with the elder, and kiss the
younger,"" said Ur.

""This is a story to tell,"" said the woman, ""the same as if your death
were in it."""
3,"They made three parts of that night. The first part they spent in
conversation, the second in telling tales, the third in eating and
drinking, with sound sleep and sweet slumber. As early as the day dawned
next morning the old woman was up, and had food for the young men. When
the three had eaten, she spoke to Ur, and this is what she asked of him:
""What was it that drove you from home, and what brought you to this
place?""

""A champion met my father, and took three teeth from him and put his
head in the dirt. I am looking for that man, to find him alive or dead.""

""That was the Green Knight from Terrible Valley. He is the man who took
the three teeth from your father. I am three hundred years living in
this place, and there is not a year of the three hundred in which three
hundred heroes, fresh, young, and noble, have not passed on the way to
Terrible Valley, and never have I seen one coming back, and each of them
had the look of a man better than you. And now where are you going,
Arthur?""

""I am on the same journey with my brother.""

""Where are you going, Lawn Dyarrig?""

""I am going with these as a servant,"" said Lawn Dyarrig."
4,"""God's help to you, it's bad clothing that's on your body,"" said the
woman. ""And now I will speak to Ur. A day and a year since a champion
passed this way. He wore a suit as good as was ever above ground. I had
a daughter sewing there in the open window. He came outside, put a
finger under her girdle, and took her with him. Her father followed
straightway to save her, but I have never seen daughter nor father from
that day to this. That man was the Green Knight of Terrible Valley. He
is better than all the men that could stand on a field a mile in length
and a mile in breadth. If you take my advice you'll turn back and go
home to your father.""

It is how she vexed Ur with this talk, and he made a vow to himself to go
on. When Ur did not agree to turn home, the woman said to Lawn Dyarrig,
""Go back to my chamber; you'll find in it the apparel of a hero.""

He went back, and there was not a bit of the apparel he did not go into
with a spring.

""You may be able to do something now,"" said the woman, when Lawn Dyarrig
came to the front. ""Go back to my chamber and search through all the old
swords. You will find one at the bottom. Take that.""

He found the old sword, and at the first shake that he gave he knocked
seven barrels of rust out of it; after the second shake it was as bright
as when made."
5,"""You may be able to do well with that,"" said the woman. ""Go out, now, to
that stable abroad, and take the slim white steed that is in it. That
one will never stop nor halt in any place till he brings you to the
Eastern World. If you like, take these two men behind you; if not, let
them walk. But I think it is useless for you to have them at all with
you.""

Lawn Dyarrig went out to the stable, took the slim white steed, mounted,
rode to the front, and catching the two brothers, planted them on the
horse behind him.

""Now, Lawn Dyarrig,"" said the woman, ""this horse will never stop till he
stands on the little white meadow in the Eastern World. When he stops,
you'll come down, and cut the turf under his beautiful right front
foot.""

The horse started from the door, and at every leap he crossed seven
hills and valleys, seven castles with villages, acres, roods, and odd
perches. He could overtake the whirlwind before him seven hundred times
before the whirlwind behind him could overtake him once. Early in the
afternoon of the next day he was in the Eastern World. When he
dismounted, Lawn Dyarrig cut the sod from under the foot of the slim
white steed, in the name of the Father, Son, and Holy Ghost, and
Terrible Valley was down under him there. What he did next was to
tighten the reins on the neck of the steed and let him go home.

""Now,"" said Lawn Dyarrig to his brothers, ""which would you rather be
doing--making a basket or twisting gads (withes)?""

""We would rather be making a basket; our help is among ourselves,""
answered they."
6,"Ur and Arthur went at the basket and Lawn Dyarrig at twisting the gads.
When Lawn Dyarrig came to the opening with the gads all twisted and made
into one, they hadn't the ribs of the basket in the ground yet.

""Oh, then, haven't ye anything done but that?""

""Stop your mouth,"" said Ur, ""or we'll make a mortar of your head on the
next stone.""

""To be kind to one another is the best for us,"" said Lawn Dyarrig. ""I'll
make the basket.""

While they'd be putting one rod in the basket he had the basket
finished.

""Oh, brother,"" said they, ""you are a quick workman.""

They had not called him brother since they left home till that moment.

""Who will go in the basket now?"" said Lawn Dyarrig when it was finished
and the gad tied to it.

""Who but me?"" said Ur. ""I am sure, brothers, if I see anything to
frighten me you'll draw me up.""

""We will,"" said the other two.

He went in, but had not gone far when he cried to pull him up again.

""By my father, and the tooth of my father, and by all that is in Erin,
dead or alive, I would not give one other sight on Terrible Valley!"" he
cried, when he stepped out of the basket."
7,"""Who will go now?"" said Lawn Dyarrig.

""Who will go but me?"" answered Arthur.

Whatever length Ur went, Arthur didn't go the half of it.

""By my father, and the tooth of my father, I wouldn't give another look
at Terrible Valley for all that's in Erin, dead or alive!""

""I will go now,"" said Lawn Dyarrig, ""and as I put no foul play on you, I
hope ye'll not put foul play on me.""

""We will not, indeed,"" said they.

Whatever length the other two went, Lawn Dyarrig didn't go the half of
it, till he stepped out of the basket and went down on his own feet. It
was not far he had travelled in Terrible Valley when he met seven
hundred heroes guarding the country.

""In what place here has the Green King his castle?"" asked he of the
seven hundred.

""What sort of a sprisawn goat or sheep from Erin are you?"" asked they.

""If we had a hold of you, the two arms of me, that's a question you
would not put a second time; but if we haven't you, we'll not be so
long.""

They faced Lawn Dyarrig then and attacked him; but he went through them
like a hawk or a raven through small birds. He made a heap of their
feet, a heap of their heads, and a castle of their arms."
8,"After that he went his way walking, and had not gone far when he came to
a spring. ""I'll have a drink before I go further,"" thought he. With that
he stooped down and took a drink of the water. When he had drunk he lay
on the ground and fell asleep.

Now, there wasn't a morning that the lady in the Green Knight's castle
didn't wash in the water of that spring, and she sent a maid for the
water each time. Whatever part of the day it was when Lawn Dyarrig fell
asleep, he was sleeping in the morning when the girl came. She thought
it was dead the man was, and she was so in dread of him that she would
not come near the spring for a long time. At last she saw he was asleep,
and then she took the water. Her mistress was complaining of her for
being so long.

""Do not blame me,"" said the maid. ""I am sure that if it was yourself
that was in my place you'd not come back so soon.""

""How so?"" asked the lady.

""The finest hero that ever a woman laid eyes on is sleeping at the
spring.""

""That's a thing that cannot be till Lawn Dyarrig comes to the age of a
hero. When that time comes he'll be sleeping at the spring.""

""He is in it now,"" said the girl."
9,"The lady did not stop to get any drop of the water on herself, but ran
quickly from the castle. When she came to the spring she roused Lawn
Dyarrig. If she found him lying, she left him standing. She smothered
him with kisses, drowned him with tears, dried him with garments of fine
silk and with her own hair. Herself and himself locked arms and walked
into the castle of the Green Knight. After that they were inviting each
other with the best food and entertainment till the middle of the
following day. Then the lady said:

""When the Green Knight bore me away from my father and mother he brought
me straight to this castle, but I put him under bonds not to marry me
for seven years and a day, and he cannot; still, I must serve him. When
he goes fowling he spends three days away and the next three days at
home. This is the day for him to come back, and for me to prepare his
dinner. There is no stir that you or I have made here to-day but that
brass head beyond there will tell of it."""
10,"""It is equal to you what it tells,"" said Lawn Dyarrig, ""only make ready
a clean long chamber for me.""

She did so, and he went back into it. Herself rose up then to prepare
dinner for the Green Knight. When he came, she welcomed him as every
day. She left down his food before him, and he sat to take his dinner.
He was sitting with knife and fork in hand when the brass head spoke.
""I thought when I saw you taking food and drink with your wife that you
had the blood of a man in you. If you could see that sprisawn of a goat
or sheep out of Erin taking meat and drink with her all day, what would
you do?"""
