section,text
1,"Once upon a time there was a king who had several sons. I do not just
know how many there were, but the youngest was not content at home.
He insisted on going out into the world to seek his fortune. And in
the end the king had to give him permission to do so. After he had
wandered for a few days, he came to a giant's castle, and took service
with the giant. In the morning the giant wanted to go off to herd his
goats, and when he started he told the king's son he was to clean the
stable in the meantime. ""And when you are through with that, you need
do nothing more for to-day, for you might as well know that you have
come to a kind master,"" said he. ""But you must do what you are told to
do conscientiously and, besides, you must not go into any of the rooms
that lie behind the one in which you slept last night, else your life
will pay the forfeit."""
2,"""He surely is a kind master,"" said the king's son to himself, walked up
and down the room, and whistled and sang. He thought there would
be plenty of time to clean the stable. ""But it would be nice to take a
look at the other room, there surely must be something in it that he is
alarmed about, since I am not so much as to take a look,"" thought he,
and went into the first room. There hung a kettle, and it was boiling,
but the king's son could find no fire beneath it. ""What can there be in
it?"" thought he, and dipped in a lock of his hair, and at once the hair
grew just like copper. ""That's a fine soup, and whoever tastes it will
burn his mouth,"" said the youth, and went into the next room. There hung
another kettle that bubbled and boiled. But there was no fire beneath
it, either. ""I must try this one, too,"" said the king's son, and again
he dipped in a lock of his hair and it grew just like silver. ""We have
no such expensive soup at home,"" said the king's son, ""but the main
thing is, how does it taste?"" and with that he went into the third room.
And there hung still another kettle, a-boiling just like those in the
two other rooms, and the king's son wanted to try this one, too. He
dipped in a lock of his hair, and it came out like pure gold, and fairly
shimmered."
3,"Then the king's son said: ""Better and better! But if he cooks gold here,
I wonder what he cooks inside, there?"" And he wanted to see, so he went
into the fourth room. Here there was no kettle to be seen. But a maiden
sat on a bench who must have been a king's daughter. Yet whatever she
might be, the king's son had never seen any one so beautiful in all his
days. ""Now in heaven's name, what are you doing here?"" asked the maiden.
""I hired myself out here yesterday,"" said the king's son. ""May God be
your aid, for it is a fine service you have chosen!"" said she. ""O, the
master is very friendly,"" said the king's son. ""He has given me no hard
work to do to-day. When I have cleaned out the stable, I need do nothing
more."" ""Yes, but how are you going to manage it?"" she went on. ""If you
do as the others have done, then for every shovelful you pitch out, ten
fresh shovelfuls will fly in. But I'll tell you how to go about it. You
must turn around the shovel, and work with the handle, then everything
will fly out by itself."""
4,"This he would do, said the king's son. He sat there with her all day
long, for they had soon agreed that they would marry, he and the king's
daughter, and in this way his first day in the giant's service did not
weary him at all. When evening came on, she told him that now he must
clean out the stable before the giant came. When he got there he
thought he would try out her advice, and began to use the shovel as he
had seen his father's grooms use it. And sure enough, he had to stop
quickly. After he had worked a little while, he hardly had room in
which to stand. Then he did as the king's daughter had told him, turned
the shovel around and used the handle. And in a wink the stable was as
clean as though it had been scrubbed. When he had finished he went
to the room that the giant had assigned him, and walked up and down,
whistling and singing. Then the giant came home with his goats. ""Have
you cleaned out the stable?"" he asked. ""Yes, indeed, master, it is
spick and span,"" said the king's son. ""I'll have to see that,"" said the
giant, and went into the stable. It was just as the king's son had
said. ""You surely have been talking to the Master Girl, for you could
not have done that alone,"" said the giant. ""Master Girl? What is a
Master Girl?"" said the king's son, and pretended to be very stupid. ""I'd
like to see her, too."" ""You will see her in plenty of time,"" said the
giant."
5,"The next morning the giant went off again with his goats. And he told
the king's son he was to fetch his horse from the pasture, and when he
had done this, he might rest: ""For you have come to a kind master,"" said
he. ""But if you enter one of the rooms which I forbade you entering
yesterday, I will tear off your head,"" he said, and went away with his
herd. ""Indeed, you are a kind master,"" said the king's son, ""but in
spite of it I'd like to have another little talk with the Master Girl,
for she is just as much mine as yours,"" and with that he went in to her.
She asked him what work he had to do that day. ""O, it is not so bad
to-day,"" said the king's son. ""I am only to fetch his horse from the
pasture."" ""And how are you going to manage that?"" asked the Master Girl.
""Surely it is no great feat to fetch a horse from pasture,"" said the
king's son, ""and I have ridden swift horses before."" ""Yet it is not an
easy matter to ride this horse home,"" said the Master Girl, ""but I will
tell you how to set about it. When you see the horse, he will come
running up, breathing fire and flame, just as though he were a burning
pine-torch. Then you must take the bit that is hanging here on the door,
and throw it into his mouth. Then he will grow so tame that you can
do what you will with him."" He would take good note of it, said the
king's son. He sat there with the Master Girl the whole day long. They chatted and talked about this and that, but mainly about how
delightful it would be, and what a pleasant time they could have, if
they could only marry and get away from the giant. And the king's son
would have forgotten the pasture and the horse altogether, had not the
Master Girl reminded him of them toward evening. He took the bit that
hung in the corner, hurried out to the pasture, and the horse at once
ran up, breathing fire and flame. He seized the moment when he came
running up to him with his jaws wide open, and threw the bit into his
mouth. Then he stood still, as gentle as a young lamb, and he had no
trouble bringing him to the stable. Then he went to his room again, and
began to whistle and sing."
6,"In the evening the giant came home with his goats. ""Did you fetch the horse?"" he asked. ""Yes, master,"" said the king's son. ""It would make a fine saddle-horse, but I just took it straight to the stable."" ""I'll have to see that,"" said the giant, and
went into the stable. But there stood the horse, just as the king's son
had said. ""You surely must have spoken to my Master Girl, for you
could not have done that alone,"" said the giant. ""Yesterday the master
chattered about the Master Girl, and to-day he is talking about her
again. I wish master would show me the creature, for I surely would like
to see her,"" said the king's son, and pretended to be very simple and
stupid. ""You will get to see her in plenty of time,"" said the giant."
7,"On the third morning the giant went off again with his goats. ""To-day
you must go to the devil, and fetch me his tribute,"" said he to the
king's son. ""When you have done that, you may rest for the remainder of
the time, for you have come to a kind master, and you might as well know
it,"" and with that he went off. ""You may be a kind master,"" said the
king's son. ""Yet you hand over some pretty mean jobs to me in spite of
it, but I think I'll look after your Master Girl a bit. You claim that
she belongs to you, but perhaps, in spite of it, she may tell me what to
do,"" and with that he went in to her. And when the Master Girl asked him
what the giant had given him to do that day, he told her he must go to
the devil and fetch a tribute. ""But how will you go about it?"" asked the
Master Girl. ""You will have to tell me that,"" said the king's son, ""for
I have never been to the devil's place. Even though I knew the way
there, I still would not know how much to ask for."" ""I will tell you
what you must do,"" said the Master Girl. ""You must go to the rock behind
the pasture, and take the club that is lying there, and strike the rock
with it. Then one will come out whose eyes flash fire, and you must tell
him your business. And if he asks how much you want, you must tell him
as much as you can carry."""
8,"He would take good note of it, said the king's son, and he sat there with the Master Girl all day long until evening. He might be sitting there yet, if the Master Girl had not reminded him that he must still go to the devil about the tribute before
the giant came home. So he set out, and did exactly as the Master Girl
had told him: he went to the rock, took the club and beat against it.
Then one came out from whose eyes and nose the sparks flew. ""What do you want?"" he asked. ""The giant has sent me to fetch his tribute,"" said the king's son. ""How much do you want?"" the other again inquired. ""I never ask for more than I can carry,"" was the reply of the king's son. ""It is lucky for you that you did not ask for a whole ton at once,"" said the one on the hill. ""But come in with me, and wait a while."" This the king's son did, and saw a great deal of gold and silver lying in the hill like dead rock in an ore-pile. Then as much as he could carry was packed up, and with it he went his way. When the giant came home in the evening with his goats, the king's son was running about the room, whistling and singing as on the two preceding evenings. ""Did you go to the devil for the tribute?"" asked the giant. ""Yes, indeed, master,"" said the king's son. ""Where did you put it?"" asked the giant again. ""I stood the sack of gold outside on the bench,"" was the reply. ""I must see that at once,"" said the giant, and went over to the bench. But the sack was really standing there, and it was so full that the gold and silver rolled right out when the giant loosened the string. ""You surely must have spoken to my Master Girl,"" said the giant. ""If that is the case I will tear your head off."" ""With your Master Girl?"" said the king's
son. ""Yesterday master talked about that Master Girl, and to-day he is
talking about her again, and the day before yesterday he talked about
her, too! I only wish that I might get the chance to see her sometime!""
said he. ""Well, just wait until to-morrow,"" said the giant, ""and then I
will lead you to her myself,"" he said. ""A thousand thanks, master,"" said
the king's son, ""but I think you are only joking!"" The following day the
giant took him to the Master Girl."
9,"""Now you must slaughter him, and cook him in the big kettle, you know which one I mean. And when the soup is ready, you can call me,"" said the giant. He lay down on the bench to sleep, and at once began to snore so that the hills shook. Then the Master Girl took a knife, and cut the youth's little finger, and let three drops of blood fall on the bench.
Then she took all the old rags, and old shoes and other rubbish she
could find, and threw them all into the kettle. And then she took a
chest of gold-dust, and a lick-stone, and a bottle of water that hung
over the door, and a golden apple, and two golden hens. She left the
giant's castle together with the king's son as quickly as possible.
After a time they came to the sea, and they sailed across. Though where they got the ship, I do not exactly know."
10,"Now when the giant had been sleeping quite a while, he began to stretch himself on his bench. ""Is dinner ready yet?"" he asked. ""Just begun!""said the first drop of blood on the bench. Then the giant turned
around, went to sleep again, and went on sleeping for quite some time.
Then he again turned around a little. ""Is dinner not ready yet?"" he
said, but did not open his eyes--nor had he done so the first time--for
he was still half asleep. ""It is half ready!"" called out the second drop
of blood, and then the giant thought it was the Master Girl. He turned
around on the bench and took another nap. After he had slept a couple of hours longer, he once more began to move about and stretch: ""Is dinner still not ready?"" said he. ""Ready!"" answered the third drop of blood. The giant sat up and rubbed his eyes. But he could not see who had called him, and so he called out to the Master Girl. But no one answered him. ""O, I suppose she has gone out for a little,"" thought the giant, and he dipped his spoon in the kettle to try the dinner. But there was nothing but leather soles and rags and like rubbish cooked together, and he did not know whether it were mush or porridge. When he noticed this he began to see a light, and realize how matters had come to pass. He grew so angry that he hardly knew what to do, and made after the king's son and the Master Girl in flying haste."
