section,text
1,"There was a man in it long ago, and long ago it was, and if he was in it
then he would not be in it now. He was married, and his wife was lost
(i.e., died), and he had only one son by the first wife. Then he married
the second wife. This second wife had not much regard for the son, and
he was obliged to go out on the mountain, far from the house, to take
care of the cattle.

There was a bracket (speckled) bull amongst the cows out on the
mountain, and of a day that there was great hunger on the lad, the
bracket bull heard him complaining and wringing his two hands. He
moved over to him and said to him, ""You are hungry, but take the horn
off me and lay it on the ground. Put your hand into the place where the
horn was and you will find food.""

When he heard that he went over to the bull, took hold of the horn,
twisted it, and it came away with him in his hand. He laid it on the
ground, put in his hand, and drew out food and drink and a table-cloth.
He spread the table-cloth on the ground, set the food and drink on it,
and then he ate and drank his enough. When he had his enough eaten and
drunk, he put the table-cloth back again, and left the horn back in the
place where it was before."
2,"When he came home that evening he did not eat a bit of his supper, and
his stepmother said to herself that he (must have) got something to eat
out on the mountain since he was not eating any of his supper.

When he went out with his cattle the next day his stepmother sent her
own daughter out after him, and told her to be watching him till she
should see where he was getting the food. The daughter went and put
herself in hiding, and she was watching him until the heat of the day
came. But when the middle of the day was come she heard every music more
excellent than another, and she was put to sleep by that truly melodious
music. The bull came then, and the lad twisted the horn off him and drew
out the table-cloth, the food, and the drink, and ate and drunk his
enough. He put back the horn again then. The music was stopped and the
daughter woke up, and was watching him until the evening came, and he
drove the cows home then. The mother asked her did she see anything in
the field, and she said that she did not. The lad did not eat two bites
of his supper, and there was wonder on the stepmother.

The next day when he drove out the cows the stepmother told the second
daughter to follow him, and to be watching him till she would see where
he was getting things to eat. The daughter followed him and put herself
in hiding, but when the heat of the day came the music began and she
fell asleep. The lad took the horn off the bull, drew out the
table-cloth, the food, and drink, ate and drank his enough, and put back
the horn again. The girl woke then, and was watching him until the
evening. When the evening came he drove the cows home, and he was not
able to eat his supper any more than the two evenings before. The
stepmother asked the daughter did she see anything, and she said she did
not. There was wonder on the stepmother."
3,"The next day, when the lad went out herding the cows, the stepmother
sent the third daughter out after him, and threatened her not to fall
asleep, but to have a good watch. The daughter followed the lad, and
went into hiding. This daughter had three eyes, for she had an eye in
the back of her head. When the bracket bull began playing every music
more excellent than another, he put the other eyes to sleep, but he was
not able to put the third eye to sleep. When the heat of the day came
she saw the bracket bull coming to the boy, and the boy taking the horn
off him and eating.

She ran home then, and said to her mother that there wasn't such a
dinner in the world as was being set before the boy out of the horn of
the bracket bull.

Then the mother let on that she was sick, and she killed a cock, and she
let down its blood into her bed. She put up a sup of the blood into
her mouth, and she sent for her husband, saying that she was finding
death (dying). Her husband came in, and he saw the blood, and he said,
""Anything that is in the world that would save her that she must get
it."" She said that there wasn't a thing in the world that would save her
but a piece of the bracket bull that was on the mountain.

""You must get that,"" said he."
4,"The bracket bull used to be the first one of the cattle that used to
come in every night, and the stepmother sent for two butchers, and she
set them on each side of the gate to kill the bracket bull when he would
come.

The bracket bull said to the boy, ""I'll be swept (done for) to-night,
unless another cow goes before me."" He put another cow out before him,
and the two butchers were standing on each side of the gate to kill the
first one that would come in. The bull sent the cow out before him,
going through the gate, and they killed her. Then the stepmother got
a piece of her to eat, and she thought that it was the bracket bull that
she was eating, and she got better then.

The next night, when the lad came home with the cattle, he ate no more
of his supper than any other night, and there was wonder on the
stepmother. She heard after this that the bracket bull was in it (i.e.,
alive) all through, and that he was not killed at that time.

When she heard that she killed a cock, and she let down some of its
blood into her bed. She put a sup of the blood into her mouth, and
she played the same trick over again, and said that there was nothing
at all to cure her but a piece of the bracket bull."
5,"The butchers were sent for, and they were ready to kill the bracket bull
as soon as he came in. The bracket bull sent another one of the cattle
in before himself, and the butchers killed it. The woman got part of its
flesh, and she thought it was part of the bracket bull she was eating,
and she got better.

She found out afterwards that it was not the bracket bull that was dead,
and she said, ""Never mind; I'll kill the bracket bull yet!""

The next day, when the lad was herding the cows on the mountain, the
bracket bull came and said to him, ""Take the horn off me and eat your
enough now. That's the last time for you. They are waiting to kill me
to-night, but don't you be afraid. It is not they who shall kill me, but
another bull shall kill me. Get up on my back now.""

The lad got up on his back then and they went home. The two butchers
were on each side of the gate waiting for him. The bracket bull struck a
horn on each side of him, and he killed the two butchers. Out with him
then, and the lad on his back.

He went into a wild wood, and he himself and the lad spent the night in
that wood. He was to fight with the other bull on the next day."
6,"When the day came, the bracket bull said, ""Take the horn off me and eat
your enough--that's the last luck you have. I am to fight with the other
bull immediately, and I shall escape from him to-day, but he will have
me dead to-morrow by twelve o'clock.""

Himself and the other bull fought that day, and the bracket bull came
back in the evening, and he himself and the lad passed that night in the
wood.

When the next day came, the bracket bull said to him, ""Twist the horn
off me and eat your enough--that's the last luck you'll have. Listen now
to the thing that I'm telling you. When you'll see me dead, go and cut a
strip of skin of the back and a strip of the stomach off me, and make a
belt of it, and at any time at all there will be any hard pinch on you,
you shall have my power.""

The bracket bull went then to fight with the other bull, and the other
bull killed him. The other bull went away then. The lad came to the
bracket bull where he was lying on the ground, and he was not dead,
out-and-out. When he saw the boy coming he said, ""Oh,"" said he, ""make
haste as well as you can in the world, and take out your knife and cut
that strip off me, or you will be killed as well as myself."""
7,"There was a trembling in the poor creature's hand, and he was not able
to cut a piece at all off the bull, after his feeding him for so long,
and after the kindness he had got from him.

The bracket bull spoke again, and told him to cut the strip off him on
the instant, and that it would assist him as long as he would be alive.
He cut a strip off the back then, and another strip off the belly, and
he went away.

There was plenty of trouble and of grief on him, going of him, and he
ought to have that on him too, and he departing without any knowledge of
where he was making for, or where he would go.

A gentleman met him on the road, and asked him where he was going. The
lad said that he did not himself know where he was going, but that he
was going looking for work.

""What are you able to do?"" says the gentleman.

""I'm as good a herd as ever you saw, but I'll not tell you a lie--I can
do nothing but herding; but, indeed, I'll do that as well as any man
that ever you saw.""

""It's you I want,"" says the gentleman. ""There are three giants up by my
land, on the one mearing with me, and anything that will go in on their
land they will keep it, and I cannot take it off them again. That's all
they're asking--my cattle to go in across the mearing to them.""

""Never mind them. I'll go bail that I'll take good heed of them, and
that I'll not let anything in to them."""
8,"The gentleman brought him home then, and he went herding for him. When
the grass was getting scarce, he was driving the cows further out. There
was a big stone wall between the land of the giants and his master's
land. There was fine grass on the other side of the wall. When he saw
that, he threw down a gap in the wall and let in the pigs and the cows.
He went up into a tree then, and was throwing down apples and all sorts
(of fruit) to the pigs.

A giant came out, and when he saw the lad up on the tree throwing down
the apples to the pigs, the head rose on him (i.e., he got furious). He
came to the tree. ""Get down out of that,"" says he. ""I think you big for
one bite and small for two bites; come down till I draw you under my
long cold teeth.""

""Arrah, take yourself easy,"" says the boy; ""perhaps it's too quick I'd
come down to you.""

""I won't be talking to you any longer,"" says the giant. He got a
leverage on the tree and drew it up out of the roots.

""Go down, black thong, and squeeze that fellow,"" says the lad, for he
remembered the advice of the bracket bull. On the instant the black
thong leaped out of his hand, and squeezed the giant so hard that the
two eyes were going out on his head, for stronger was the power of the
bull than the power of the giant. The giant was not able to put a stir
out of himself, and he promised anything at all--only to save his life
for him. ""Anything at all you want,"" says he to the lad, ""you must get
it from me."""
9,"""I'm not asking anything at all except the loan of the sword that's
under your bed,"" says he.

""I give it to you, and welcome,"" says the giant. He went in, and brought
out the sword with him.

""Try it on the three biggest trees that are in the wood, and you won't
feel it in your hand going through them,"" says the giant.

""I don't see any tree in the wood bigger or uglier than yourself,"" says
he, drawing the sword and whipping the head off him, so that he sent it
seven furrows and seven ridges with that stroke.

""If I were to get on the body again,"" said the head, and it talking,
""and the men of the world wouldn't get me off the trunk again.""

""I'll take good care myself of that,"" says the lad.

When he drove the cows home in the evening, they had that much milk that
they had not half enough of vessels, and two coopers were obliged to
make new vessels to hold the quantity of milk they had.

""You're the best lad that ever I met,"" says the gentleman, and he was
thankful to him."
10,"The giants used to put--each man of them--a shout of him every evening.
The people only heard two shouts that evening. ""There's some change in
the caher[2] to-night,"" said the gentleman, when he heard the two
shouts.

""Oh,"" says the lad, ""I saw one of them going away by himself to-day, and
he did not come home yet.""

On the next day the lad drove out his cattle until he came to the big
stone wall, and he threw a gap in it, and let the cattle into the same
place. He went up into a tree and began throwing down the apples. The
second giant came running, and said, ""What's the meaning of throwing my
wall and letting in your cattle on my estate? Get down out of that at
once. You killed my brother yesterday.""

""Go down, black thong, and bind that one,"" says the lad. The thong
squeezed him so that he was not able to put a stir out of himself, and
he promised the lad anything at all--only to spare his life.

""I am asking nothing of you but the loan of the old sword that is under
your bed.""

""I'll give you that, and welcome."" He went in, and brought out the sword
with him. Each man of them had a sword, and every sword better than
another.

""Try that sword on the six biggest trees that are in the wood, and it
will go through them without turning the edge."""
