section,text
1,"There is a lone moor in Scotland, which, in times past, was said to be
haunted by an Elfin Knight. This Knight was only seen at rare intervals,
once in every seven years or so, but the fear of him lay on all the
country round, for every now and then someone would set out to cross the
moor and would never be heard of again.

And although men might search every inch of the ground, no trace of him
would be found, and with a thrill of horror the searching party would go
home again, shaking their heads and whispering to one another that he
had fallen into the hands of the dreaded Knight.

So, as a rule, the moor was deserted, for nobody dare pass that way,
much less live there; and by and by it became the haunt of all sorts of
wild animals, which made their lairs there, as they found that they
never were disturbed by mortal huntsmen.

Now in that same region lived two young earls, Earl St. Clair and Earl
Gregory, who were such friends that they rode, and hunted, and fought
together, if need be."
2,"And as they were both very fond of the chase, Earl Gregory suggested one
day that they should go a-hunting on the haunted moor, in spite of the
Elfin King.

""Certes, I hardly believe in him at all,"" cried the young man, with a
laugh. ""Methinks it is but an old wife's tale to frighten the bairns
withal, lest they go straying amongst the heather and lose themselves.
And it is pity that such fine sport should be lost because we--two
bearded men--pay heed to such gossip.""

But Earl St. Clair looked grave. ""It is ill meddling with unchancy
things,"" he answered, ""and it is no bairn's tale that travellers have set
out to cross that moor who have vanished bodily, and never mair been
heard of; but it is, as thou sayest, a pity that so much good sport be
lost, all because an Elfin Knight choosest to claim the land as his, and
make us mortals pay toll for the privilege of planting a foot upon it."
3,"""I have heard tell, however, that one is safe from any power that the
Knight may have if one wearest the Sign of the Blessed Trinity. So let
us bind That on our arm and ride forth without fear.""

Sir Gregory burst into a loud laugh at these words. ""Dost thou think
that I am one of the bairns,"" he said, ""first to be frightened by an
idle tale, and then to think that a leaf of clover will protect me? No,
no, carry that Sign if thou wilt; I will trust to my good bow and
arrow.""

But Earl St. Clair did not heed his companion's words, for he remembered
how his mother had told him, when he was a little lad at her knee that
whoso carried the Sign of the Blessed Trinity need never fear any spell
that might be thrown over him by Warlock or Witch, Elf or Demon.

So he went out to the meadow and plucked a leaf of clover, which he
bound on his arm with a silken scarf; then he mounted his horse and rode
with Earl Gregory to the desolate and lonely moorland."
4,"For some hours all went well; and in the heat of the chase the young men
forgot their fears. Then suddenly both of them reined in their steeds
and sat gazing in front of them with affrighted faces.

For a horseman had crossed their track, and they both would fain have
known who he was and whence he came.

""By my troth, but he rideth in haste, whoever he may be,"" said Earl
Gregory at last, ""and though I always thought that no steed on earth could
match mine for swiftness, I reckon that for every league that mine
goeth, his would go seven. Let us follow him, and see from what part of
the world he cometh.""

""The Lord forbid that thou shouldst stir thy horse's feet to follow
him,"" said Earl St. Clair devoutly. ""Why, man, it is the Elfin Knight!
Canst thou not see that he doth not ride on the solid ground, but flieth
through the air, and that, although he rideth on what seemeth a mortal
steed, he is really craried by mighty pinions, which cleave the air like
those of a bird? Follow him forsooth! It will be an evil day for thee
when thou seekest to do that."""
5,"But Earl St. Clair forgot that he carried a Talisman which his companion
lacked, that enabled him to see things as they really were, while the
other's eyes were holden, and he was startled and amazed when Earl
Gregory said sharply, ""Thy mind hath gone mad over this Elfin King. I
tell thee he who passed was a goodly Knight, clad in a green vesture,
and riding on a great black jennet. And because I love a gallant
horseman, and would fain learn his name and degree, I will follow him
till I find him, even if it be at the world's end.""

And without another word he put spurs to his horse and galloped off in
the direction which the mysterious stranger had taken, leaving Earl St.
Clair alone upon the moorland, his fingers touching the sacred Sign and
his trembling lips muttering prayers for protection.

For he knew that his friend had been bewitched, and he made up his mind,
brave gentleman that he was, that he would follow him to the world's
end, if need be, and try to deliver him from the spell that had been
cast over him."
6,"Meanwhile Earl Gregory rode on and on, ever following in the wake of the
Knight in green, over moor, and burn, and moss, till he came to the
most desolate region that he had ever been in in his life; where the
wind blew cold, as if from snow-fields, and where the hoar-frost lay
thick and white on the withered grass at his feet.

And there, in front of him, was a sight from which mortal man might well
shrink back in awe and dread. For he saw an enormous Ring marked out on
the ground, inside of which the grass, instead of being withered and
frozen, was lush, and rank, and green, where hundreds of shadowy Elfin
figures were dancing, clad in loose transparent robes of dull blue,
which seemed to curl and twist round their wearers like snaky wreaths of
smoke.

These weird Goblins were shouting and singing as they danced, and waving
their arms above their heads, and throwing themselves about on the
ground, for all the world as if they had gone mad; and when they saw
Earl Gregory halt on his horse just outside the Ring they beckoned to
him with their skinny fingers."
7,"""Come hither, come hither,"" they shouted; ""come tread a measure with us,
and afterwards we will drink to thee out of our Monarch's loving cup.""

And, strange as it may seem, the spell that had been cast over the young
Earl was so powerful that, in spite of his fear, he felt that he must
obey the eldrich summons, and he threw his bridle on his horse's neck
and prepared to join them.

But just then an old and grizzled Goblin stepped out from among his
companions and approached him.

Apparently he dare not leave the charmed Circle, for he stopped at the
edge of it; then, stooping down and pretending to pick up something, he
whispered in a hoarse whisper:

""I know not whom thou art, nor from whence thou comest, Sir Knight, but
if thou lovest thy life, see to it that thou comest not within this
Ring, nor joinest with us in our feast. Else wilt thou be for ever
undone."""
8,"But Earl Gregory only laughed. ""I vowed that I would follow the Green
Knight,"" he replied, ""and I will carry out my vow, even if the venture
leadeth me close to the nethermost world.""

And with these words he stepped over the edge of the Circle, right in
amongst the ghostly dancers.

At his coming they shouted louder than ever, and danced more madly, and
sang more lustily; then, all at once, a silence fell upon them, and they
parted into two companies, leaving a way through their midst, up which
they signed to the Earl to pass.

He walked through their ranks till he came to the middle of the Circle;
and there, seated at a table of red marble, was the Knight whom he had
come so far to seek, clad in his grass-green robes. And before him, on
the table, stood a wondrous goblet, fashioned from an emerald, and set
round the rim with blood-red rubies."
9,"And this cup was filled with heather ale, which foamed up over the brim;
and when the Knight saw Sir Gregory, he lifted it from the table, and
handed it to him with a stately bow, and Sir Gregory, being very
thirsty, drank.

And as he drank he noticed that the ale in the goblet never grew less,
but ever foamed up to the edge; and for the first time his heart misgave
him, and he wished that he had never set out on this strange adventure.

But, alas! the time for regrets had passed, for already a strange
numbness was stealing over his limbs, and a chill pallor was creeping
over his face, and before he could utter a single cry for help the
goblet dropped from his nerveless fingers, and he fell down before the
Elfin King like a dead man.

Then a great shout of triumph went up from all the company; for if there
was one thing which filled their hearts with joy, it was to entice some
unwary mortal into their Ring and throw their uncanny spell over him, so
that he must needs spend long years in their company."
10,"But soon their shouts of triumphs began to die away, and they muttered
and whispered to each other with looks of something like fear on their
faces.

For their keen ears heard a sound which filled their hearts with dread.
It was the sound of human footsteps, which were so free and untrammelled
that they knew at once that the stranger, whoever he was, was as yet
untouched by any charm. And if this were so he might work them ill, and
rescue their captive from them.

And what they dreaded was true; for it was the brave Earl St. Clair who
approached, fearless and strong because of the Holy Sign he bore.

And as soon as he saw the charmed Ring and the eldrich dancers, he was
about to step over its magic border, when the little grizzled Goblin who
had whispered to Earl Gregory, came and whispered to him also."
