section,text
1,"An old couple once lived in a hut under a grove of palm trees, and they
had one son and one daughter. They were all very happy together for many
years, and then the father became very ill, and felt he was going to
die. He called his children to the place where he lay on the floor--for
no one had any beds in that country--and said to his son, 'I have
no herds of cattle to leave you--only the few things there are in the
house--for I am a poor man, as you know. But choose: will you have my
blessing or my property?'

'Your property, certainly,' answered the son, and his father nodded.

'And you?' asked the old man of the girl, who stood by her brother.

'I will have blessing,' she answered, and her father gave her much
blessing."
2,"That night he died, and his wife and son and daughter mourned for him
seven days, and gave him a burial according to the custom of his people.
But hardly was the time of mourning over, than the mother was attacked
by a disease which was common in that country.

'I am going away from you,' she said to her children, in a faint voice;
'but first, my son, choose which you will have: blessing or property.'

'Property, certainly,' answered the son.

'And you, my daughter?'

'I will have blessing,' said the girl; and her mother gave her much
blessing, and that night she died."
3,"When the days of mourning were ended, the brother bade his sister put
outside the hut all that belonged to his father and his mother. So the
girl put them out, and he took them away, save only a small pot and a
vessel in which she could clean her corn. But she had no corn to clean.

She sat at home, sad and hungry, when a neighbour knocked at the door.

'My pot has cracked in the fire, lend me yours to cook my supper in, and
I will give you a handful of corn in return.'

And the girl was glad, and that night she was able to have supper
herself, and next day another woman borrowed her pot, and then another
and another, for never were known so many accidents as befell the
village pots at that time. She soon grew quite fat with all the corn she
earned with the help of her pot, and then one evening she picked up a
pumpkin seed in a corner, and planted it near her well, and it sprang
up, and gave her many pumpkins."
4,"At last it happened that a youth from her village passed through the
place where the girl's brother was, and the two met and talked.

'What news is there of my sister?' asked the young man, with whom things
had gone badly, for he was idle.

'She is fat and well-liking,' replied the youth, 'for the women borrow
her mortar to clean their corn, and borrow her pot to cook it in, and
for al this they give her more food than she can eat.' And he went his
way."
5,"Now the brother was filled with envy at the words of the man, and he set
out at once, and before dawn he had reached the hut, and saw the pot and
the mortar were standing outside. He slung them over his shoulders and
departed, pleased with his own cleverness; but when his sister awoke
and sought for the pot to cook her corn for breakfast, she could find it
nowhere. At length she said to herself,

'Well, some thief must have stolen them while I slept. I will go and see
if any of my pumpkins are ripe.' And indeed they were, and so many that
the tree was almost broken by the weight of them. So she ate what she
wanted and took the others to the village, and gave them in exchange for
corn, and the women said that no pumpkins were as sweet as these, and
that she was to bring every day all that she had. In this way she earned
more than she needed for herself, and soon was able to get another
mortar and cooking pot in exchange for her corn. Then she thought she
was quite rich."
6,"Unluckily someone else thought so too, and this was her brother's wife,
who had heard all about the pumpkin tree, and sent her slave with a
handful of grain to buy her a pumpkin. At first the girl told him that
so few were left that she could not spare any; but when she found that
he belonged to her brother, she changed her mind, and went out to the
tree and gathered the largest and the ripest that was there.

'Take this one,' she said to the slave, 'and carry it back to your
mistress, but tell her to keep the corn, as the pumpkin is a gift.'

The brother's wife was overjoyed at the sight of the fruit, and when she
tasted it, she declared it was the nicest she had ever eaten. Indeed,
all night she thought of nothing else, and early in the morning she
called another slave (for she was a rich woman) and bade him go and ask
for another pumpkin. But the girl, who had just been out to look at her
tree, told him that they were all eaten, so he went back empty-handed to
his mistress."
7,"In the evening her husband returned from hunting a long way off, and
found his wife in tears.

'What is the matter?' asked he.

'I sent a slave with some grain to your sister to buy some pumpkins, but
she would not sell me any, and told me there were none, though I know
she lets other people buy them.'

'Well, never mind now--go to sleep,' said he, 'and to-morrow I will go
and pull up the pumpkin tree, and that will punish her for treating you
so badly.'

So before sunrise he got up and set out for his sister's house, and
found her cleaning some corn."
8,"'Why did you refuse to sell my wife a pumpkin yesterday when she wanted
one?' he asked.

'The old ones are finished, and the new ones are not yet come,' answered
the girl. 'When her slave arrived two days ago, there were only four
left; but I gave him one, and would take no corn for it.'

'I do not believe you; you have sold them all to other people. I shall
go and cut down the pumpkin,' cried her brother in a rage.

'If you cut down the pumpkin you shall cut off my hand with it,'
exclaimed the girl, running up to her tree and catching hold of it. But
her brother followed, and with one blow cut off the pumpkin and her hand
too.

Then he went into the house and took away everything he could find, and
sold the house to a friend of his who had long wished to have it, and
his sister had no home to go to.

Meanwhile she had bathed her arm carefully, and bound on it some healing
leaves that grew near by, and wrapped a cloth round the leaves, and went
to hide in the forest, that her brother might not find her again."
9,"For seven days she wandered about, eating only the fruit that hung from
the trees above her, and every night she climbed up and tucked herself
safely among the creepers which bound together the big branches, so that
neither lions nor tigers nor panthers might get at her.

When she woke up on the seventh morning she saw from her perch smoke
coming up from a little town on the edge of the forest. The sight of
the huts made her feel more lonely and helpless than before. She longed
desperately for a draught of milk from a gourd, for there were no
streams in that part, and she was very thirsty, but how was she to earn
anything with only one hand? And at this thought her courage failed, and
she began to cry bitterly.

It happened that the king's son had come out from the town very early to
shoot birds, and when the sun grew hot he left tired."
10,"'I will lie here and rest under this tree,' he said to his attendants.
'You can go and shoot instead, and I will just have this slave to stay
with me!' Away they went, and the young man fell asleep, and slept long.
Suddenly he was awakened by something wet and salt falling on his face.

'What is that? Is it raining?' he said to his slave. 'Go and look.'

'No, master, it is not raining,' answered the slave.

'Then climb up the tree and see what it is,' and the slave climbed up,
and came back and told his master that a beautiful girl was sitting up
there, and that it must have been her tears which had fallen on the face
of the king's son.

'Why was she crying?' inquired the prince.

'I cannot tell--I did not dare to ask her; but perhaps she would tell
you.' And the master, greatly wondering, climbed up the tree."
