section,text
1,"Once upon a time there was a king, who reigned over a great kingdom. He had a queen, but only a single daughter, a girl. In consequence the little girl was the apple of her parents' eyes. They loved her above everything else in the world, and their dearest thought was the pleasure they would take in her when she was older. But the unexpected often happens. Before the king's daughter began to grow up, the queen her mother fell ill and died. It is not hard to imagine the grief that reigned, not alone in the royal castle, but throughout the land; for the queen had been beloved of all. The king grieved so that he would not marry again, and his one joy was the little princess."
2,"A long time passed, and with each succeeding day the king's daughter grew taller and more beautiful, and her father granted her every wish. Now there were a number of women who had nothing to do but wait on the princess and carry out her commands. Among them was a woman who had formerly married and had two daughters. She had an engaging appearance, a smooth tongue and a winning way of talking, and she was as soft and pliable as silk; but at heart she was full of machinations and falseness. Now when the queen died, she at once began to plan how she might marry the king, so that her daughters might be kept like royal princesses. With this end in view, she drew the young princess to her. She paid her the most fulsome compliments on everything she said and did, and was forever bringing the conversation around to how happy she would be were the king to take another wife."
3,"There was much said on this head, early and late, and before very long the princess came to believe that the woman knew all there was to know about everything. So she asked her what sort of a woman the king ought to choose for a wife. The woman answered as sweet as honey: ""It is not my affair to give advice in this matter; yet he should choose for queen some one who is kind to the little princess. For one thing I know, and that is, were I fortunate enough to be chosen, my one thought would be to do all I could for the little princess, and if she wished to wash her hands, one of my daughters would have to hold the wash-bowl and the other hand her the towel."" This and much more she told the king's daughter, and the princess believed it, as children will."
4,"From that day forward the princess gave her father no peace, and begged him again and again to marry the good court lady. Yet he did not want to marry her. But the king's daughter gave him no rest. She urged him again and again, as the false court lady had persuaded her to do. Finally, one day, when she again brought up the matter, the king cried: ""I can see you will end by having your own way about this, even though it be entirely against my will. But I will do so only on one condition."" ""What is the condition?"" asked the princess. ""If I marry again,"" said the king, ""it is only because of your ceaseless pleading. Therefore you must promise that, if in the future you are not satisfied with your step-mother or your step-sisters, not a single lament or complaint on your part reaches my ears."" This she promised the king, and it was agreed that he should marry the court lady and make her queen of the whole country."
5,"As time passed on, the king's daughter had grown to be the most beautiful maiden to be found far and wide. The queen's daughters, on the other hand, were homely, evil of disposition, and no one knew any good of them. Hence it was not surprising that many youths came from East and West to sue for the princess's hand; but that none of them took any interest in the queen's daughters. This made the step-mother very angry;. She concealed her rage, and was as sweet and friendly as ever. Among the wooers was a king's son from another country. He was young and brave, and since he loved the princess dearly, she accepted his proposal and they plighted their troth. The queen observed this with an angry eye, for it would have pleased her had the prince chosen one of her own daughters. She therefor made up her mind that the young pair should never be happy together, and from that time on thought only of how she might part them from each other."
6,"An opportunity soon offered itself. News came that the enemy had entered the land, and the king was compelled to go to war. Now the princess began to find out the kind of step-mother she had. For no sooner had the king departed than the queen showed her true nature, and was just as harsh and unkind as she formerly had pretended to be friendly and obliging. Not a day went by without her scolding and threatening the princess and the queen's daughters were every bit as malicious as their mother. But the king's son, the lover of the princess, found himself in even worse position. He had gone hunting one day, had lost his way, and could not find his people. Then the queen used her black arts and turned him into a werewolf, to wander through the forest for the remainder of his life in that shape. When evening came and there was no sign of the prince, his people returned home, and one can imagine what sorrow they caused when the princess learned how the hunt had ended. She grieved, wept day and night, and was not to be consoled. But the queen laughed at her grief, and her heart was filled with joy to think that all had turned out exactly as she wished."
7,"Now it chanced one day, as the king's daughter was sitting alone in her room, that she thought she would go herself into the forest where the prince had disappeared. She went to her step-mother and begged permission to go out into the forest, in order to forget her surpassing grief. The queen did not want to grant her request, for she always preferred saying no to yes. But the princess begged her so winningly that at last she was unable to say no, and she ordered one of her daughters to go along with her and watch her. That caused a great deal of discussion, for neither of the step-daughters wanted to go with her. Each made all sorts of excuses, and asked what pleasures were there in going with the king's daughter, who did nothing but cry. But the queen had the last word in the end, and ordered that one of her daughters must accompany the princess, even though it be against her will. So the girls wandered out of the castle into the forest. The king's daughter walked among the trees, and listened to the song of the birds, and thought of her lover, for whom she longed, and who was now no longer there. And the queen's daughter followed her, vexed, in her malice, with the king's daughter and her sorrow."
8,"After they had walked a while, they came to a little hut, lying deep in the dark forest. By then the king's daughter was very thirsty, and wanted to go into the little hut with her step-sister, in order to get a drink of water. But the queen's daughter was much annoyed and said: ""Is it not enough for me to be running around here in the wilderness with you? Now you even want me, who am a princess, to enter that wretched little hut. No, I will not step a foot over the threshold! If you want to go in, why go in alone!"" The king's daughter lost no time; but did as her step-sister advised, and stepped into the little hut. When she entered she saw an old woman sitting there on a bench, so enfeebled by age that her head shook."
9,"The princess spoke to her in her usual friendly way: ""Good evening, motherkin. May I ask you for a drink of water?"" ""You are heartily welcome to it,"" said the old woman. ""Who may you be, that step beneath my lowly roof and greet me in so winning a way?"" The king's daughter told her who she was, and that she had gone out to relieve her heart, in order to forget her great grief. ""And what may your great grief be?"" asked the old woman. ""No doubt it is my fate to grieve,"" said the princess, ""and I can never be happy again. I have lost my only love, and God alone knows whether I shall ever see him again."" And she also told her why it was, and the tears ran down her cheeks in streams, so that any one would have felt sorry for her. When she had ended the old woman said: ""You did well in confiding your sorrow to me. I have lived long and may be able to give you a bit of good advice. When you leave here you will see a lily growing from the ground. This lily is not like other lilies, however, but has many strange virtues. Run quickly over to it, and pick it. If you can do that then you need not worry, for then one will appear who will tell you what to do."" Then they parted and the king's daughter thanked her and went her way; while the old woman sat on the bench and wagged her head. But the queen's daughter had been standing without the hut the entire time, vexing herself, and grumbling because the king's daughter had taken so long."
10,"So when the latter stepped out, she had to listen to all sorts of abuse from her step-sister, as was to be expected. Yet she paid no attention to her, and thought only of how she might find the flower of which the old woman had spoken. They went through the forest, and suddenly she saw a beautiful white lily growing in their very path. She was much pleased and ran up at once to pick it; but that very moment it disappeared and reappeared somewhat further away."
