document_id,text
king-o-toole-and-st-kevin,"There was once a king, called King O'Toole, who was a fine old king in the old ancient times, long ago."
king-o-toole-and-st-kevin,It was him that owned the Churches in the early days.
king-o-toole-and-st-kevin,"""Surely,"" said I, ""the Churches were not in King O'Toole's time?"""
king-o-toole-and-st-kevin,"""Oh, by no means, your honor--truth, it's yourself that's right enough there. But you know the place is called 'The Churches' because they were built after by St. Kavin, and went by the name of the Churches ever more. Therefore, of course, the place bein' so called, I say that the King owned the Churches--and why not, sir, seein' it was his birthright, time out o' mind, beyond the flood? Well, the King (you see) was the right sort--he was the real boy, and loved sport as he loved his life, and huntin' in particular. From the risin' o' the sun up he got, and away he went over the mountains beyond after the deer: and the fine times them were. The deer was as plenty thin, aye truth, far more plentiful than the sheep is now. That's the way it was with the King, from the crow o' the cock to the song o' the redbreast.""       Well, it was all mighty good as long as the King had his health. But, you see, in coorse o' time, the King grew old, by reason he was stiff in his limbs, and when he got stricken in years, his heart failed him. He was lost entirely for want o' diversions, because he couldn't go a huntin' no longer. By dad, the poor King was obliged at last for to get a goose to distract him. You see, the goose used for to swim across the lake, and go down divin' for trout (and not finer trout in all Ireland than the same trout) and catch fish on a Friday for the King. If flew every other day round about the lake disctracting the poor King that you'd think he'd break his sides laughin' at the frolicksome tricks of his goose. So, in course o' time, the goose was the greatest pet in the country, and the biggest rogue, and distracted the King to no end. The poor King was as happy as the day was long. So that's the way it was. All went on mighty well until, by dad, the goose got stricken in years, as well as the King, and grew stiff in the limbs, like her master, and couldn't distract him no longer. Then it was that the poor King was lost completely, and didn't know what in the wide world to do. He was gone out of all distractions because the goose was no more in the flower of her blume. Well, the King was nigh broken-hearted and melancholy entirely, and was walkin' one mornin' by the edge of the lake, lamentin' his cruel fate, an' thinkin' o' drownin' himself, that could get no diversion in life, when all of a sudden, turnin' round the corner beyond, who should he meet but a mighty decent young man comin' up to him. 'God save you,' says the King (for the King was a civil-spoken gentleman, by all accounts), 'God save you,' says he to the young man. '"
king-o-toole-and-st-kevin,"God save you kindly,' says the young man to him back again. 'God save you, King O'Toole.' 'True for you,' says the King, 'I am King O'Toole,' says he. '"
king-o-toole-and-st-kevin,"Prince and plennypennytinchery o' these parts,' says he. '"
king-o-toole-and-st-kevin,But how came you to know that?' says he. '
king-o-toole-and-st-kevin,"Oh, never mind,' says Saint Kavin (for 'twas he that was in it)."
king-o-toole-and-st-kevin,"' And now, may I make bold to ask, how is your goose, King O'Toole?' says he. ' Blur-an-agers, how came you to know about my goose?' says the King. ' Oh, no mather. I was given to understand it,' says Saint Kavin."
king-o-toole-and-st-kevin,"' Oh, that's a folly to talk,' says the King, 'because myself and my goose is private friends,' says he, 'and no one could tell you,' says he, 'barrin' the fairies.'"
king-o-toole-and-st-kevin,"'Oh, then, it wasn't the fairies,' says Saint Kavin. ' For I'd have you know,' says he, 'that I don't keep the likes o' such company.'"
king-o-toole-and-st-kevin,"'You might do worse, then, my gay fellow,' says the King. ' For it's they could show you a crock o' money as easy as kiss hand. And that's not to be sneezed at,' says the King, 'by a poor man,' says he."
king-o-toole-and-st-kevin,"' Maybe I've a better way of making money myself,' says the saint."
king-o-toole-and-st-kevin,"' By gor,' says the King, 'barrin' you're a coiner,' says he, 'that's impossible!'"
king-o-toole-and-st-kevin,"'I'd scorn to be the like, my lord!'"
king-o-toole-and-st-kevin,"says Saint Kavin, mighty high, 'I'd scorn to be the like,' says he. ' Then, what are you?' says the King, 'that makes money so easy, by your own account.'"
king-o-toole-and-st-kevin,"'I'm an honest man,' says Saint Kavin."
king-o-toole-and-st-kevin,"'Well, honest man,' says the King, 'and how is it you make your money so easy?' ' By makin' old things as good as new,' says Saint Kavin."
king-o-toole-and-st-kevin,"'Is it a tinker you are?' says the King. ' No,' says the saint; 'I'm no tinker by trade, King O'Toole. I've a better thrade than a tinker,' says he."
king-o-toole-and-st-kevin,"'What would you say,' says he, 'if I made your old goose as good as new?' 'My dear, at the word o' making his goose as good as new, you'd think the poor old King's eyes was ready to jump out of his head.' ' And,' says he--'truth, then, I'd give you more money nor you could count,' says he, 'if you did the like, and I'd be beholden to you in the bargain.'"
king-o-toole-and-st-kevin,"'I scorn your dirty money,' says Saint Kavin."
king-o-toole-and-st-kevin,"' Faith, then, I'm thinkin' a trifle o' change would do you no harm,' says the King, lookin' up sly at the old hat that Saint Kavin had on him."
king-o-toole-and-st-kevin,"'I have a vow agin it,' says the saint."
