document_id,text
knos,"Once upon a time there was a poor widow, who found an egg under a pile of brush as she was gathering kindlings in the forest."
knos,"She took it and placed it under a goose, and when the goose had hatched it, a little boy slipped out of the shell."
knos,"The widow had him baptized Knos, and such a lad was a rarity; for when no more than five years old he was grown, and taller than the tallest man."
knos,"And he ate in proportion, for he would swallow a whole batch of bread at a single sitting, and at last the poor widow had to go to the commissioners for the relief of the poor in order to get food for him."
knos,"But the town authorities said she must apprentice the boy at a trade, for he was big enough and strong enough to earn his own keep."
knos,So Knos was apprenticed to a smith for three years.
knos,"For his pay he asked a suit of clothes and a sword each year: a sword of five hundredweights the first year, one of ten hundredweights the second year, and one of fifteen hundredweights the third year."
knos,"But after he had been in the smithy only a few days, the smith was glad to give him all three suits and all three swords at once; for he smashed all his iron and steel to bits."
knos,"Knos received his suits and swords, went to a knight's estate, and hired himself out as a serving-man."
knos,"Once he was told to go to the forest to gather firewood with the rest of the men, but sat at the table eating long after the others had driven off and when he had at last satisfied his hunger and was ready to start, he saw the two young oxen he was to drive waiting for him."
knos,"But he let them stand and went into the forest, seized the two largest trees growing there, tore them out by the roots, took one tree under each arm, and carried them back to the estate."
knos,"And he got there long before the rest, for they had to chop down the trees, saw them up and load them on the carts."
knos,On the following day Knos had to thresh.
knos,"First he hunted up the largest stone he could find, and rolled it around on the grain, so that all the corn was loosened from the ears."
knos,Then he had to separate the grain from the chaff.
knos,"So he made a hole in each side of the roof of the barn, and stood outside the barn and blew, and the chaff and straw flew out into the yard, and the corn remained lying in a heap on the floor."
knos,"His master happened to come along, laid a ladder against the barn, climbed up and looked down into one of the holes."
knos,"But Knos was still blowing, and the wind caught his master, and he fell down and was nearly killed on the stone pavement of the court."
knos,"""He's a dangerous fellow,"" thought his master."
knos,"It would be a good thing to be rid of him, otherwise he might do away with all of them; and besides, he ate so that it was all one could do to keep him fed."
knos,"So he called Knos in, and paid him his wages for the full year, on condition that he leave."
knos,"Knos agreed, but said he must first be decently provisioned for his journey."
knos,"So he was allowed to go into the store-house himself, and there he hoisted a flitch of bacon on each shoulder, slid a batch of bread under each arm, and took leave."
knos,But his master loosed the vicious bull on him.
knos,"Knos, however, grasped him by the horns, and flung him over his shoulder, and thus he went off."
knos,"Then he came to a thicket where he slaughtered the bull, roasted him and ate him together with a batch of bread."
knos,And when he had done this he had about taken the edge off his hunger.
knos,"Then he came to the king's court, where great sorrow reigned because, once upon a time, when the king was sailing out at sea, a sea troll had called up a terrible tempest, so that the ship was about to sink."
knos,"In order to escape with his life, the king had to promise the sea troll to give him whatever first came his way when he reached shore."
knos,"The king thought his hunting dog would be the first to come running to meet him, as usual; but instead his three young daughters came rowing out to meet him in a boat."
knos,"This filled the king with grief, and he vowed that whoever delivered his daughters should have one of them for a bride, whichever one he might choose."
knos,"But the only man who seemed to want to earn the reward was a tailor, named Red Peter."
knos,"Knos was given a place at the king's court, and his duty was to help the cook."
knos,"But he asked to be let off on the day the troll was to come and carry away the oldest princess, and they were glad to let him go; for when he had to rinse the dishes he broke the king's vessels of gold and silver; and when he was told to bring firewood, he brought in a whole wagon-load at once, so that the doors flew from their hinges."
knos,The princess stood on the sea-shore and wept and wrung her hands; for she could see what she had to expect.
knos,"Nor did she have much confidence in Red Peter, who sat on a willow-stump, with a rusty old sabre in his hand."
knos,"Then Knos came and tried to comfort the princess as well as he knew how, and asked her whether she would comb his hair."
knos,"Yes, he might lay his head in her lap, and she combed his hair."
knos,Suddenly there was a dreadful roaring out at sea.
knos,"It was the troll who was coming along, and he had five heads."
knos,Red Peter was so frightened that he rolled off his willow-stump.
knos,"""Knos, is that you?"" cried the troll."
knos,"""Yes,"" said Knos."
knos,"""Haul me up on the shore!"" said the troll."
knos,"""Pay out the cable!"" said Knos."
knos,"Then he hauled the troll ashore; but he had his sword of five hundredweights at his side, and with it he chopped off all five of the troll's heads, and the princess was free."
knos,"But when Knos had gone off, Red Peter put his sabre to the breast of the princess, and told her he would kill her unless she said he was her deliverer."
knos,Then came the turn of the second princess.
knos,"Once more Red Peter sat on the willow-stump with his rusty sabre, and Knos asking to be let off for the day, went to the sea-shore and begged the princess to comb his hair, which she did."
knos,"Then along came the troll, and this time he had ten heads."
knos,"""Knos, is that you?"" asked the troll."
knos,"""Yes,"" said Knos."
knos,"""Haul me ashore!"""
knos,said the troll.
knos,"""Pay out the cable!"" said Knos."
knos,"And this time Knos had his sword of ten hundredweights at his side, and he cut off all ten of the troll's heads."
knos,And so the second princess was freed.
knos,"But Red Peter held his sabre at the princess' breast, and forced her to say that he had delivered her."
knos,Now it was the turn of the youngest princess.
knos,"When it was time for the troll to come, Red Peter was sitting on his willow-stump, and Knos came and begged the princess to comb his hair, and she did so."
knos,This time the troll had fifteen heads.
knos,"""Knos, is that you?"" asked the troll."
knos,"""Yes,"" said Knos."
knos,"""Haul me ashore!"""
knos,said the troll.
knos,"""Pay out the cable,"" said Knos."
knos,"Knos had his sword of fifteen hundredweights at his side, and with it he cut off all the troll's heads."
knos,"But the fifteen hundredweights were half-an-ounce short, and the heads grew on again, and the troll took the princess, and carried her off with him."
knos,"One day as Knos was going along, he met a man carrying a church on his back."
knos,"""You are a strong man, you are!"" said Knos."
knos,"""No, I am not strong,"" said he, ""but Knos at the king's court, he is strong; for he can take steel and iron, and weld them together with his hands as though they were clay."""
knos,"""Well, I'm the man of whom you are speaking,"" said Knos, ""come, let us travel together."""
knos,And so they wandered on.
knos,Then they met a man who carried a mountain of stone on his back.
knos,"""You are strong, you are!"" said Knos."
