document_id,text
lawn-dyarrig,"There was a King in his own time in Erin, and he went hunting one day."
lawn-dyarrig,"The King met a man whose head was out through his cap, whose elbows and knees were out through his clothing, and whose toes were out through his shoes."
lawn-dyarrig,"The man went up to the King, gave him a blow on the face, and drove three teeth from his mouth."
lawn-dyarrig,The same blow put the King's head in the dirt.
lawn-dyarrig,"When he rose from the earth, the King went back to his castle, and lay down sick and sorrowful."
lawn-dyarrig,"The King had three sons, and their names were Ur, Arthur, and Lawn Dyarrig."
lawn-dyarrig,"The three were at school that day, and came home in the evening."
lawn-dyarrig,The father sighed when the sons were coming in.
lawn-dyarrig,"""What is wrong with our father?"" asked the eldest."
lawn-dyarrig,"""Your father is sick on his bed,"" said the mother."
lawn-dyarrig,The three sons went to their father and asked what was on him.
lawn-dyarrig,"""A strong man that I met to-day gave me a blow in the face, put my head in the dirt, and knocked three teeth from my mouth. What would you do to him if you met him?"""
lawn-dyarrig,asked the father of the eldest son.
lawn-dyarrig,"""If I met that man,"" replied Ur, ""I would make four parts of him between four horses."""
lawn-dyarrig,"""You are my son,"" said the King."
lawn-dyarrig,"""What would you do if you met him?"" asked he then as he turned to the second son."
lawn-dyarrig,"""If I had a grip on that man I would burn him between four fires."""
lawn-dyarrig,"""You, too, are my son. What would you do?"" asked the King of Lawn Dyarrig."
lawn-dyarrig,"""If I met that man, I would do my best against him, and he might not stand long before me."""
lawn-dyarrig,"""You are not my son. I would not lose lands or property on you,"" said the father."
lawn-dyarrig,"""You must go from me, and leave this to-morrow."""
lawn-dyarrig,On the following morning the three brothers rose with the dawn; the order was given Lawn Dyarrig to leave the castle and make his own way for himself.
lawn-dyarrig,The other two brothers were going to travel the world to know could they find the man who had injured their father.
lawn-dyarrig,"Lawn Dyarrig lingered outside till he saw the two, and they going off by themselves."
lawn-dyarrig,"""It is a strange thing,"" said he, ""for two men of high degree to go travelling without a servant."""
lawn-dyarrig,"""We need no one,"" said Ur."
lawn-dyarrig,"""Company wouldn't harm us,"" said Arthur."
lawn-dyarrig,"The two let Lawn Dyarrig go with them as a serving-boy, and set out to find the man who had struck down their father."
lawn-dyarrig,"They spent all that day walking, and came late to a house where one woman was living."
lawn-dyarrig,"She shook hands with Ur and Arthur, and greeted them."
lawn-dyarrig,Lawn Dyarrig she kissed and welcomed; called him son of the King of Erin.
lawn-dyarrig,"""It is a strange thing to shake hands with the elder, and kiss the younger,"" said Ur."
