document_id,text
old-dschang,Once upon a time there was a man who went by the name of Old Dschang.
old-dschang,"He lived in the country, near Yangdschou, as a gardener."
old-dschang,"His neighbor, named Sir We, held an official position in Yangdschou."
old-dschang,"Sir We had decided that it was time for his daughter to marry, so he sent for a match-maker and commissioned her to find a suitable husband."
old-dschang,"Old Dschang heard this, and was pleased."
old-dschang,"He prepared food and drink, entertained the match-maker, and told her to recommend him as a husband."
old-dschang,But the old match-maker went off scolding.
old-dschang,The next day he invited her to dinner again and gave her money.
old-dschang,"Then the old match-maker said: ""You do not know what you wish! Why should a gentleman's beautiful daughter condescend to marry a poor old gardener like yourself? Even though you had money to burn, your white hair would not match her black locks. Such a marriage is out of the question!"""
old-dschang,"But Old Dschang did not cease to entreat her: ""Make an attempt, just one attempt, to mention me! If they will not listen to you, then I must resign myself to my fate!"""
old-dschang,"The old match-maker had taken his money, so she could not well refuse, and though she feared being scolded, she mentioned him to Sir We."
old-dschang,He grew angry and wanted to throw her out of the house.
old-dschang,"""I knew you would not thank me,"" said she, ""but the old man urged it so that I could not refuse to mention his intention."""
old-dschang,"""Tell the old man that if this very day he brings me two white jade-stones, and four hundred ounces of yellow gold, then I will give him my daughter's hand in marriage."""
old-dschang,"But he only wished to mock the old man's folly, for he knew that the latter could not give him anything of the kind."
old-dschang,The match-maker went to Old Dschang and delivered the message.
old-dschang,And he made no objection; but at once brought the exact quantity of gold and jewels to Sir We's house.
old-dschang,"The latter was very much frightened and when his wife heard of it, she began to weep and wail loudly."
old-dschang,"But the girl encouraged her mother: ""My father has given his word now and cannot break it. I will know how to bear my fate."""
old-dschang,So Sir We's daughter was married to Old Dschang.
old-dschang,But even after the wedding the latter did not give up his work as a gardener.
old-dschang,"He spaded the field and sold vegetables as usual, and his wife had to fetch water and build the kitchen fire herself."
old-dschang,"But she did her work without false shame and, though her relatives reproached her, she continued to do so."
old-dschang,"Once an aristocratic relative visited Sir We and said: ""If you had really been poor, were there not enough young gentlemen in the neighborhood for your daughter? Why did you have to marry her to such a wrinkled old gardener? Now that you have thrown her away, so to speak, it would be better if both of them left this part of the country."""
old-dschang,Then Sir We prepared a banquet and invited his daughter and Old Dschang to visit him.
old-dschang,When they had had sufficient to eat and drink he allowed them to get an inkling of what was in his mind.
old-dschang,"Said Old Dschang: ""I have only remained here because I thought you would long for your daughter. But since you are tired of us, I will be glad to go. I have a little country house back in the hills, and we will set out for it early to-morrow morning."""
old-dschang,"The following morning, at break of dawn, Old Dschang came with his wife to say farewell."
old-dschang,"Sir We said: ""Should we long to see you at some later time, my son can make inquiries."""
old-dschang,Old Dschang placed his wife on a donkey and gave her a straw hat to wear.
old-dschang,He himself took his staff and walked after.
old-dschang,A few years passed without any news from either of them.
old-dschang,Then Sir We and his wife felt quite a longing to see their daughter and sent their son to make inquiries.
old-dschang,When the latter got back in the hills he met a plow-boy who was plowing with two yellow steers.
old-dschang,"He asked him: ""Where is Old Dschang's country house?"""
old-dschang,"The plow-boy left the plow in the harrow, bowed and answered: ""You have been a long time coming, sir! The village is not far from here: I will show you the way."""
old-dschang,They crossed a hill.
