document_id,text
old-street-lamp,DID you ever hear the story of the old street lamp?
old-street-lamp,"It is not remarkably interesting, but for once you may as well listen to it."
old-street-lamp,"It was a most respectable old lamp, which had seen many, many years of service and now was to retire with a pension."
old-street-lamp,"It was this very evening at its post for the last time, giving light to the street."
old-street-lamp,"Its feelings were something like those of an old dancer at the theater who is dancing for the last time and knows that on the morrow she will be in her garret, alone and forgotten."
old-street-lamp,"The lamp had very great anxiety about the next day, for it knew that it had to appear for the first time at the town hall to be inspected by the mayor and the council, who were to decide whether it was fit for further service; whether it was good enough to be used to light the inhabitants of one of the suburbs, or in the country, at some factory."
old-street-lamp,"If the lamp could not be used for one of these purposes, it would be sent at once to an iron foundry to be melted down."
old-street-lamp,"In this latter case it might be turned into anything, and it wondered very much whether it would then be able to remember that it had once been a street lamp."
old-street-lamp,This troubled it exceedingly.
old-street-lamp,"Whatever might happen, it seemed certain that the lamp would be separated from the watchman and his wife, whose family it looked upon as its own."
old-street-lamp,"The lamp had first been hung up on the very evening that the watchman, then a robust young man, had entered upon the duties of his office."
old-street-lamp,"Ah, well!"
old-street-lamp,it was a very long time since one became a lamp and the other a watchman.
old-street-lamp,His wife had some little pride in those days; she condescended to glance at the lamp only when she passed by in the evening--never in the daytime.
old-street-lamp,"But in later years, when all of them--the watchman, the wife, and the lamp--had grown old, she had attended to it, cleaning it and keeping it supplied with oil."
old-street-lamp,The old people were thoroughly honest; they had never cheated the lamp of a single drop of the oil provided for it.
old-street-lamp,"This was the lamp's last night in the street, and to-morrow it must go to the town hall--two very dark things to think of."
old-street-lamp,No wonder it did not burn brightly.
old-street-lamp,"How many persons it had lighted on their way, and how much it had seen!"
old-street-lamp,"As much, very likely, as the mayor and corporation themselves!"
old-street-lamp,"None of these thoughts were uttered aloud, however, for the lamp was good and honorable and would not willingly do harm to any one, especially to those in authority."
old-street-lamp,"As one thing after another was recalled to its mind, the light would flash up with sudden brightness."
old-street-lamp,At such moments the lamp had a conviction that it would be remembered.
old-street-lamp,"""There was a handsome young man, once,"" thought the lamp; ""it is certainly a long while ago, but I remember that he had a little note, written on pink paper with a gold edge. The writing was elegant, evidently a lady's. Twice he read it through, and kissed it, and then looked up at me with eyes that said quite plainly, 'I am the happiest of men!' Only he and I know what was written on this, his first letter from his lady-love. Ah, yes, and there was another pair of eyes that I remember; it is really wonderful how the thoughts jump from one thing to another! A funeral passed through the street. A young and beautiful woman lay on a bier decked with garlands of flowers, and attended by torches which quite overpowered my light. All along the street stood the people from the houses, in crowds, ready to join the procession. But when the torches had passed from before me and I could look around, I saw one person standing alone, leaning against my post and weeping. Never shall I forget the sorrowful eyes that looked up at me."""
old-street-lamp,These and similar reflections occupied the old street lamp on this the last time that its light would shine.
old-street-lamp,"The sentry, when he is relieved from his post, knows, at least, who will be his successor, and may whisper a few words to him."
old-street-lamp,"But the lamp did not know its successor, or it might have given him a few hints respecting rain or mist and might have informed him how far the moon's rays would reach, and from which side the wind generally blew, and so on."
old-street-lamp,"On the bridge over the canal stood three persons who wished to recommend themselves to the lamp, for they thought it could give the office to whomsoever it chose."
old-street-lamp,"The first was a herring's head, which could emit light in the darkness."
old-street-lamp,He remarked that it would be a great saving of oil if they placed him on the lamp-post.
old-street-lamp,"Number two was a piece of rotten wood, which also shines in the dark."
old-street-lamp,"He considered himself descended from an old stem, once the pride of the forest."
old-street-lamp,"The third was a glowworm, and how he found his way there the lamp could not imagine; yet there he was, and could really give light as well as the others."
old-street-lamp,"But the rotten wood and the herring's head declared most solemnly, by all they held sacred, that the glowworm only gave light at certain times and must not be allowed to compete with them."
old-street-lamp,"The old lamp assured them that not one of them could give sufficient light to fill the position of a street lamp, but they would believe nothing that it said."
old-street-lamp,"When they discovered that it had not the power of naming its successor, they said they were very glad to hear it, for the lamp was too old and worn out to make a proper choice."
old-street-lamp,At this moment the wind came rushing round the corner of the street and through the air-holes of the old lamp.
old-street-lamp,"""What is this I hear?"""
old-street-lamp,it asked.
old-street-lamp,"""Are you going away to-morrow? Is this evening the last time we shall meet? Then I must present you with a farewell gift. I will blow into your brain, so that in future not only shall you be able to remember all that you have seen or heard in the past, but your light within shall be so bright that you will be able to understand all that is said or done in your presence."""
old-street-lamp,"""Oh, that is really a very, very great gift,"" said the old lamp."
old-street-lamp,"""I thank you most heartily. I only hope I shall not be melted down."""
old-street-lamp,"""That is not likely to happen yet,"" said the wind."
old-street-lamp,"""I will also blow a memory into you, so that, should you receive other similar presents, your old age will pass very pleasantly."""
old-street-lamp,"""That is, if I am not melted down,"" said the lamp."
old-street-lamp,"""But should I, in that case, still retain my memory?"""
old-street-lamp,"""Do be reasonable, old lamp,"" said the wind, puffing away."
old-street-lamp,At this moment the moon burst forth from the clouds.
old-street-lamp,"""What will you give the old lamp?"" asked the wind."
old-street-lamp,"""I can give nothing,"" she replied."
old-street-lamp,"""I am on the wane, and no lamps have ever given me light, while I have frequently shone upon them."""
old-street-lamp,"With these words the moon hid herself again behind the clouds, that she might be saved from further importunities."
old-street-lamp,"Just then a drop fell upon the lamp from the roof of the house, but the drop explained that it was a gift from those gray clouds and perhaps the best of all gifts."
old-street-lamp,"""I shall penetrate you so thoroughly,"" it said, ""that you will have the power of becoming rusty, and, if you wish it, can crumble into dust in one night."""
old-street-lamp,"But this seemed to the lamp a very shabby present, and the wind thought so, too."
old-street-lamp,"""Does no one give any more? Will no one give any more?"" shouted the breath of the wind, as loud as it could."
old-street-lamp,"Then a bright, falling star came down, leaving a broad, luminous streak behind it."
old-street-lamp,"""What was that?"" cried the herring's head."
old-street-lamp,"""Did not a star fall? I really believe it went into the lamp. Certainly, when such high-born personages try for the office we may as well go home."""
old-street-lamp,"And so they did, all three, while the old lamp threw a wonderfully strong light all around."
old-street-lamp,"""This is a glorious gift,"" it said."
old-street-lamp,"""The bright stars have always been a joy to me and have always shone more brilliantly than I ever could shine, though I have tried with my whole might. Now they have noticed me, a poor old lamp, and have sent me a gift that will enable me to see clearly everything that I remember, as if it still stood before me, and to let it be seen by all those who love me. And herein lies the truest happiness, for pleasures which we cannot share with others are only half enjoyed."""
old-street-lamp,"""That sentiment does you honor,"" said the wind; ""but for this purpose wax lights will be necessary. If these are not lighted in you, your peculiar faculties will not benefit others in the least. The stars have not thought of this. They suppose that you and every other light must be a wax taper. But I must go down now."""
old-street-lamp,So it laid itself to rest.
old-street-lamp,"""Wax tapers, indeed!"" said the lamp; ""I have never yet had these, nor is it likely I ever shall. If I could only be sure of not being melted down!"""
old-street-lamp,"The next day--well, perhaps we had better pass over the next day."
old-street-lamp,"The evening had come, and the lamp was resting in a grandfather's chair; and guess where!"
old-street-lamp,"Why, at the old watchman's house."
old-street-lamp,"He had begged as a favor that the mayor and corporation would allow him to keep the street lamp in consideration of his long and faithful service, as he had himself hung it up and lighted it on the day he first commenced his duties, four and twenty years ago."
old-street-lamp,He looked upon it almost as his own child.
old-street-lamp,"He had no children, so the lamp was given to him."
old-street-lamp,There lay the lamp in the great armchair near the warm stove.
old-street-lamp,"It seemed almost to have grown larger, for it appeared quite to fill the chair."
old-street-lamp,"The old people sat at their supper, casting friendly glances at it, and would willingly have admitted it to a place at the table."
old-street-lamp,"It is quite true that they dwelt in a cellar two yards below ground, and had to cross a stone passage to get to their room."
old-street-lamp,"But within, it was warm and comfortable, and strips of list had been nailed round the door."
old-street-lamp,"The bed and the little window had curtains, and everything looked clean and neat."
old-street-lamp,"On the window seat stood two curious flowerpots, which a sailor named Christian had brought from the East or West Indies."
old-street-lamp,"They were of clay, and in the form of two elephants with open backs; they were filled with earth, and through the open space flowers bloomed."
