document_id,text
youth-who-wanted-to-win-daughter-of-mother-in-corner,Once upon a time there was a woman who had a son.
youth-who-wanted-to-win-daughter-of-mother-in-corner,He was so lazy and slow that there was not a single blessed useful thing he would do.
youth-who-wanted-to-win-daughter-of-mother-in-corner,"But he liked to sing and to dance, and that is what he did all day long, and far into the night as well."
youth-who-wanted-to-win-daughter-of-mother-in-corner,"The longer this went on, the worse off his mother was."
youth-who-wanted-to-win-daughter-of-mother-in-corner,"The youth was growing, and he wanted so much to eat that it was barely possible to find it."
youth-who-wanted-to-win-daughter-of-mother-in-corner,"More and more went for his clothes the older he grew, since his clothes did not last long, as you may imagine, because the youth skipped and dance about without stopping, through forest and field."
youth-who-wanted-to-win-daughter-of-mother-in-corner,At length it was too much for his mother.
youth-who-wanted-to-win-daughter-of-mother-in-corner,"One day she told the young fellow that he ought at last to get to work, and really do something, or both of them would have to starve to death."
youth-who-wanted-to-win-daughter-of-mother-in-corner,"But the youth had no mind to do so, he said, and would rather try to win the daughter of the mother in the corner."
youth-who-wanted-to-win-daughter-of-mother-in-corner,"If he got her, then he would live happily ever after, and could sing and dance, and would not have to plague himself with work."
youth-who-wanted-to-win-daughter-of-mother-in-corner,When the mother heard that she thought it might not be such a bad idea after all.
youth-who-wanted-to-win-daughter-of-mother-in-corner,"She dressed up the youth as well as she could, so that he would make a good showing when he came to the mother in the corner, and then he set forth."
youth-who-wanted-to-win-daughter-of-mother-in-corner,When he stepped out the sun was shining bright and warm.
youth-who-wanted-to-win-daughter-of-mother-in-corner,"It had rained during the night, and the ground was soft and full of water puddles."
youth-who-wanted-to-win-daughter-of-mother-in-corner,"The youth took the shortest path to the mother in the corner, and sang and danced, as he always did."
youth-who-wanted-to-win-daughter-of-mother-in-corner,"But suddenly, as he was hopping and skipping along, he came to a swamp, and there were only some logs laid down to cross it."
youth-who-wanted-to-win-daughter-of-mother-in-corner,"From the one log he had to jump over a puddle to a clump of grass, unless he wanted to dirty his shoes."
youth-who-wanted-to-win-daughter-of-mother-in-corner,And then he went kerflop!
youth-who-wanted-to-win-daughter-of-mother-in-corner,"The very moment he set foot on the clump of grass, he went down and down until he was standing in a dark, ugly hole."
