document_id,text
how-princess-pride-was-broken,"There was a princess who was as pretty as a picture, and she was so proud of that that she would not so much as look at a body; all the same, there was no lack of lads who came a-wooing, and who would have liked nothing so much as to have had her for a sweetheart because she was so good-looking."
how-princess-pride-was-broken,"But, no, she would have nothing to do with any of them; this one was too young and that one was too old; this one was too lean and that one was too fat; this one was too little and that one was too big; this one was too dark and that one was too fair."
how-princess-pride-was-broken,"So there was never a white sheep in the whole flock, as one might say."
how-princess-pride-was-broken,"Now there was one came who was a king in his own country, and a fine one at that."
how-princess-pride-was-broken,The only blemish about him was a mole on his chin; apart from that he was as fresh as milk and rose leaves.
how-princess-pride-was-broken,"But when the princess saw him she burst out laughing; ""Who would choose a specked apple from the basket?"" said she; and that was all the cake the prince bought at that shop, for off he was packed."
how-princess-pride-was-broken,"But he was not for giving up, not he; he went and dressed himself up in rags and tatters; then back he came again, and not a soul knew him."
how-princess-pride-was-broken,Rap! tap!
how-princess-pride-was-broken,"rap!-he knocked at the door, and did they want a stout lad about the place?"
how-princess-pride-was-broken,"Well, yes; they were wanting a gooseherd, and if he liked the place he might have it."
how-princess-pride-was-broken,"Oh, that fitted his wants like a silk stocking, and the next day he drove the geese up on the hill back of the king's house, so that they might eat grass where it was fresh and green."
how-princess-pride-was-broken,"By and by he took a golden ball out of his pocket and began tossing it up and catching it, and as he played with it the sun shone on it so that it dazzled one's eyes to look at it."
how-princess-pride-was-broken,"The princess sat at her window, and it was not long before she saw it, I can tell you."
how-princess-pride-was-broken,"Dear, dear, but it was a pretty one, the golden ball."
how-princess-pride-was-broken,"The princess would like to have such a plaything, that she would; so she sent one of the maids out to ask whether the gooseherd had a mind to sell it."
how-princess-pride-was-broken,"Oh, yes, it was for sale, and cheap at that; the princess should have it for the kerchief which she wore about her neck."
how-princess-pride-was-broken,Prut!
how-princess-pride-was-broken,but the lad was a saucy one; that was what the princess said.
how-princess-pride-was-broken,"But, after all, a kerchief was only a kerchief; fetch the gooseherd over and she would give it to him, for she wanted the pretty golden ball for her own, and she would have it if it were to be had."
how-princess-pride-was-broken,"But, no; the gooseherd would not come at the princess's bidding."
how-princess-pride-was-broken,"If she wanted to buy the golden ball she must come up on the hill and pay him, for he was not going to leave his flock of geese, and have them waddling into the garden perhaps; that is what the gooseherd said."
how-princess-pride-was-broken,"So the upshot of the matter was that the princess went out with her women, and gave the lad the kerchief up on the hill behind the hedge, and brought back the golden ball with her for her own."
how-princess-pride-was-broken,"As for the gooseherd he just tied the kerchief around his arm so that everybody might see it; and all the folks said, ""Hi! that is the princess's kerchief."""
how-princess-pride-was-broken,"The next day, when he drove his flock of geese up on the hill, he took a silver looking-glass and a golden comb out of his pocket and began to comb his hair, and you should have seen how the one and the other glistened in the sun."
how-princess-pride-was-broken,"It took the princess no longer to see the comb and the looking-glass than it had the golden ball, and then she must and would have them."
how-princess-pride-was-broken,"So she sent one to find whether the lad was of a mind to sell them, for she thought that she had never seen anything so pretty in all of her life before."
how-princess-pride-was-broken,"""Yes,"" said he, ""I will sell them, but the princess must come up on the hill back of the hedge and give me the necklace she wears about her neck."""
how-princess-pride-was-broken,"The princess made a sour enough face at this, but, as the gooseherd would take nothing more nor less than what he had said, she and her maids had to tuck up their dresses and go up on the hill; there she paid him his price, and brought home the silver looking-glass and the golden comb."
how-princess-pride-was-broken,"The lad clasped the necklace about his throat, and, dear, dear, how all the folks did goggle and stare."
how-princess-pride-was-broken,"""See,"" said they, ""the princess has been giving the gooseherd the necklace from about her own throat."""
how-princess-pride-was-broken,"The third day it was a new thing the gooseherd had, for he brought out a musical box with figures on it, dressed up, and looking for all the world like real little men and women."
how-princess-pride-was-broken,"He turned the handle, and when the music played it was sweeter than drops of honey."
