document_id,text
canonbie-dick-and-thomas-of-ercildoune,"It chanced, long years ago, that a certain horse-dealer lived in the South of Scotland, near the Border."
canonbie-dick-and-thomas-of-ercildoune,It was not very far from Longtown.
canonbie-dick-and-thomas-of-ercildoune,He was known as Canonbie Dick.
canonbie-dick-and-thomas-of-ercildoune,"As he went up and down the country, he almost always had a long string of horses behind him."
canonbie-dick-and-thomas-of-ercildoune,"He bought them at one fair and sold at another, generally managing to turn a good big penny by the transaction."
canonbie-dick-and-thomas-of-ercildoune,"He was a very fearless man, not easily daunted."
canonbie-dick-and-thomas-of-ercildoune,"The people who knew him used to say that if Canonbie Dick dare not attempt a thing, no one else need be asked to do it."
canonbie-dick-and-thomas-of-ercildoune,"One evening, he was returning from a fair at some distance from his home with a pair of horses which he had not succeeded in selling."
canonbie-dick-and-thomas-of-ercildoune,"He was riding over Bowden Moor, which lies to the west of the Eildon Hills."
canonbie-dick-and-thomas-of-ercildoune,"These hills are, as all men know, the scene of some of the most famous of Thomas the Rhymer's prophecies."
canonbie-dick-and-thomas-of-ercildoune,"Also, so men say, they are the sleeping-place of King Arthur and his Knights, who rest under the three high peaks, waiting for the mystic call that shall awake them."
canonbie-dick-and-thomas-of-ercildoune,"But little recked the horse-dealer of Arthur and his Knights, nor yet of Thomas the Rhymer."
canonbie-dick-and-thomas-of-ercildoune,"He was riding along at a snail's pace, thinking over the bargains which he had made at the fair that day."
canonbie-dick-and-thomas-of-ercildoune,He was wondering when he was likely to dispose of his two remaining horses.
canonbie-dick-and-thomas-of-ercildoune,"All at once he was startled by the approach of a venerable man, with white hair and an old-world dress, who seemed almost to start out of the ground, so suddenly did he make his appearance."
canonbie-dick-and-thomas-of-ercildoune,"When they met, the stranger stopped."
canonbie-dick-and-thomas-of-ercildoune,"To Canonbie Dick's great amazement, asked him for how much he would be willing to part with his horses."
canonbie-dick-and-thomas-of-ercildoune,The wily horse-dealer thought that he saw a chance of driving a good bargain.
canonbie-dick-and-thomas-of-ercildoune,The stranger looked a man of some consequence; so he named a good round sum.
canonbie-dick-and-thomas-of-ercildoune,The old man tried to bargain with him; but when he found that he had not much chance of succeeding.
canonbie-dick-and-thomas-of-ercildoune,No one ever did succeed in inducing Canonbie Dick to sell a horse for a less sum than he named for it at first.
canonbie-dick-and-thomas-of-ercildoune,"He agreed to buy the animals, and, pulling a bag of gold from the pocket of his queerly cut breeches."
canonbie-dick-and-thomas-of-ercildoune,He began to count out the price.
canonbie-dick-and-thomas-of-ercildoune,"As he did so, Canonbie Dick got another shock of surprise."
canonbie-dick-and-thomas-of-ercildoune,"The gold that the stranger gave him was not the gold that was in use at the time, but was fashioned into Unicorns, and Bonnet-pieces, and other ancient coins."
canonbie-dick-and-thomas-of-ercildoune,It would be of no use to the horse-dealer in his everyday transactions.
canonbie-dick-and-thomas-of-ercildoune,"But it was good, pure gold."
canonbie-dick-and-thomas-of-ercildoune,He took it gladly.
canonbie-dick-and-thomas-of-ercildoune,He knew that he was selling his horses at about half as much again as they were worth.
canonbie-dick-and-thomas-of-ercildoune,"""So,"" thought he to himself, ""surely I cannot be the loser in the long run."""
