document_id,text
east-of-sun-and-west-of-moon,"ONCE upon a time there was a poor tenant farmer who had a number of children whom he could feed but poorly, and had to clothe in the scantiest way."
east-of-sun-and-west-of-moon,"They were all handsome; but the most beautiful, after all, was the youngest daughter."
east-of-sun-and-west-of-moon,She was beautiful beyond all telling.
east-of-sun-and-west-of-moon,Now it happened that one Thursday evening late in the fall there was a terrible storm raging outside.
east-of-sun-and-west-of-moon,"It was pitch dark, and it rained and stormed so that the house shook in every joint."
east-of-sun-and-west-of-moon,"The whole family sat around the hearth, and each was busy with some work or other."
east-of-sun-and-west-of-moon,Suddenly there were three loud knocks on the window-pane.
east-of-sun-and-west-of-moon,The man went out to see who was there.
east-of-sun-and-west-of-moon,"When he stepped outside, there stood a great white bear."
east-of-sun-and-west-of-moon,"""Good evening,"" said the white bear."
east-of-sun-and-west-of-moon,"""Good evening,"" returned the man."
east-of-sun-and-west-of-moon,"""If you'll give me your youngest daughter, I will make you just as rich as now you are poor,"" said the bear."
east-of-sun-and-west-of-moon,The man was not ill-pleased that he was to become so rich.
east-of-sun-and-west-of-moon,He did think that first he ought to speak to his daughter about it.
east-of-sun-and-west-of-moon,"So he went in again, and said that there was a white bear outside, who had promised to make him just as rich as he was poor now, if he could only have the youngest daughter for his bride."
east-of-sun-and-west-of-moon,"But the girl said no, and would not hear of it."
east-of-sun-and-west-of-moon,"Then the man went back to the bear again, and they both agreed that the white bear should return again the following Thursday and get his answer."
east-of-sun-and-west-of-moon,"In the meantime, however, the parents worked upon their daughter."
east-of-sun-and-west-of-moon,"They talked at length about all the riches they would gain, and how well she herself would fare."
east-of-sun-and-west-of-moon,"So at last she agreed, washed and mended the few poor clothes she had, adorned herself as well as she could, and made ready to travel."
east-of-sun-and-west-of-moon,"And what she was given to take along with her is not worth mentioning, either."
east-of-sun-and-west-of-moon,The following Thursday the white bear came to fetch his bride.
east-of-sun-and-west-of-moon,"The girl seated herself on his back with her bundle, and then he trotted off."
east-of-sun-and-west-of-moon,"After they had gone a good way, the white bear asked: ""Are you afraid?"""
east-of-sun-and-west-of-moon,"""No, not at all,"" she answered."
east-of-sun-and-west-of-moon,"""Just keep a tight hold on my fur, and then you will be in no danger,"" said the bear."
east-of-sun-and-west-of-moon,"So she rode on the bear's back, far, far away, until at last they came to a great rock."
east-of-sun-and-west-of-moon,"There the bear knocked, and at once a door opened through which they entered a great castle, with many brilliantly lighted rooms, where everything gleamed with gold and silver."
east-of-sun-and-west-of-moon,"Then they came into a great hall, and there stood a table completely covered with the most splendid dishes."
east-of-sun-and-west-of-moon,"Here the white bear gave the maiden a silver bell, and said that if there were anything she wanted, she need only ring the bell, and she should have it at once."
east-of-sun-and-west-of-moon,"And after the maiden had eaten, and evening came on, she felt like lying down and going to sleep."
east-of-sun-and-west-of-moon,So she rang her bell.
east-of-sun-and-west-of-moon,"At its very first peal she found herself transported to a room in which stood the most beautiful bed one might wish to have, with silken cushions and curtains with golden tassels."
east-of-sun-and-west-of-moon,All that was in the room was of gold and silver.
