document_id,text
fairy-gifts,It generally happens that people's surroundings reflect more or less accurately their minds and dispositions.
fairy-gifts,"Perhaps that is why the Flower Fairy lived in a lovely palace, with the most delightful garden you can imagine."
fairy-gifts,"It was full of flowers, and trees, and fountains, and fish-ponds, and everything nice."
fairy-gifts,For the Fairy herself was so kind and charming that everybody loved her.
fairy-gifts,"All the young princes and princesses who formed her court, were as happy as the day was long, simply because they were near her."
fairy-gifts,"They came to her when they were quite tiny, and never left her until they were grown up and had to go away into the great world."
fairy-gifts,When that time came she gave to each whatever gift he asked of her.
fairy-gifts,But it is chiefly of the Princess Sylvia that you are going to hear now.
fairy-gifts,"The Fairy loved her with all her heart, for she was at once original and gentle."
fairy-gifts,She had nearly reached the age at which the gifts were generally bestowed.
fairy-gifts,"However, the Fairy had a great wish to know how the other princesses who had grown up and left her, were prospering."
fairy-gifts,"Before the time came for Sylvia to go herself, she resolved to send her to some of them."
fairy-gifts,"So one day her chariot, drawn by butterflies, was made ready, and the Fairy said: 'Sylvia, I am going to send you to the court of Iris. She will receive you with pleasure for my sake as well as for your own. In two months you may come back to me again, and I shall expect you to tell me what you think of her.'"
fairy-gifts,"Sylvia was very unwilling to go away, but as the Fairy wished it she said nothing."
fairy-gifts,Only when the two months were over she stepped joyfully into the butterfly chariot.
fairy-gifts,"She could not get back quickly enough to the Flower-Fairy, who, for her part, was equally delighted to see her again."
fairy-gifts,"'Now, child,' said she, 'tell me what impression you have received.'"
fairy-gifts,"'You sent me, madam,' answered Sylvia, 'to the Court of Iris, on whom you had bestowed the gift of beauty. She never tells anyone, however, that it was your gift, though she often speaks of your kindness in general. It seemed to me that her loveliness, which fairly dazzled me at first, had absolutely deprived her of the use of any of her other gifts or graces. In allowing herself to be seen, she appeared to think that she was doing all that could possibly be required of her. But, unfortunately, while I was still with her she became seriously ill. Though she presently recovered, her beauty is entirely gone, so that she hates the very sight of herself, and is in despair. She entreated me to tell you what had happened, and to beg you, in pity, to give her beauty back to her. And, indeed, she does need it terribly, for all the things in her that were tolerable, and even agreeable, when she was so pretty, seem quite different now she is ugly. It is so long since she thought of using her mind or her natural cleverness, that I really don't think she has any left now. She is quite aware of all this herself, so you may imagine how unhappy she is, and how earnestly she begs for your aid.'"
fairy-gifts,"'You have told me what I wanted to know,' cried the Fairy, 'but alas! I cannot help her. My gifts can be given but once.'"
fairy-gifts,"Some time passed in all the usual delights of the Flower-Fairy's palace, and then she sent for Sylvia again."
fairy-gifts,She told her she was to stay for a little while with the Princess Daphne.
fairy-gifts,"Accordingly the butterflies whisked her off, and set her down in quite a strange kingdom."
fairy-gifts,"She had only been there a very little time before a wandering butterfly brought a message from her to the Fairy, begging that she might be sent for as soon as possible."
fairy-gifts,"Before very long she was allowed to return. ' Ah! madam,' cried she, 'what a place you sent me to that time!'"
fairy-gifts,"'Why, what was the matter?' asked the Fairy."
fairy-gifts,"' Daphne was one of the princesses who asked for the gift of eloquence, if I remember rightly.'"
fairy-gifts,"'And very ill the gift of eloquence becomes a woman,' replied Sylvia, with an air of conviction."
fairy-gifts,"'It is true that she speaks well, and her expressions are well chosen. But then she never leaves off talking, and though at first one may be amused, one ends by being wearied to death. Above all things she loves any assembly for settling the affairs of her kingdom. On those occasions she can talk and talk without fear of interruption. Even then, the moment it is over she is ready to begin again about anything or nothing, as the case may be. Oh! how glad I was to come away I cannot tell you.'"
fairy-gifts,The Fairy smiled at Sylvia's unfeigned disgust at her late experience.
fairy-gifts,"After allowing her a little time to recover she sent her to the Court of the Princess Cynthia, where she left her for three months."
fairy-gifts,At the end of that time Sylvia came back to her with all the joy and contentment that one feels at being once more beside a dear friend.
fairy-gifts,"The Fairy, as usual, was anxious to hear what she thought of Cynthia, who had always been amiable, and to whom she had given the gift of pleasing."
fairy-gifts,"'I thought at first,' said Sylvia, 'that she must be the happiest Princess in the world. She had a thousand lovers who vied with one another in their efforts to please and gratify her. Indeed, I had nearly decided that I would ask a similar gift.'"
fairy-gifts,"'Have you altered your mind, then?' interrupted the Fairy. ' Yes, indeed, madam,' replied Sylvia. ' and I will tell you why. The longer I stayed the more I saw that Cynthia was not really happy. In her desire to please everyone she ceased to be sincere, and degenerated into a mere coquette. Even her lovers felt that the charms and fascinations which were exercised upon all who approached her without distinction were valueless, so that in the end they ceased to care for them, and went away disdainfully.'"
fairy-gifts,"'I am pleased with you, child,' said the Fairy; 'enjoy yourself here for awhile and presently you shall go to Phyllida.'"
fairy-gifts,"Sylvia was glad to have leisure to think, for she could not make up her mind at all what she should ask for herself, and the time was drawing very near."
fairy-gifts,"However, before very long the Fairy sent her to Phyllida, and waited for her report with unabated interest."
fairy-gifts,"'I reached her court safely,' said Sylvia, 'and she received me with much kindness, and immediately began to exercise upon me that brilliant wit which you had bestowed upon her. I confess that I was fascinated by it, and for a week thought that nothing could be more desirable. The time passed like magic, so great was the charm of her society. But I ended by ceasing to covet that gift more than any of the others I have seen, for, like the gift of pleasing, it cannot really give satisfaction. By degrees I wearied of what had so delighted me at first, especially as I perceived more and more plainly that it is impossible to be constantly smart and amusing without being frequently ill-natured, and too apt to turn all things, even the most serious, into mere occasions for a brilliant jest.'"
fairy-gifts,"The Fairy in her heart agreed with Sylvia's conclusions, and felt pleased with herself for having brought her up so well."
fairy-gifts,"But now the time was come for Sylvia to receive her gift, and all her companions were assembled."
