document_id,text
how-boots-befooled-king,Once upon a time there was a king who was the wisest in all of the world.
how-boots-befooled-king,"So wise was he that no one had ever befooled him, which is a rare thing, I can tell you."
how-boots-befooled-king,"Now, this king had a daughter who was as pretty as a ripe apple, so that there was no end to the number of the lads who came asking to marry her."
how-boots-befooled-king,"Every day there were two or three of them dawdling around the house, so that at last the old king grew tired of having them always about."
how-boots-befooled-king,"So he sent word far and near that whoever should befool him might have the princess and half of the kingdom to boot, for he thought that it would be a wise man indeed who could trick him."
how-boots-befooled-king,"But the king also said, that whoever should try to befool him and should fail, should have a good whipping."
how-boots-befooled-king,This was to keep all foolish fellows away.
how-boots-befooled-king,"The princess was so pretty that there was no lack of lads who came to have a try for her and half of the kingdom, but every one of these went away with a sore back and no luck."
how-boots-befooled-king,"Now, there was a man who was well off in the world, and who had three sons; the first was named Peter, and the second was named Paul."
how-boots-befooled-king,"Peter and Paul thought themselves as wise as anybody in all of the world, and their father thought as they did."
how-boots-befooled-king,"As for the youngest son, he was named Boots."
how-boots-befooled-king,"Nobody thought anything of him except that he was silly, for he did nothing but sit poking in the warm ashes all of the day."
how-boots-befooled-king,"One morning Peter spoke up and said that he was going to the town to have a try at befooling the king, for it would be a fine thing to have a princess in the family."
how-boots-befooled-king,"His father did not say no, for if anybody was wise enough to befool the king, Peter was the lad."
how-boots-befooled-king,"So, after Peter had eaten a good breakfast, off he set for the town, right foot foremost."
how-boots-befooled-king,After a while he came to the king's house and-rap!
how-boots-befooled-king,tap!
how-boots-befooled-king,tap!-he knocked at the door.
how-boots-befooled-king,Well; what did he want?
how-boots-befooled-king,Oh! he would only like to have a try at befooling the king.
how-boots-befooled-king,Very good; he should have his try.
how-boots-befooled-king,"He was not the first one who had been there that morning, early as it was."
how-boots-befooled-king,So Peter was shown in to the king.
how-boots-befooled-king,"""Oh, look!"" said he, ""yonder are three black geese out in the court-yard"""
how-boots-befooled-king,"But no, the king was not to be fooled so easily as all that."
how-boots-befooled-king,"""One goose is enough to look at at a time,"" said he; ""take him away and give him a whipping!"""
how-boots-befooled-king,"And so they did, and Peter went home bleating like a sheep."
how-boots-befooled-king,One day Paul spoke up.
how-boots-befooled-king,"""I should like to go and have a try for the princess, too,"" said he."
how-boots-befooled-king,"Well, his father did not say no, for, after all, Paul was the more clever of the two."
how-boots-befooled-king,So off Paul went as merrily as a duck in the rain.
how-boots-befooled-king,"By and by he came to the castle, and then he too was brought before the king just as Peter had been."
how-boots-befooled-king,"""Oh, look!"" said he, ""yonder is a crow sitting in the tree with three white stripes on his back!"""
how-boots-befooled-king,But the king was not so silly as to be fooled in that way.
how-boots-befooled-king,"""Here is a Jack,"" said he, ""who will soon have more stripes on his back than he will like. Take him away and give him his whipping!"""
how-boots-befooled-king,"Then it was done as the king had said, and Paul went away home bawling like a calf."
how-boots-befooled-king,One day up spoke Boots.
how-boots-befooled-king,"""I should like to go and have a try for the pretty princess, too,"" said he."
how-boots-befooled-king,At this they all stared and sniggered.
how-boots-befooled-king,What!
how-boots-befooled-king,"he go where his clever brothers had failed, and had nothing to show for the trying but a good beating?"
how-boots-befooled-king,What had come over the lout!
how-boots-befooled-king,"Here was a pretty business, to be sure!"
how-boots-befooled-king,That was what they all said.
how-boots-befooled-king,But all of this rolled away from Boots like water from a duck's back.
how-boots-befooled-king,"No matter, he would like to go and have a try like the others."
how-boots-befooled-king,"So he begged and begged until his father was glad to let him go to be rid of his teasing, if nothing else."
how-boots-befooled-king,Then Boots asked if he might have the old tattered hat that hung back of the chimney.
how-boots-befooled-king,"Oh, yes, he might have that if he wanted it, for nobody with good wits was likely to wear such a thing."
how-boots-befooled-king,"So Boots took the hat, and after he had brushed the ashes from his shoes set off for the town, whistling as he went."
how-boots-befooled-king,The first body whom he met was an old woman with a great load of earthenware pots and crocks on her shoulders.
how-boots-befooled-king,"""Good-day, mother,"" said Boots."
how-boots-befooled-king,"""Good-day, son,"" said she."
how-boots-befooled-king,"""What will you take for all of your pots and crocks?"" said Boots."
how-boots-befooled-king,"""Three shillings,"" said she."
how-boots-befooled-king,"""I will give you five shillings if you will come and stand in front of the king's house, and do thus and so when I say this and that,"" said Boots."
how-boots-befooled-king,"Oh, yes!"
how-boots-befooled-king,she would do that willingly enough.
how-boots-befooled-king,"So Boots and the old woman went on together, and presently came to the king's house."
how-boots-befooled-king,"When they had come there, Boots sat down in front of the door and began bawling as loud as he could-""No, I will not! I will not do it, I say! No, I will not do it!"""
how-boots-befooled-king,"So he kept on, bawling louder and louder until he made such a noise that, at last, the king himself came out to see what all of the hubbub was about."
how-boots-befooled-king,"But when Boots saw him he only bawled out louder than ever, ""No, I will not! I will not do it, I say!"""
how-boots-befooled-king,"""Stop! stop!"""
how-boots-befooled-king,"cried the king, ""what is all this about?"""
how-boots-befooled-king,"""Why,"" said Boots, ""everybody wants to buy my cap, but I will not sell it! I will not do it, I say!"""
how-boots-befooled-king,"""But, why should anybody want to buy such a cap as that?"" said the king."
how-boots-befooled-king,"""Because,"" said Boots, ""it is a fooling cap and the only one in all of the world."""
how-boots-befooled-king,"""A fooling cap!"" said the king."
how-boots-befooled-king,For he did not like to hear of such a cap as that coming into the town.
how-boots-befooled-king,"""Hum-m-m-m! I should like to see you fool somebody with it. Could you fool that old body yonder with the pots and the crocks?"""
how-boots-befooled-king,"""Oh, yes! that is easily enough done,"" said Boots, and without more ado he took off his tattered cap and blew into it."
how-boots-befooled-king,"Then he put it on his head again and bawled out, ""Break pots! break pots!"""
how-boots-befooled-king,No sooner had he spoken these words than the old woman jumped up and began breaking and smashing her pots and crocks as though she had gone crazy.
how-boots-befooled-king,"That was what Boots had paid her five shillings for doing, but of it the king knew nothing."
how-boots-befooled-king,"""Hui!"" said he to himself, ""I must buy that hat from the fellow or he will fool the princess away from me for sure and certain."""
how-boots-befooled-king,Then he began talking to Boots as sweetly as though he had honey in his mouth.
how-boots-befooled-king,Perhaps Boots would sell the hat to him?
how-boots-befooled-king,"Oh, no!"
how-boots-befooled-king,Boots could not think of such a thing as selling his fooling cap.
how-boots-befooled-king,"Come, come; the king wanted that hat, and sooner than miss buying it he would give a whole bag of gold money for it."
how-boots-befooled-king,"At this Boots looked up and looked down, scratching his head."
how-boots-befooled-king,"Well, he supposed he would have to sell the hat some time, and the king might as well have it as anybody else."
how-boots-befooled-king,But for all that he did not like parting with it.
how-boots-befooled-king,"So the king gave Boots the bag of gold, and Boots gave the king the old tattered hat, and then he went his way."
how-boots-befooled-king,"After Boots had gone the king blew into the hat and blew into the hat, but though he blew enough breath into it to sail a big ship, he did not befool so much as a single titmouse."
how-boots-befooled-king,"Then, at last, he began to see that the fooling cap was good on nobody else's head but Boots's; and he was none too pleased at that, you may be sure."
how-boots-befooled-king,"As for Boots, with his bag of gold he bought the finest clothes that were to be had in the town, and when the next morning had come he started away bright and early for the king's house."
how-boots-befooled-king,"""I have come,"" said he, ""to marry the princess, if you please."""
how-boots-befooled-king,At this the king hemmed and hawed and scratched his head.
how-boots-befooled-king,"Yes; Boots had befooled him sure enough, but, after all, he could not give up the princess for such a thing as that."
how-boots-befooled-king,"Still, he would give Boots another chance."
how-boots-befooled-king,"Now, there was the high-councillor, who was the wisest man in all of the world."
how-boots-befooled-king,Did Boots think that he could fool him also?
how-boots-befooled-king,"Oh, yes!"
how-boots-befooled-king,Boots thought that it might be done.
how-boots-befooled-king,"Very well; if he could befool the high-councillor so as to bring him to the castle the next morning against his will, Boots should have the princess and the half of the kingdom; if he did not do so he should have his beating."
how-boots-befooled-king,"Then Boots went away, and the king thought that he was rid of him now for good and all."
how-boots-befooled-king,"As for the high-councillor, he was not pleased with the matter at all, for he did not like the thought of being fooled by a clever rogue, and taken here and there against his will."
how-boots-befooled-king,"So when he had come home, he armed all of his servants with blunderbusses, and then waited to give Boots a welcome when he should come."
how-boots-befooled-king,But Boots was not going to fall into any such trap as that!
how-boots-befooled-king,No indeed!
how-boots-befooled-king,not he!
how-boots-befooled-king,The next morning he went quietly and bought a fine large meal-sack.
how-boots-befooled-king,"Then he put a black wig over his beautiful red hair, so that no one might know him."
how-boots-befooled-king,"After that he went to the place where the high-councillor lived, and when he had come there he crawled inside of the sack, and lay just beside the door of the house."
how-boots-befooled-king,"By and by came one of the maid servants to the door, and there lay the great meal-sack with somebody in it."
how-boots-befooled-king,"""Ach!"" cried she, ""who is there?"""
how-boots-befooled-king,"But Boots only said, ""Sh-h-h-h-h!"""
how-boots-befooled-king,"Then the serving maid went back into the house, and told the high-councillor that one lay outside in a great meal-sack, and that all that he said was, ""Sh-h-h-h-h!"""
how-boots-befooled-king,So the councillor went himself to see what it was all about.
how-boots-befooled-king,"""What do you want here?"" said he."
how-boots-befooled-king,"""Sh-h-h-h-h!"" said Boots, ""I am not to be talked to now. This is a wisdom-sack, and I am learning wisdom as fast as a drake can eat peas."""
how-boots-befooled-king,"""And what wisdom have you learned?"" said the councillor."
how-boots-befooled-king,Oh!
how-boots-befooled-king,Boots had learned wisdom about everything in the world.
how-boots-befooled-king,"He had learned that the clever scamp who had fooled the king yesterday was coming with seventeen tall men to take the high-councillor, willy-nilly, to the castle that morning."
how-boots-befooled-king,When the high-councillor heard this he fell to trembling till his teeth rattled in his head.
how-boots-befooled-king,"""And have you learned how I can get the better of this clever scamp?"" said he."
how-boots-befooled-king,"Oh, yes!"
how-boots-befooled-king,Boots had learned that easily enough.
how-boots-befooled-king,"So, good!"
how-boots-befooled-king,"then if the wise man in the sack would tell the high-councillor how to escape the clever rogue, the high-councillor would give the wise man twenty dollars."
how-boots-befooled-king,"But no, that was not to be done; wisdom was not bought so cheaply as the high-councillor seemed to think."
how-boots-befooled-king,"Well, the councillor would give him a hundred dollars then."
how-boots-befooled-king,That was good!
how-boots-befooled-king,A hundred dollars were a hundred dollars.
how-boots-befooled-king,"If the councillor would give him that much he might get into the sack himself, and then he could learn all the wisdom that he wanted, and more besides."
how-boots-befooled-king,"So Boots crawled out of the sack, and the councillor paid his hundred dollars and crawled in."
how-boots-befooled-king,"As soon as he was in all snug and safe, Boots drew the mouth of the sack together and tied it tightly."
how-boots-befooled-king,"Then he flung sack, councillor, and all over his shoulder, and started away to the king's house, and anybody who met them could see with half an eye that the councillor was going against his will."
how-boots-befooled-king,"When Boots came to the king's castle he laid the councillor down in the goose-house, and then he went to the king."
how-boots-befooled-king,"When the king saw Boots again, he bit his lips with vexation."
how-boots-befooled-king,"""Well,"" said he, ""have you fooled the councillor?"""
how-boots-befooled-king,"""Oh, yes!"" says Boots, ""I have done that."""
how-boots-befooled-king,And where was the councillor now?
how-boots-befooled-king,"Oh, Boots had just left him down in the goose-house."
how-boots-befooled-king,"He was tied up safe and sound in a sack, waiting till the king should send for him."
how-boots-befooled-king,"So the councillor was sent for, and when he came the king saw at once that he had been brought against his will."
how-boots-befooled-king,"""And now may I marry the princess?"" said Boots."
how-boots-befooled-king,But the king was not willing for him to marry the princess yet; no! no!
how-boots-befooled-king,Boots must not go so fast.
how-boots-befooled-king,There was more to be done yet.
how-boots-befooled-king,"If he would come to-morrow morning he might have the princess and welcome, but he would have to pick her out from among fourscore other maids just like her; did he think that he could do that?"
how-boots-befooled-king,"Oh, yes!"
how-boots-befooled-king,Boots thought that that might be easy enough to do.
how-boots-befooled-king,"So, good!"
how-boots-befooled-king,"then come to-morrow; but he must understand that if he failed he should have a good whipping, and be sent packing from the town."
how-boots-befooled-king,"So off went Boots, and the king thought that he was rid of him now, for he had never seen the princess, and how could he pick her out from among eighty others?"
how-boots-befooled-king,But Boots was not going to give up so easily as all that!
how-boots-befooled-king,"No, not he!"
