document_id,text
kings-hares,Once upon a time there was a man who lived in the little back room.
kings-hares,He had given up his estate to the heir.
kings-hares,"But in addition he had three sons, who were named Peter, Paul and Esben, who was the youngest."
kings-hares,"All three hung around at home and would not work, for they had it too easy."
kings-hares,"They thought themselves too good for anything like work, and nothing was good enough for them."
kings-hares,"Finally Peter once heard that the king wanted a shepherd for his hares, and he told his father he would apply for the position, as it would just suit him, seeing that he wished to serve no one lower in rank than the king."
kings-hares,"His father, it is true, was of the opinion that there might be other work that would suit him better, for whoever was to herd hares would have to be quick and spry, and not a sleepy-head."
kings-hares,"When the hares took to their heels in all directions, it was a dance of another kind than when one skipped about a room."
kings-hares,But it was of no use.
kings-hares,"Peter insisted, and would have his own way, took his knapsack, and shambled down hill."
kings-hares,"After he had gone a while, he saw an old woman who had got her nose wedged in a tree-stump while chopping wood, and when Peter saw her jerking and pulling away, trying to get out, he burst into loud laughter."
kings-hares,"""Don't stand there and laugh in such a stupid way,"" said the woman, ""but come and help a poor, feeble old woman. I wanted to split up some fire-wood, and caught my nose here. Here I have been standing for more than a hundred years, pulling and jerking, without a bit of bread to chew in all that time,"" said she."
kings-hares,Then Peter had to laugh all the harder.
kings-hares,"He found it all very amusing, and said that if she had already been standing there a hundred years, then she could probably hold out for another hundred years or more."
kings-hares,When he came to court they at once took him on as a herdsman.
kings-hares,"The place was not bad, there was good food, and good wages, and the chance of winning the princess besides."
kings-hares,"Yet if no more than a single one of the king's hares were to be lost, they would cut three red strips from his back, and throw him into the snake-pit."
kings-hares,"As long as Peter was on the common or in the enclosure, he kept his hares together nicely, but later, when they reached the forest, they ran away from him across the hills."
kings-hares,"Peter ran after them with tremendous leaps, as long as he thought he could catch even a single hare, but when the very last one had vanished, his breath was gone, and he saw no more of them."
kings-hares,"Toward noon he went home, taking his time about it, and when he reached the enclosure, he looked around for them on all sides, but no hares came."
kings-hares,"And then, when he came to the castle, there stood the king with the knife in his hand."
kings-hares,"He cut three red strips from his back, and cast him into the snake-pit."
kings-hares,After a while Paul decided to go to the castle and herd the king's hares.
kings-hares,"His father told him what he had told Peter, and more besides."
kings-hares,"But he insisted on going, and would not listen, and he fared neither better nor worse than Peter had."
kings-hares,"The old woman stood and pulled and jerked at her nose in the tree-trunk, and he laughed, found it very amusing, and let her stand there and torment herself."
kings-hares,"He was at once taken into service, but the hares all ran away across the hills, though he pursued them, and worked away like a shepherd dog in the sun, and when he came back to the castle in the evening minus his hares, there stood the king with the knife in his hand, cut three broad strips from his back, rubbed in pepper and salt, and flung him into the snake-pit."
kings-hares,"Then, after some time had passed, the youngest decided to set out to herd the king's hares, and told his father of his intention."
kings-hares,"He thought that would be just the work for him, to loaf about in forest and field, look for strawberry patches, herd a flock of hares, and lie down and sleep in the sun between times."
kings-hares,"His father thought that there was other work that would suit him better, and that even if he fared no worse than his brothers, it was quite certain that he would fare no better."
kings-hares,"Whoever herded the king's hares must not drag along as though he had lead in his soles, or like a fly on a limerod."
kings-hares,"And that when the hares took to their heels, it was a horse of another color from catching flees with gloved hands."
kings-hares,"Whoever wanted to escape with a whole back, would have to be more than quick and nimble, and swifter than a bird."
kings-hares,But there was nothing he could do.
kings-hares,"Esben merely kept on saying that he wanted to go to court and serve the king, for he would not take service with any lesser master, said he."
kings-hares,"And he would see to the hares, they could not be much worse than a herd of goats or of calves."
kings-hares,And with that he took his knapsack and strolled comfortably down the hill.
kings-hares,"After he had wandered a while, and began to feel a proper hunger, he came to the old woman who was wedged by the nose in the tree-trunk and who was pulling and jerking away, in order to get loose."
kings-hares,"""Good day, mother,"" said Esben, ""and why are you worrying yourself so with your nose, you poor thing?"""
kings-hares,"""No one has called me mother for the last hundred years,"" said the old woman, ""but come and help me out, and give me a bite to eat; for I have not had a bit to eat in all that time. And I will do something for your sake as well,"" said she."
kings-hares,"Yes, no doubt she would need something to eat and drink badly, said Esben."
kings-hares,"Then he hewed the tree-trunk apart, so that she got her nose out of the cleft, sat down to eat, and shared with her."
kings-hares,"The old woman had a good appetite, and she received a good half of his provisions."
kings-hares,"When they were through she gave Esben a whistle which had the power that if he blew into one end, whatever he wished scattered was scattered to all the winds, and when he blew into the other, all came together again."
kings-hares,"And if the whistle passed from his possession, it would return as soon as he wished it back."
