document_id,text
prudent-hans,"ONE day, Hans's mother said, ""Where are you going, Hans?"""
prudent-hans,"Hans answered, ""To Grethel's, mother."""
prudent-hans,"""Manage well, Hans."""
prudent-hans,"""All right! Good-bye, mother."""
prudent-hans,"""Good-bye, Hans."""
prudent-hans,Then Hans came to Grethel's.
prudent-hans,"""Good morning, Grethel."""
prudent-hans,"""Good morning, Hans. What have you brought me to-day?"""
prudent-hans,"""I have brought nothing, but I want something."""
prudent-hans,"So Grethel gave Hans a needle; and then he said, ""Good-bye, Grethel,"" and she said, ""Good-bye, Hans."""
prudent-hans,"Hans carried the needle away with him, and stuck it in a hay-cart that was going along, and he followed it home."
prudent-hans,"""Good evening, mother."""
prudent-hans,"""Good evening, Hans. Where have you been?"""
prudent-hans,"""To Grethel's, mother."""
prudent-hans,"""What did you take her?"""
prudent-hans,"""I took nothing, but I brought away something."""
prudent-hans,"""What did Grethel give you?"""
prudent-hans,"""A needle, mother."""
prudent-hans,"""What did you do with it, Hans?"""
prudent-hans,"""Stuck it in the hay-cart."""
prudent-hans,"""That was very stupid of you, Hans. You should have stuck it in your sleeve."""
prudent-hans,"""All right, mother! I'll do better next time."""
prudent-hans,"When next time came, Hans's mother said, ""Where are you going, Hans?"""
prudent-hans,"""To Grethel's, mother."""
prudent-hans,"""Manage well, Hans."""
prudent-hans,"""All right! Good-bye, mother."""
prudent-hans,"""Good-bye, Hans."""
prudent-hans,Then Hans came to Grethel.
prudent-hans,"""Good morning, Grethel."""
prudent-hans,"""Good morning, Hans. What have you brought me to-day?"""
prudent-hans,"""I've brought nothing, but I want something."""
prudent-hans,"So Grethel gave Hans a knife, and then he said, ""Good-bye, Grethel,"" and she said, ""Good-bye, Hans."""
prudent-hans,"Hans took the knife away with him, and stuck it in his sleeve, and went home."
prudent-hans,"""Good evening, mother."""
prudent-hans,"""Good evening, Hans. Where have you been?"""
prudent-hans,"""To Grethel's."""
prudent-hans,"""What did you take her?"""
prudent-hans,"""I took nothing, but I brought away something."""
prudent-hans,"""What did Grethel give you, Hans?"""
prudent-hans,"""A knife, mother."""
prudent-hans,"""What did you do with it, Hans?"""
prudent-hans,"""Stuck it in my sleeve, mother."""
prudent-hans,"""That was very stupid of you, Hans. You should have put it in your pocket."""
prudent-hans,"""All right, mother! I'll do better next time."""
prudent-hans,"When next time came, Hans's mother said, ""Where to, Hans?"""
prudent-hans,"""To Grethel's, mother."""
prudent-hans,"""Manage well, Hans."""
prudent-hans,"""All right! Good-bye, mother."""
prudent-hans,"""Good-bye, Hans."""
prudent-hans,So Hans came to Grethel's.
prudent-hans,"""Good morning, Grethel."""
prudent-hans,"""Good morning, Hans. What have you brought me to-day?"""
prudent-hans,"""I've brought nothing, but I want to take away something."""
prudent-hans,"So Grethel gave Hans a young goat; then he said, ""Good-bye, Grethel,"" and she said, ""Good-bye, Hans."""
prudent-hans,"So Hans carried off the goat, and tied its legs together, and put it in his pocket, and by the time he got home it was suffocated."
prudent-hans,"""Good evening, mother."""
prudent-hans,"""Good evening, Hans. Where have you been?"""
prudent-hans,"""To Grethel's, mother."""
prudent-hans,"""What did you take her, Hans?"""
prudent-hans,"""I took nothing, but I brought away something."""
prudent-hans,"""What did Grethel give you, Hans?"""
prudent-hans,"""A goat, mother."""
prudent-hans,"""What did you do with it, Hans?"""
prudent-hans,"""Put it in my pocket, mother."""
prudent-hans,"""That was very stupid of you, Hans. You should have tied a cord round its neck, and led it home."""
prudent-hans,"""All right, mother! I'll do better next time."""
prudent-hans,"Then when next time came, ""Where to, Hans?"""
prudent-hans,"""To Grethel's, mother."""
prudent-hans,"""Manage well, Hans."""
prudent-hans,"""All right! Good-bye, mother."""
prudent-hans,"""Good-bye, Hans."""
prudent-hans,Then Hans came to Grethel's.
prudent-hans,"""Good morning, Grethel."""
prudent-hans,"""Good morning, Hans. What have you brought me to-day?"""
prudent-hans,"""I've brought nothing, but I want to take away something."""
prudent-hans,So Grethel gave Hans a piece of bacon.
prudent-hans,"Then he said, ""Good-bye, Grethel."""
prudent-hans,"She said, ""Good-bye, Hans."""
prudent-hans,"Hans took the bacon, and tied a string round it, and dragged it after him on his way home, and the dogs came and ate it up, so that when he got home he had the string in his hand, and nothing at the other end of it."
prudent-hans,"""Good evening, mother."""
prudent-hans,"""Good evening, Hans. Where have you been?"""
prudent-hans,"""To Grethel's, mother."""
prudent-hans,"""What did you take her, Hans?"""
prudent-hans,"""I took her nothing, but I brought away something."""
prudent-hans,"""What did Grethel give you, Hans?"""
prudent-hans,"""A piece of bacon, mother."""
prudent-hans,"""What did you do with it, Hans?"""
prudent-hans,"""I tied a piece of string to it, and led it home, but the dogs ate it, mother."""
prudent-hans,"""That was very stupid of you, Hans. You ought to have carried it on your head."""
prudent-hans,"""All right! I'll do better next time, mother."""
prudent-hans,"When next time came, ""Where to, Hans?"""
prudent-hans,"""To Grethel's, mother."""
prudent-hans,"""Manage well, Hans."""
prudent-hans,"""All right! Good-bye, mother."""
prudent-hans,"""Good-bye, Hans."""
prudent-hans,Then Hans came to Grethel's.
prudent-hans,"""Good morning, Grethel."""
prudent-hans,"""Good morning, Hans. What have you brought me?"""
prudent-hans,"""I have brought nothing, but I want to take away something."""
prudent-hans,So Grethel gave Hans a calf.
prudent-hans,"""Good-bye, Grethel."""
prudent-hans,"""Good-bye, Hans."""
prudent-hans,"Hans took the calf, and set it on his head, and carried it home, and the calf scratched his face."
prudent-hans,"""Good evening, mother."""
prudent-hans,"""Good evening, Hans. Where have you been?"""
prudent-hans,"""To Grethel's, mother."""
prudent-hans,"""What did you take her?"""
prudent-hans,"""I took nothing, but I brought away something."""
prudent-hans,"""What did Grethel give you, Hans?"""
prudent-hans,"""A calf, mother."""
prudent-hans,"""What did you do with the calf, Hans?"""
prudent-hans,"""I carried it home on my head, but it scratched my face."""
prudent-hans,"""That was very stupid of you, Hans. You ought to have led home the calf, and tied it to the manger."""
prudent-hans,"""All right! I'll do better next time, mother."""
prudent-hans,"When next time came, ""Where to, Hans?"""
prudent-hans,"""To Grethel's, mother."""
prudent-hans,"""Manage well, Hans."""
prudent-hans,"""All right, mother! Good-bye."""
prudent-hans,"""Good-bye, Hans."""
prudent-hans,Then Hans came to Grethel's.
prudent-hans,"""Good morning, Grethel."""
prudent-hans,"""Good morning, Hans. What have you brought me to-day?"""
prudent-hans,"""I have brought nothing, but I want to take away something."""
prudent-hans,"Then Grethel said to Hans, ""You shall take away me."""
prudent-hans,"Then Hans took Grethel, and tied a rope round her neck, and led her home, and fastened her up to the manger, and went to his mother."
prudent-hans,"""Good evening, mother."""
prudent-hans,"""Good evening, Hans. Where have you been?"""
prudent-hans,"""To Grethel's, mother."""
prudent-hans,"""What did you take her, Hans?"""
prudent-hans,"""Nothing, mother."""
prudent-hans,"""What did Grethel give you, Hans?"""
prudent-hans,"""Nothing but herself, mother."""
prudent-hans,"""Where have you left Grethel, Hans?"""
prudent-hans,"""I led her home with a rope, and tied her up to the manger to eat hay, mother."""
prudent-hans,"""That was very stupid of you, Hans. You should have cast sheep's eyes at her."""
prudent-hans,"""All right, mother! I'll do better next time."""
prudent-hans,"Then Hans went into the stable, and taking all the eyes out of the sheep, he threw them in Grethel's face."
prudent-hans,"Then Grethel was angry, and getting loose, she ran away and became the bride of another."
