document_id,text
sheem-the-forsaken-boy,"On a certain afternoon the sun was falling in the West, and in the midst of the ruddy silence a solitary lodge stood on the banks of a remote lake."
sheem-the-forsaken-boy,"One sound only broke, in the least degree, the forest stillness."
sheem-the-forsaken-boy,"The low breathing of the dying inmate, who was the head of a poor family."
sheem-the-forsaken-boy,His wife and children surrounded the buffalo robe on which he lay.
sheem-the-forsaken-boy,"Of the children, two were almost grown up--a daughter and a son."
sheem-the-forsaken-boy,"The other was a boy, and a mere child in years."
sheem-the-forsaken-boy,All the skill of the household in their simple medicines was exhausted.
sheem-the-forsaken-boy,"They stood looking on or moved about the lodge with whispered steps, awaiting the departure of the spirit."
sheem-the-forsaken-boy,"As one of the last acts of kindness, the skin door of the lodge had been thrown back to admit the fresh air of the evening."
sheem-the-forsaken-boy,"The poor man felt a momentary return of strength, and raising himself a little, he addressed his family."
sheem-the-forsaken-boy,"""I leave you,"" he said, ""in a world of care, in which it has required all my strength and skill to supply you food, and to protect you from the storms and cold of a harsh climate."""
sheem-the-forsaken-boy,"He cast his eyes upon his wife, and continued: ""For you, my partner in life, I have less sorrow, because I am persuaded you will not remain long behind me. But you, my children! My poor and forsaken children, who have just begun the career of life, who will shelter you from calamity? Listen to my words. Unkindness, ingratitude, and every wickedness, are in the scene before you. It was for this that years ago I withdrew from my kindred and my tribe to spend my days in this lonely spot. I have contented myself with the company of your mother and yourselves, during seasons of very frequent scarcity and want. Your kindred, feasting in plenty, have caused the forests to echo with the shouts of successful war. I gave up these things for the enjoyment of peace. I wished to hide you away from the bad examples which would have spoiled your innocence. I have seen you, thus far, grow up in purity of heart. If we have sometimes suffered bodily want, we have escaped pain of mind. We have not been compelled to look on or to take a part with the red hand in scenes of rioting and bloodshed. My path now stops. I have arrived at the brink of the world. I will shut my eyes in peace if you, my children, will promise me to cherish each other. Let not your mother suffer during the few days that are left to her. I charge you, on no account, to forsake your younger brother. Of him I give you both my dying command to have a tender care."""
sheem-the-forsaken-boy,"He spoke no more, and as the sun fell out of view the light had gone from his face."
sheem-the-forsaken-boy,"The family stood still, as if they expected to hear something further."
sheem-the-forsaken-boy,"But when they came to his side and called him by name, his spirit did not answer."
sheem-the-forsaken-boy,It was in another world.
sheem-the-forsaken-boy,"The mother and daughter lamented aloud, but the elder son clothed himself in silence, as though it had been a mantle."
sheem-the-forsaken-boy,He took his course as though nothing had occurred.
sheem-the-forsaken-boy,"He exerted himself to supply, with his bow and net, the wants of the little household, but he never made mention of his father."
sheem-the-forsaken-boy,"Five moons had filled and waned, and the sixth was near its full, when the mother also died."
sheem-the-forsaken-boy,In her last moments she pressed the fulfillment of their father's wish.
sheem-the-forsaken-boy,"The winter passed, and the spring, sparkling in the clear northern air, cheered the spirits of the lonely little people in the lodge."
sheem-the-forsaken-boy,"The girl, being the eldest, directed her brothers."
sheem-the-forsaken-boy,"She seemed to feel a tender and sisterly affection for the youngest, who was slight in frame and of a delicate temper."
sheem-the-forsaken-boy,"The other boy soon began to break forth with restless speeches, which showed that his spirit was not at ease."
sheem-the-forsaken-boy,"One day he addressed his sister as follows: ""My sister, are we always to live as if there were no other human beings in the world? Must I deprive myself of the pleasure of mingling with my own kind? I have determined this question for myself. I shall seek the villages of men, and you can not prevent me."""
sheem-the-forsaken-boy,"The sister replied: ""I do not say no, my brother, to what you desire. We are not forbidden the society of our fellow-mortals, but we are told to cherish each other, and to do nothing that shall not be agreeable to all our little household. Neither pleasure nor pain ought, therefore, to separate us, especially from our younger brother, who, being but a child, and weakly withal, is entitled to a double share of our affection. If we follow our separate fancies, it will surely make us neglect him, whom we are bound by vows, both to our father and mother, to support."""
sheem-the-forsaken-boy,"The young man received this address in silence, and still took his course as though nothing out of the ordinary way had occurred."
sheem-the-forsaken-boy,After awhile he seemed to recover his spirits.
